"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/052250","052250","rico:CorporateBody","France. Cabinet de François Bayrou, garde des Sceaux, ministre de la Justice (2017)",,"2017-05-17","2017-06-21","cabinet ministériel","oui","action gouvernementale | justice",,,,,"2019-04-26","2019-08-02"
"agent/053578","053578","rico:CorporateBody","France. Cabinet de François Bayrou, ministre de l’Éducation nationale, de l’Enseignement supérieur et de la Recherche (1995-1997)","France. Cabinet de François Bayrou, ministre de l’Éducation nationale, de l’Enseignement supérieur, de la Recherche et de l’Insertion professionnelle (18 mai-7 novembre 1995)","1995-05-18","1997-06-02","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2023-11-30","2024-08-22"
"agent/053576","053576","rico:CorporateBody","France. Cabinet de François Bayrou, ministre de l’Éducation nationale (1993-1995)",,"1993-03-30","1995-05-11","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2023-11-27","2024-08-22"
"agent/053525","053525","rico:CorporateBody","France. Cabinet de François Braun, ministre de la Santé et de la Prévention (2022-2023)",,"2022-07-04","2023-07-20","cabinet ministériel","oui","organisation sanitaire | protection sociale | prévention | santé",,,,,"2023-08-25","2023-09-18"
"agent/003958","003958","rico:CorporateBody","France. Cabinet de François d'Aubert, secrétaire d’État à la Recherche (1995-1997)",,"1995-11-07","1997-06-02","cabinet ministériel","oui","action gouvernementale | recherche",,,,,"2013-04-23","2024-08-22"
"agent/003953","003953","rico:CorporateBody","France. Cabinet de François d’Aubert, ministre délégué à la Recherche (2004-2005)",,"2004-03-31","2005-05-31","cabinet ministériel","oui","action gouvernementale",,,,,"2013-04-23","2024-08-23"
"agent/052415","052415","rico:CorporateBody","France. Cabinet de Françoise Nyssen, ministre de la Culture et de la Communication (2017-2018)",,"2017-05-17","2018-10-16","cabinet ministériel","oui","action gouvernementale | arts | culture",,,,,"2019-12-11","2020-02-07"
"agent/052233","052233","rico:CorporateBody","France. Cabinet de François Fillon, ministre de l’Éducation nationale, de l’Enseignement supérieur et de la Recherche (2004-2005)",,"2004-03-31","2005-06-01","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche | éducation nationale",,,,,"2019-04-08","2024-08-23"
"agent/003946","003946","rico:CorporateBody","France. Cabinet de François Fillon, ministre de l’Enseignement supérieur et de la Recherche (1993-1995)",,"1993-03-30","1995-05-11","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2013-04-23","2024-08-22"
"agent/009723","009723","rico:CorporateBody","France. Cabinet de François Fillon, Premier ministre (2007-2012)",,"2007-05-17","2012-05-10","cabinet ministériel","oui","action gouvernementale",,,,,"2013-04-23","2024-05-03"
"agent/053333","053333","rico:CorporateBody","France. Cabinet de François Fillon, Premier Ministre et ministre de l’Écologie, du Développement durable, des Transports et du Logement (2012-2012)",,"2012-02-22","2012-05-10","cabinet ministériel","oui","action gouvernementale | écologie",,,,,"2022-07-29","2022-08-05"
"agent/003956","003956","rico:CorporateBody","France. Cabinet de François Goulard, ministre délégué à l'Enseignement supérieur et à la Recherche (2005-2007)",,"2005-06-02","2007-05-15","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2013-04-23","2024-08-23"
"agent/052493","052493","rico:CorporateBody","France. Cabinet de François Mitterrand, ministre de l'Intérieur (1954-1955)",,"1954-06-19","1955-02-23","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-08-12"
"agent/053469","053469","rico:CorporateBody","France. Cabinet de Frédérique Vidal, ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation (2017-2022)",,"2017-05-17","2022-05-20","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche | éducation nationale",,,,,"2023-02-22","2023-04-27"
"agent/053467","053467","rico:CorporateBody","France. Cabinet de Gabriel Attal, secrétaire d’État auprès du ministre de l’Éducation nationale et de la Jeunesse (2018-2020)",,"2018-10-16","2020-07-02","cabinet ministériel","oui","action gouvernementale | jeunesse | éducation nationale",,,,,"2023-02-22","2023-05-03"
"agent/053010","053010","rico:CorporateBody","France. Cabinet de Gaston Defferre, ministre d’État, ministre de l’Intérieur et de la Décentralisation (1981-1984)","France. Cabinet de Gaston Defferre, ministre de l’Intérieur et de la Décentralisation (1981-1984) | France. Cabinet de Gaston Defferre, ministre de l'Intérieur (1981-1984)","1981-05-22","1984-07-17","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-08-12"
"agent/052920","052920","rico:CorporateBody","France. Cabinet de Gaston Flosse, secrétaire d’État chargé des problèmes du Pacifique Sud (1986-1988)",,"1986-03-20","1988-05-10","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2021-03-16","2021-03-23"
"agent/053526","053526","rico:CorporateBody","France. Cabinet de Geneviève Darrieussecq, ministre déléguée chargée des Personnes handicapées (2022-2023)",,"2022-07-04","2023-07-20","cabinet ministériel","oui","action sociale",,,,,"2023-08-25","2023-09-18"
"agent/009853","009853","rico:CorporateBody","France. Cabinet de Geneviève Fioraso, ministre puis secrétaire d'État de l'Enseignement supérieur et de la Recherche (2012-2015)",,"2012-05-21","2015-03-05","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2013-04-23","2024-08-23"
"agent/009861","009861","rico:CorporateBody","France. Cabinet de George Pau-Langevin, ministre déléguée à la Réussite éducative (2012-2014)",,"2012-05-16","2014-04-02","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2015-09-30","2024-08-23"
"agent/052046","052046","rico:CorporateBody","France. Cabinet de George Pau-Langevin, ministre des Outre-mer (2014-2016)",,"2014-04-02","2016-08-30","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2018-05-16","2021-01-14"
"agent/052048","052048","rico:CorporateBody","France. Cabinet de Georges Lemoine, secrétaire d’État chargé des départements et territoires d’outre-mer (1983-1986)",,"1983-03-24","1986-03-20","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2018-05-22","2021-03-23"
"agent/052974","052974","rico:CorporateBody","France. Cabinet de Georges Pompidou, Premier ministre (1962-1968)",,"1962-04-14","1968-07-10","cabinet ministériel","oui","action gouvernementale",,"Q940230","https://fr.wikipedia.org/wiki/Gouvernement_Georges_Pompidou_(1) | https://fr.wikipedia.org/wiki/Gouvernement_Georges_Pompidou_(2) | https://fr.wikipedia.org/wiki/Gouvernement_Georges_Pompidou_(3) | https://fr.wikipedia.org/wiki/Gouvernement_Georges_Pompidou_(4)",,"2021-06-18","2022-11-15"
"agent/009762","009762","rico:CorporateBody","France. Cabinet de Georges Tron, secrétaire d’État chargé de la Fonction publique (2010)",,"2010-03-22","2010-11-13","cabinet ministériel","oui","action gouvernementale | fonction publique",,,,,"2013-04-23","2023-01-30"
"agent/053027","053027","rico:CorporateBody","France. Cabinet de Gérald Darmanin, ministre de l'Intérieur (2020-....)",,"2020-07-06",,"cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2022-06-09"
"agent/053025","053025","rico:CorporateBody","France. Cabinet de Gérard Collomb, ministre d’État, ministre de l'Intérieur (2017-2018)","France. Cabinet de Gérard Collomb, ministre de l'Intérieur (2017-2018)","2017-05-17","2018-10-03","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-08-16"
"agent/007736","007736","rico:CorporateBody","France. Cabinet de Gérard Ducray, secrétaire d'État auprès du ministre de la Qualité de la vie (1974-1976)",,"1974-06-08","1976-01-12","cabinet ministériel","non",,,,,,"2013-04-23","2021-01-19"
"agent/051911","051911","rico:CorporateBody","France. Cabinet de Gérard Larcher, ministre délégué aux relations du travail (31 mars 2004-31 mai 2005) puis ministre délégué à l'emploi, au travail et à l'insertion professionnelle des jeunes (2 juin 2005-15 mai 2007)",,"2004-03-31","2007-05-15",,"oui","action gouvernementale | emploi | relations du travail | travail",,,,,"2018-01-10","2018-01-10"
"agent/052234","052234","rico:CorporateBody","France. Cabinet de Gilles de Robien, ministre de l’Éducation nationale, de l’Enseignement supérieur et de la Recherche (2005-2007)",,"2005-06-02","2007-05-17","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche | éducation nationale",,,,,"2019-04-08","2024-08-23"
"agent/053193","053193","rico:CorporateBody","France. Cabinet de Hélène Geoffroy, secrétaire d'État chargée de la Ville auprès du ministre de la Ville, de la Jeunesse et des Sports (2016-2017)",,"2016-02-11","2017-05-15","cabinet ministériel","oui","ville",,,,,"2022-04-11","2022-04-12"
"agent/003945","003945","rico:CorporateBody","France. Cabinet de Hubert Curien, ministre de la Recherche et de la Technologie (1984-1986)",,"1984-07-19","1986-03-20","cabinet ministériel","oui","action gouvernementale | recherche",,,,,"2013-04-23","2024-08-21"
"agent/003788","003788","rico:CorporateBody","France. Cabinet de Hubert Curien, ministre délégué chargé de la Recherche, puis ministre de la Recherche et de la Technologie, puis ministre de la Recherche et de l’Espace (1988-1993)",,"1988-05-12","1993-03-29","cabinet ministériel","oui","action gouvernementale | recherche",,,,,"2013-04-23","2024-08-22"
"agent/052015","052015","rico:CorporateBody","France. Cabinet de Jack Lang, ministre de la Culture et de la Communication (1981-1986)","France. Ministère de la Culture et de la Communication. Cabinet de Jack Lang, ministre délégué","1981-05-22","1986-03-20","cabinet ministériel","oui","culture",,,,,"2018-03-14","2024-11-15"
"agent/052943","052943","rico:CorporateBody","France. Cabinet de Jack Lang, ministre de l’Éducation nationale (2000-2002)",,"2000-03-27","2002-05-06","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2021-05-05","2024-08-22"
"agent/053573","053573","rico:CorporateBody","France. Cabinet de Jack Lang, ministre de l’Éducation nationale et de la Culture (1992-1993)",,"1992-04-02","1993-03-29","cabinet ministériel","oui","culture | éducation nationale",,,,,"2023-11-23","2024-08-22"
"agent/053124","053124","rico:CorporateBody","France. Cabinet de Jacques Chaban-Delmas, Premier ministre (1969-1972)",,"1969-06-20","1972-07-05","cabinet ministériel","oui","action gouvernementale (1969-06-26/1972-07-05 )",,"Q1518480","https://fr.wikipedia.org/wiki/Gouvernement_Jacques_Chaban-Delmas",,"2022-01-06","2024-03-21"
"agent/053007","053007","rico:CorporateBody","France. Cabinet de Jacques Chirac, ministre d’État, ministre de l’Intérieur (1974)","France. Cabinet de Jacques Chirac, ministre de l’Intérieur (1974)","1974-03-01","1974-05-27","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-08-12"
"agent/053382","053382","rico:CorporateBody","France. Cabinet de Jacques Chirac, Premier ministre (1974-1976)",,"1974-05-27","1976-08-25","cabinet ministériel","oui","action gouvernementale (1974-05-27/1976-08-25 )",,"Q588051","https://fr.wikipedia.org/wiki/Gouvernement_Jacques_Chirac_(1)",,"2022-09-07","2022-10-24"
"agent/053403","053403","rico:CorporateBody","France. Cabinet de Jacques Chirac, Premier ministre (1986-1988)",,"1986-03-20","1988-05-10","cabinet ministériel","oui","action gouvernementale",,"Q3112150","https://fr.wikipedia.org/wiki/Gouvernement_Jacques_Chirac_(2)",,"2022-11-02","2024-03-21"
"agent/007737","007737","rico:CorporateBody","France. Cabinet de Jacques Médecin, secrétaire d'État auprès du ministre de la Qualité de la vie (1976-1977)",,"1976-01-12","1977-03-29","cabinet ministériel","non",,,,,,"2013-04-23","2021-01-19"
"agent/053460","053460","rico:CorporateBody","France. Cabinet de Jacques Mézard, ministre de l’Agriculture et de l’Alimentation (2017)",,"2017-05-17","2017-06-21","cabinet ministériel","oui","agriculture",,,,,"2023-02-20","2023-02-23"
"agent/053561","053561","rico:CorporateBody","France. Cabinet de Jacques Pelletier, secrétaire d’État auprès du ministre de l’Éducation (1978-1980)",,"1978-04-06","1980-10-02","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2023-11-14","2024-08-21"
"agent/053558","053558","rico:CorporateBody","France. Cabinet de Jacques Sourdille, secrétaire d’État à la Recherche (1977-1978)",,"1977-04-01","1978-03-31","cabinet ministériel","oui","action gouvernementale | recherche",,,,,"2023-11-09","2024-08-21"
"agent/003955","003955","rico:CorporateBody","France. Cabinet de Jacques Valade, ministre délégué chargé de la Recherche et de l’Enseignement supérieur (1987-1988)",,"1987-01-20","1988-05-10","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2013-04-23","2024-08-21"
"agent/053002","053002","rico:CorporateBody","France. Cabinet de Jean Berthoin, ministre de l’Intérieur (1959)",,"1959-01-08","1959-05-27","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-09-03"
"agent/053371","053371","rico:CorporateBody","France. Cabinet de Jean Castex, Premier ministre (2020-2022)",,"2020-07-03","2022-05-16","cabinet ministériel","oui","action gouvernementale",,"Q96872687","https://fr.wikipedia.org/wiki/Gouvernement_Jean_Castex",,"2022-08-29","2023-01-20"
"agent/009608","009608","rico:CorporateBody","France. Cabinet de Jean-François Copé, ministre délégué à l’Intérieur (2004)",,"2004-03-31","2004-11-29","cabinet ministériel","oui","action gouvernementale | décentralisation",,,,,"2013-04-23","2022-01-10"
"agent/053419","053419","rico:CorporateBody","France. Cabinet de Jean-François Lamour, ministre des Sports (2002-2007)",,"2002-05-07","2007-05-15","cabinet ministériel","oui","activité politique | sport",,,,,"2022-12-13","2022-12-15"
"agent/052496","052496","rico:CorporateBody","France. Cabinet de Jean Gilbert-Jules, ministre de l’Intérieur (1956-1957)",,"1956-02-01","1957-11-06","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-09-03"
"agent/009615","009615","rico:CorporateBody","France. Cabinet de Jean Glavany, secrétaire d’État à l’Enseignement technique (1992-1993)",,"1992-04-04","1993-03-29","cabinet ministériel","oui","action gouvernementale",,,,,"2013-04-23","2024-08-22"
"agent/052910","052910","rico:CorporateBody","France. Cabinet de Jean-Jack Queyranne, secrétaire d’État à l’Outre-Mer (1997-2000)",,"1997-06-04","2000-08-29","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2021-03-11","2021-03-23"
"agent/001853","001853","rico:CorporateBody","France. Cabinet de Jean-Jacques de Peretti, ministre de l’Outre-mer puis ministre délégué à l’Outre-mer (1995-1997)",,"1995-05-18","1997-06-02","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2013-04-23","2021-03-23"
"agent/052183","052183","rico:CorporateBody","France. Cabinet de Jean-Jacques Urvoas, garde des Sceaux, ministre de la Justice (2016-2017)",,"2016-01-27","2017-05-10",,"oui","action gouvernementale | justice",,,,,"2019-01-10","2019-01-17"
"agent/009786","009786","rico:CorporateBody","France. Cabinet de Jean-Louis Borloo, ministre d'État, ministre chargé de l'Écologie et du Développement durable (2007-2010)","Cabinet de Jean-Louis Borloo, ministre d’État, ministre de l'Écologie, du développement et de l'aménagement durables | Cabinet de Jean-Louis Borloo, ministre d’État, ministre de l'Écologie, de l'énergie, du développement durable et de l'aménagement du territoire | Cabinet de Jean-Louis Borloo, ministre d’État, ministre de l'Écologie, de l'énergie, du développement durable et de la mer, en charge des technologies vertes et des négociations sur le climat","2007-06-19","2010-11-13","cabinet ministériel","oui","action gouvernementale | aménagement du territoire | développement durable | écologie | équipement",,,,,"2013-04-23","2021-03-22"
"agent/053100","053100","rico:CorporateBody","France. Cabinet de Jean-Louis Borloo, ministre délégué à la ville et à la rénovation urbaine (2002-2004)",,"2002-05-07","2004-03-30","cabinet ministériel","oui","logement | ville",,,,,"2021-11-29","2021-11-30"
"agent/053017","053017","rico:CorporateBody","France. Cabinet de Jean-Louis Debré, ministre de l’Intérieur (1995-1997)",,"1995-05-18","1997-06-02","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-08-16"
"agent/002142","002142","rico:CorporateBody","France. Cabinet de Jean-Luc Mélenchon, ministre délégué à l’Enseignement professionnel (2000-2002)",,"2000-03-27","2002-05-06","cabinet ministériel","oui","action gouvernementale | enseignement professionnel",,,,,"2013-04-23","2024-08-22"
"agent/009837","009837","rico:CorporateBody","France. Cabinet de Jean-Marc Ayrault, Premier ministre (2012-2014)",,"2012-05-15","2014-03-31","cabinet ministériel","non",,,,,,"2013-04-23","2017-06-29"
"agent/052772","052772","rico:CorporateBody","France. Cabinet de Jean-Marie Le Guen, secrétaire d’État auprès du Premier ministre, chargé des relations avec le Parlement (2014-2016)",,"2014-04-09","2016-12-06","cabinet ministériel","oui",,,,,,"2020-09-28","2020-10-09"
"agent/001533","001533","rico:CorporateBody","France. Cabinet de Jean-Michel Baylet, secrétaire d’État chargé des Collectivités locales (1988-1990)",,"1988-06-28","1990-07-17","cabinet ministériel","oui","action gouvernementale | décentralisation",,,,,"2013-04-23","2022-01-10"
"agent/053468","053468","rico:CorporateBody","France. Cabinet de Jean-Michel Blanquer, ministre de l'Éducation nationale, de la Jeunesse et des Sports (2017-2022)","Cabinet de Jean-Michel Blanquer, ministre de l'Éducation nationale | Cabinet de Jean-Michel Blanquer, ministre de l'Éducation nationale et de la Jeunesse","2017-05-17","2022-05-20","cabinet ministériel","oui","action gouvernementale | jeunesse | sport | éducation nationale",,,,,"2023-02-22","2024-08-23"
"agent/009748","009748","rico:CorporateBody","France. Cabinet de Jeannette Bougrab, secrétaire d'État chargée de la Jeunesse et de la Vie associative (2010-2012)",,"2010-11-14","2012-05-10","cabinet ministériel","oui","action gouvernementale | jeunesse",,,,,"2013-04-23","2024-08-23"
"agent/053570","053570","rico:CorporateBody","France. Cabinet de Jean-Pierre Chevènement, ministre de la Recherche et de la Technologie, puis ministre de la Recherche et de l’Industrie (1981-1983)",,"1981-05-22","1983-03-22","cabinet ministériel","oui","action gouvernementale | industrie | recherche",,,,,"2023-11-23","2024-08-21"
"agent/053564","053564","rico:CorporateBody","France. Cabinet de Jean-Pierre Chevènement, ministre de l’Éducation nationale (1984-1986)",,"1984-07-19","1986-03-20","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2023-11-17","2024-08-21"
"agent/052026","052026","rico:CorporateBody","France. Cabinet de Jean-Pierre Chevènement, ministre de l’Intérieur (1997-2000)",,"1997-06-04","2000-08-29","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2018-04-23","2021-09-03"
"agent/053368","053368","rico:CorporateBody","France. Cabinet de Jean-Pierre Raffarin, Premier ministre (2002-2005)",,"2002-05-06","2005-05-29","cabinet ministériel","oui","action gouvernementale",,,,,"2022-08-19","2024-03-21"
"agent/001531","001531","rico:CorporateBody","France. Cabinet de Jean-Pierre Sueur, secrétaire d’État chargé des Collectivités locales (1991-1993)",,"1991-05-17","1993-03-29","cabinet ministériel","oui","action gouvernementale | décentralisation",,,,,"2013-04-23","2022-01-10"
"agent/052270","052270","rico:CorporateBody","France. Cabinet de Jean-Vincent Placé, secrétaire d’État auprès du Premier ministre, chargé de la Réforme de l'État et de la Simplification (2016-2017)",,"2016-02-11","2017-05-10","cabinet ministériel","oui","action gouvernementale (2016-02-11/2017-05-10 )",,,,,"2019-05-10","2019-05-28"
"agent/053556","053556","rico:CorporateBody","France. Cabinet de Joseph Fontanet, ministre de l’Éducation nationale (1972-1974)",,"1972-07-06","1974-05-27","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2023-11-09","2024-08-20"
"agent/051016","051016","rico:CorporateBody","France. Cabinet de Joseph Franceschi, secrétaire d’État à la Sécurité publique (1982-1984)",,"1982-08-18","1984-07-23","cabinet ministériel","oui","action gouvernementale | sécurité",,,,,"2015-05-05","2022-01-06"
"agent/052489","052489","rico:CorporateBody","France. Cabinet de Jules Moch, ministre de l'Intérieur (1947-1950)","France. Cabinet de Jules Moch (I), ministre de l'Intérieur (1947-1950)","1947-11-24","1950-02-07","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-09-03"
"agent/052499","052499","rico:CorporateBody","France. Cabinet de Jules Moch, ministre de l’Intérieur (1958)","France. Cabinet de Jules Moch (II), ministre de l’Intérieur (1958)","1958-05-17","1958-06-01","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-08-12"
"agent/053457","053457","rico:CorporateBody","France. Cabinet de Julien Denormandie, ministre de l’Agriculture et de l’Alimentation (2020-2022)",,"2020-07-06","2022-05-20","cabinet ministériel","oui","agriculture",,,,,"2023-02-20","2023-02-23"
"agent/052245","052245","rico:CorporateBody","France. Cabinet de Juliette Méadel, secrétaire d’État auprès du Premier ministre, chargée de l’Aide aux victimes (2016-2017)",,"2016-02-11","2017-05-10","cabinet ministériel","oui","action gouvernementale (2016-02-11/2017-05-10 )",,,,,"2019-04-23","2019-05-28"
"agent/053644","053644","rico:CorporateBody","France. Cabinet de Justine Benin, secrétaire d’État chargée de la Mer (2022)",,"2022-05-20","2022-07-04","cabinet ministériel","oui","action gouvernementale | mer",,,,,"2024-05-30","2024-07-11"
"agent/052020","052020","rico:CorporateBody","France. Cabinet de Laurence Rossignol, ministre des familles, de l’enfance et des droits des femmes (2014-2017)","Cabinet de Laurence Rossignol, secrétaire d’État chargée de la famille, de l’enfance, des personnes âgées et de l’autonomie | Cabinet de Laurence Rossignol, ministre des familles, de l’enfance et des droits des femmes | Cabinet de Laurence Rossignol, secrétaire d’État chargée de la famille, des personnes âgées et de l’autonomie","2014-04-09","2017-05-10",,"oui","action gouvernementale | affaires sociales | droits des femmes",,,,,"2018-03-26","2018-04-17"
"agent/053569","053569","rico:CorporateBody","France. Cabinet de Laurent Fabius, ministre de l’Industrie et de la Recherche (1983-1984)",,"1983-03-24","1984-07-17","cabinet ministériel","oui","action gouvernementale | industrie | recherche",,,,,"2023-11-22","2024-08-21"
"agent/053402","053402","rico:CorporateBody","France. Cabinet de Laurent Fabius, Premier ministre (1984-1986)",,"1984-07-17","1986-03-20","cabinet ministériel","oui","action gouvernementale",,"Q2783565","https://fr.wikipedia.org/wiki/Gouvernement_Laurent_Fabius",,"2022-11-02","2024-03-21"
"agent/009751","009751","rico:CorporateBody","France. Cabinet de Laurent Wauquiez, ministre de l’Enseignement supérieur et de la Recherche (2011-2012)",,"2011-06-29","2012-05-10","cabinet ministériel","oui","action gouvernementale | enseignement supérieur | recherche",,,,,"2013-04-23","2024-08-23"
"agent/052492","052492","rico:CorporateBody","France. Cabinet de Léon Martinaud-Déplat, ministre de l'Intérieur (1953-1954)",,"1953-06-28","1954-01-19","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-09-03"
"agent/052930","052930","rico:CorporateBody","France. Cabinet de Lionel Jospin, ministre de l’Éducation nationale, de la Jeunesse et des Sports (1988-1992)","France. Cabinet de Lionel Jospin, ministre de l’Éducation nationale, de la Recherche et des Sports | France. Cabinet de Lionel Jospin, ministre de l’Éducation nationale, de la Jeunesse et des Sports","1988-05-12","1992-04-02","cabinet ministériel","oui","action gouvernementale | jeunesse | recherche | sport | éducation nationale",,,,,"2021-04-14","2024-08-21"
"agent/053192","053192","rico:CorporateBody","France. Cabinet de Lionel Jospin, Premier ministre (1997-2002)",,"1997-06-02","2002-05-06","cabinet ministériel","oui","action gouvernementale",,,"https://fr.wikipedia.org/wiki/Gouvernement_Lionel_Jospin",,"2022-04-08","2023-03-17"
"agent/052932","052932","rico:CorporateBody","France. Cabinet de Louis Le Pensec, ministre des départements et territoires d'outre-mer (1988-1993)",,"1988-06-28","1993-03-29","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2021-04-15","2021-06-17"
"agent/009747","009747","rico:CorporateBody","France. Cabinet de Luc Chatel, ministre de l'Éducation nationale, puis ministre de l'Éducation nationale, de la Jeunesse et de la Vie associative (2009-2012)","France. Cabinet de Luc Chatel, ministre de l’Éducation nationale (2009-2010)","2009-06-23","2012-05-10","cabinet ministériel","oui","action gouvernementale | jeunesse | éducation nationale",,,,,"2015-09-30","2024-08-23"
"agent/052242","052242","rico:CorporateBody","France. Cabinet de Luc Ferry, ministre de la Jeunesse, de l’Éducation nationale et de la Recherche (2002-2004)",,"2002-05-07","2004-03-30","cabinet ministériel","oui","action gouvernementale | jeunesse | recherche | éducation nationale",,,,,"2019-04-15","2024-08-23"
"agent/053541","053541","rico:CorporateBody","France. Cabinet de Lucien Paye, ministre de l’Éducation nationale (1961-1962)",,"1961-02-20","1962-04-14","cabinet ministériel","oui","action gouvernementale | éducation nationale",,,,,"2023-10-18","2024-08-20"
"agent/009848","009848","rico:CorporateBody","France. Cabinet de Manuel Valls, ministre de l'Intérieur (2012-2014)",,"2012-05-16","2014-03-31","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2013-04-23","2021-09-03"
"agent/051539","051539","rico:CorporateBody","France. Cabinet de Manuel Valls, Premier ministre (2014-2016)",,"2014-03-31","2016-12-06","cabinet ministériel","oui","action gouvernementale",,,,,"2017-06-29","2020-02-03"
"agent/001532","001532","rico:CorporateBody","France. Cabinet de Marc Bécam, secrétaire d’État chargé des Collectivités locales (1977-1978)",,"1977-04-01","1980-10-02","cabinet ministériel","oui","action gouvernementale | décentralisation",,,,,"2013-04-23","2022-01-10"
"agent/053134","053134","rico:CorporateBody","France. Cabinet de Marie-George Buffet, ministre de la Jeunesse et des Sports (1997-2002)",,"1997-06-04","2002-05-06","cabinet ministériel","oui","action gouvernementale | jeunesse | sport",,,,,"2022-02-02","2022-02-04"
"agent/009607","009607","rico:CorporateBody","France. Cabinet de Marie-Josée Roig, ministre déléguée à l’Intérieur (2004-2005)",,"2004-11-29","2005-05-31","cabinet ministériel","oui","action gouvernementale | décentralisation",,,,,"2013-04-23","2022-01-10"
"agent/009743","009743","rico:CorporateBody","France. Cabinet de Marie-Luce Penchard, secrétaire d’État puis ministre chargée de l’Outre-mer (2009-2012)",,"2009-06-23","2012-05-10","cabinet ministériel","oui","action gouvernementale | outre-mer",,,,,"2013-04-23","2021-01-14"
"agent/053304","053304","rico:CorporateBody","France. Cabinet de Marlène Schiappa, secrétaire d’État auprès du Premier ministre, chargée de l’Egalité entre les femmes et les hommes (2017-2020)",,"2017-05-17","2020-07-03","cabinet ministériel","oui","action gouvernementale | droits des femmes",,,,,"2022-07-19","2023-03-02"
"agent/051788","051788","rico:CorporateBody","France. Cabinet de Martine Aubry, ministre de l'emploi et de la solidarité (1997-2000)",,"1997-06-04","2000-10-18",,"oui","emploi (1997-06-04/2000-10-18 )",,,,,"2017-11-03","2017-11-15"
"agent/051712","051712","rico:CorporateBody","France. Cabinet de Marylise Lebranchu, ministre de la Réforme de l'Etat, de la décentralisation et de la fonction publique (2012-2016)","France. Cabinet de Marylise Lebranchu, ministre de la Réforme de l'Etat, de la décentralisation et de la fonction publique | France. Cabinet de Marylise Lebranchu, ministre de la Décentralisation, de la réforme de l'Etat et de la fonction publique | France. Cabinet de Marylise Lebranchu, ministre de la Décentralisation et de la fonction publique","2012-05-16","2016-02-11",,"oui","décentralisation | fonction publique",,,,,"2017-09-21","2017-10-02"
"agent/053024","053024","rico:CorporateBody","France. Cabinet de Matthias Fekl, ministre de l'Intérieur (2017)",,"2017-03-21","2017-05-10","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2021-07-08","2021-08-16"
"agent/052494","052494","rico:CorporateBody","France. Cabinet de Maurice Bourgès-Maunoury, ministre de l’Intérieur (1955)","France. Cabinet de Maurice Bourgès-Maunoury (I), ministre de l’Intérieur (1955)","1955-02-23","1955-12-01","cabinet ministériel","oui","action gouvernementale | intérieur",,,,,"2020-02-14","2021-09-03"
