"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/002805","002805","rico:CorporateBody","Bureau du plan (ministère de l'Éducation nationale)",,"1982-01-01","1984-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003482","003482","rico:CorporateBody","Bureau du plan (secrétariat d'État aux Universités)","Bureau de l'élaboration du plan et du programme général d'action","1974-01-01","1977-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/007546","007546","rico:CorporateBody","Bureau du Plan d'équipement et des programmes d'actions régionales (direction générale du commerce intérieur et des prix)",,"1965-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003600","003600","rico:CorporateBody","Bureau du plan et de la carte universitaire (direction des enseignements supérieurs)",,"1982-01-01","1984-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002598","002598","rico:CorporateBody","Bureau du plan et de la prospective (direction des écoles)",,"1982-01-01","1984-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005904","005904","rico:CorporateBody","Bureau du plan et de la réglementation (service de l'équipement, ministère chargé de la jeunesse et des sports)","Bureau de la réglementation et du plan","1979-01-01","1986-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003455","003455","rico:CorporateBody","Bureau du plan et des études statistiques (ministère des Universités)","Bureau du plan","1977-01-01","1982-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002687","002687","rico:CorporateBody","Bureau du plan et des programmes (direction des lycées)","Bureau des affaires générales et budgétaires","1974-01-01","1986-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008077","008077","rico:CorporateBody","Bureau du plan et des structures pédagogiques (sous-direction de l'enseignement technique, ministère de l'Agriculture)",,"1979-01-01","1983-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006778","006778","rico:CorporateBody","Bureau du plan et du budget (direction de la météorologie nationale)",,"1985-01-01","1987-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005875","005875","rico:CorporateBody","Bureau du plein air et des relations avec les fédérations sportives multisports (direction des sports)",,"1979-01-01","1981-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008395","008395","rico:CorporateBody","Bureau du porc, des volailles et des productions animales spéciales (service de la production et des marchés, ministère de l'Agriculture)","Bureau du porc, des volailles et de la diversification","1999-01-01","2008-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003638","003638","rico:CorporateBody","Bureau du premier cycle et des classes préparatoires aux grandes écoles (direction des enseignements supérieurs)",,"1989-01-01","1993-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003398","003398","rico:CorporateBody","Bureau du premier cycle universitaire (1970-1974)",,"1970-01-01","1974-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003421","003421","rico:CorporateBody","Bureau du premier cycle universitaire (1974-1976)","Bureau du premier cycle universitaire et des liaisons avec les services du ministère de l'Éducation pour les classes préparatoires aux grandes écoles","1974-01-01","1976-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003516","003516","rico:CorporateBody","Bureau du premier cycle universitaire (1976-1982)",,"1976-01-01","1982-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006049","006049","rico:CorporateBody","Bureau du programme soutien et des affaires générales (ministère chargé de l'environnement)",,"2005-01-01","2008-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2022-04-19"
"agent/007501","007501","rico:CorporateBody","Bureau du rationnement (direction du commerce intérieur)","Bureau du rationnement et de la récupération","1945-01-01","1947-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/004626","004626","rico:CorporateBody","Bureau du recouvrement (sous-direction du financement de la sécurité sociale)",,"2000-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002597","002597","rico:CorporateBody","Bureau du recrutement, de la formation et de la gestion des inspecteurs départementaux de l'éducation nationale et des directeurs d'école normale",,"1974-01-01","1986-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000756","000756","rico:CorporateBody","Bureau du recrutement, de la formation et des affaires générales (sous-direction des ressources humaines de la magistrature, direction des services judiciaires)",,"2010-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006267","006267","rico:CorporateBody","Bureau du recrutement, de la formation et des écoles (sous-direction des personnels techniques, d'entretien et d'exploitation, ministère de l'Équipement)",,"2001-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009420","009420","rico:CorporateBody","Bureau du recrutement, des concours et des examens (direction des personnels militaires de la gendarmerie nationale)","Bureau du recrutement et des examens","2009-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/004445","004445","rico:CorporateBody","Bureau du recrutement (direction de l'administration générale, du personnel et du budget, ministères chargés de la santé et de la solidarité)",,"1995-01-01","2009-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/001215","001215","rico:CorporateBody","Bureau du recrutement (direction générale de la police nationale) (1982-1995)",,"1982-01-01","1995-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/001102","001102","rico:CorporateBody","Bureau du recrutement (direction générale de la police nationale) (1999-2010)",,"1999-01-01","2010-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006295","006295","rico:CorporateBody","Bureau du recrutement (ministère de l'Équipement)","Bureau des examens et concours","1985-01-01","2001-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000914","000914","rico:CorporateBody","Bureau du recrutement (ministère de l'Intérieur)",,"1983-01-01","1985-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002678","002678","rico:CorporateBody","Bureau du recrutement du personnel enseignant du second cycle classique et moderne",,"1974-01-01","1975-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003325","003325","rico:CorporateBody","Bureau du recrutement et de l'administration du personnel de l'enseignement supérieur, des cadres et des structures des établissements",,"1945-01-01","1960-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000514","000514","rico:CorporateBody","Bureau du recrutement et de la formation (direction de l'administration pénitentiaire)","Bureau du recrutement, de la formation et du perfectionnement des personnels","1979-01-01","1990-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000575","000575","rico:CorporateBody","Bureau du recrutement et de la formation (direction de la protection judiciaire de la jeunesse)",,"2003-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009072","009072","rico:CorporateBody","Bureau du recrutement et de la formation (direction générale de l'aviation civile)","Bureau de la formation","1979-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000915","000915","rico:CorporateBody","Bureau du recrutement et de la formation (ministère de l'Intérieur)",,"1982-01-01","1983-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005822","005822","rico:CorporateBody","Bureau du recrutement et de la formation (sous-direction des établissements et services extérieurs, ministère chargé de la jeunesse et des sports) (1990-1992)",,"1990-01-01","1992-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006261","006261","rico:CorporateBody","Bureau du recrutement et de la formation (sous-direction des personnels administratifs et contractuels, ministère de l'Équipement)",,"2001-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005810","005810","rico:CorporateBody","Bureau du recrutement et de la formation (sous-direction du personnel et des affaires générales, ministère chargé de la jeunesse et des sports) (1979-1990)","Bureau de formation des personnels d'inspection et d'éducation | Cellule de formation continue","1979-01-01","1990-12-31","service d’administration centrale","non",,,,,,"2015-09-30","2015-09-30"
"agent/002203","002203","rico:CorporateBody","Bureau du recrutement et de la formation des maîtres (service des enseignements généraux, direction de la pédagogie, des enseignements scolaires et de l'orientation)",,"1967-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002651","002651","rico:CorporateBody","Bureau du recrutement et de la gestion des personnels (division de l'information et de l'orientation, ministère de l'Éducation nationale)","Bureau de la gestion","1974-01-01","1986-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000974","000974","rico:CorporateBody","Bureau du recrutement et de la promotion professionnelle (ministère de l'Intérieur)",,"2004-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000893","000893","rico:CorporateBody","Bureau du recrutement et de la promotion professionnelle (ministère de l'Intérieur) (1985-2004)","Bureau du recrutement","1985-01-01","2004-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000752","000752","rico:CorporateBody","Bureau du recrutement et des affaires générales des magistrats (sous-direction de la magistrature, direction des services judiciaires)",,"2006-01-01","2007-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009672","009672","rico:CorporateBody","Bureau du recrutement et des affectations (direction des services administratifs et financiers du Premier ministre)","Bureau de la gestion prévisionnelle et des affectations","1989-01-01","2002-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/004988","004988","rico:CorporateBody","Bureau du recrutement et des concours (direction de l'administration générale, du personnel et du budget, ministères chargés de la santé et de la solidarité)",,"1990-01-01","1995-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-07-25"
"agent/000258","000258","rico:CorporateBody","Bureau du régime économique de la presse et des interventions publiques (service juridique et technique de l'information et de la communication)","Département Régime économique de la presse","1987-01-01","2000-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000256","000256","rico:CorporateBody","Bureau du régime économique de la presse et des métiers de l'information","Bureau du régime économique de la presse et des aides publiques","2000-01-01",,,"non",,,,,,"2013-04-23","2013-04-23"
"agent/000246","000246","rico:CorporateBody","Bureau du régime juridique de l'audiovisuel",,"2003-01-01",,,"non",,,,,,"2013-04-23","2013-04-23"
"agent/000260","000260","rico:CorporateBody","Bureau du régime juridique de la presse écrite et des métiers de l'information","Bureau du régime juridique de la presse écrite et des services d'information | Bureau du régime juridique de la presse et des services de la société de l'information | Bureau du régime juridique de la presse écrite et des services d'information | Département Régime juridique de la presse | Département Régime juridique et économique de la presse","1986-01-01",,,"non",,,,,,"2013-04-23","2013-04-23"
"agent/006935","006935","rico:CorporateBody","Bureau du régime social des marins (direction des affaires maritimes et des gens de mer)",,"1997-01-01","1999-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008340","008340","rico:CorporateBody","Bureau du remembrement et de l'aménagement foncier (ministère de l'Agriculture)",,"1987-01-01","1994-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008598","008598","rico:CorporateBody","Bureau du remembrement et des techniques d'aménagement foncier (ministère de l'Agriculture)","Bureau du remembrement et de la voirie","1976-01-01","1987-12-31","service d’administration centrale","non",,,,,,"2015-09-30","2015-09-30"
"agent/000502","000502","rico:CorporateBody","Bureau du renseignement pénitentiaire (direction de l'administration pénitentiaire)",,"2003-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002971","002971","rico:CorporateBody","Bureau du réseau académique, de la mobilité et de l'enseignement international (direction des relations internationales et de la coopération, ministère de l'Éducation nationale)","Bureau de la mobilité et de l'information internationale | Bureau de l'accueil, de la mobilité et de l'information internationale","1997-01-01","2006-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
