"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/050605","050605","rico:Family","Galard (famille de ; XIVe-XXe siècle)","Galard de Béarn (famille de) | Béarn (famille de Galard de) | Galard de Brassac (famille de) | Brassac (famille de Galard de) | Chalais (famille de Galard de Brassac de) | Chalais (famille de Galard de Brassac de Béarn de)","1301-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Galard","https://data.bnf.fr/ark:/12148/cb11988069d#about","2013-09-11","2023-07-13"
"agent/050500","050500","rico:Family","Galliffet (famille de)",,"1501-01-01","1900-12-31","oui",,,,,"2015-09-30",
"agent/050600","050600","rico:Family","Gilbert de Voisins (famille ; XVIe-XIXe siècles)",,"1501-01-01","1900-12-31","oui",,,,,"2013-09-11","2019-07-12"
"agent/050318","050318","rico:Family","Girardin (famille de)",,"1701-01-01","1900-12-31","oui",,,,,"2014-04-04","2018-06-07"
"agent/051807","051807","rico:Family","Gobelin (famille ; 1501-1800)",,"1501-01-01","1800-12-31","oui",,,,,"2017-11-17","2019-12-06"
"agent/050045","050045","rico:Family","Godde (famille)",,"1701-01-01","1900-12-31","oui",,,,,"2013-10-17",
"agent/050035","050035","rico:Family","Gourgues (famille de)",,"1301-01-01","1900-12-31","oui",,,,,"2013-10-17",
"agent/051241","051241","rico:Family","Gradis (famille)",,"1551-01-01","1980-12-31","oui",,,,,"2016-01-04","2016-01-11"
"agent/050065","050065","rico:Family","Gramont (famille de)",,"1201-01-01",,"oui",,,,,"2013-08-09",
"agent/050084","050084","rico:Family","Greffulhe (famille)",,"1501-01-01","2000-12-31","oui",,,,,"2013-10-17","2018-02-28"
"agent/050509","050509","rico:Family","Grossolles-Flamarens (famille de)","Grossoles-Flamarens (famille de)","1466-01-01","1879-01-08","oui",,,,,"2014-02-04","2018-03-14"
"agent/051601","051601","rico:Family","Guichen (famille de)","Du Bouexic de Guichen (famille) | Du Bouexic de la Botelerais (famille)","1701-01-01",,"oui",,,,,"2017-07-20","2018-03-26"
"agent/050031","050031","rico:Family","Guyot (famille)",,"1401-01-01","1900-12-31","oui",,,,,"2013-08-13",
"agent/050141","050141","rico:Family","Harcourt (famille d')",,"0876-01-01",,"oui",,,,,"2013-10-17",
"agent/050154","050154","rico:Family","Harlay (famille de)",,"1301-01-01",,"oui",,,,,"2013-10-17",
"agent/052561","052561","rico:Family","Hélie de Pompadour (famille ; 1001-1800)","Hélie d’Ayen (famille) | Hélie de Ségur (famille)","1001-01-01","1800-12-31","oui",,,,,"2020-06-16","2020-07-02"
"agent/052566","052566","rico:Family","Hozier (famille d’ ; 1601-1900)",,"1601-01-01","1900-12-31","oui",,,,,"2020-06-18","2020-07-02"
"agent/050324","050324","rico:Family","Hue de Miromesnil (famille ; XVIe-XIXe siècle)",,"1501-01-01","1900-12-31","oui",,,,,"2013-08-22","2023-07-11"
"agent/050137","050137","rico:Family","Hutteau (famille)",,"1601-01-01",,"oui",,,,,"2013-10-17",
"agent/010106","010106","rico:Family","Ipanema de Moreira (famille)",,"1901-01-01","2000-12-31","non",,,,,"2013-04-23","2013-04-23"
"agent/050428","050428","rico:Family","Jaucourt (famille de ; 1101-2000)",,"1101-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Jaucourt",,"2014-01-16","2020-12-09"
"agent/050108","050108","rico:Family","Joly de Fleury (famille)","Joly (famille)","1301-01-01",,"oui",,,,,"2013-08-13",
"agent/052610","052610","rico:Family","Jourdan de Launay (famille ; 1501-1800)","Jourdan de la Bretonnière (famille)","1501-01-01","1800-12-31","oui",,,,,"2020-07-01","2020-07-07"
"agent/050549","050549","rico:Family","Jubé de la Pérelle (famille)",,"1501-01-01","1900-12-31","oui",,,,,"2015-09-30",
"agent/050479","050479","rico:Family","Kergolay (famille de)",,"1401-01-01","1900-12-31","oui",,,,,"2013-12-10",
"agent/052372","052372","rico:Family","Laboulaye (famille de ; 1701-....)","Lefebvre de Laboulaye (famille) | Le Febvre de Laboulaye (famille) | Le Febvre de la Boulaye (famille) | Lefebvre de la Boulaye (famille) | Lefebvre-Laboulaye (famille)","1701-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_Lefebvre_de_Laboulaye",,"2019-10-15","2019-10-22"
"agent/051004","051004","rico:Family","Lacapère (famille)",,"1914-01-01","2007-12-31","oui",,,,,"2015-04-27","2018-04-17"
"agent/052571","052571","rico:Family","La Croix (famille de ; 1501-1800)",,"1501-01-01","1800-12-31","oui",,,,,"2020-06-18","2020-07-01"
"agent/050995","050995","rico:Family","La Fare (famille de ; 1101-....)",,"1101-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_de_La_Fare",,"2015-04-17","2020-02-11"
"agent/050032","050032","rico:Family","Lagorrée (famille de)",,"1501-01-01","1900-12-31","oui",,,,,"2013-10-17",
"agent/050589","050589","rico:Family","Lallemant de Nantouillet (famille)",,"1601-01-01","1800-12-31","oui",,,,,"2014-01-16",
"agent/050919","050919","rico:Family","Lally-Tolendal (famille de ; 1700-....)","Lally (famille de) | Lally-Tollendal","1700-01-01",,"oui",,,,,"2014-12-08","2023-07-13"
"agent/050074","050074","rico:Family","La Marck (famille de)",,"1101-01-01","1900-12-31","oui",,,,,"2013-08-13",
"agent/050194","050194","rico:Family","Lamarque",,"1770-01-01","1832-12-31","oui",,,,,"2013-10-15",
"agent/050101","050101","rico:Family","Lamoignon (famille de)",,"1201-01-01","1900-12-31","oui",,,,,"2013-08-09",
"agent/050587","050587","rico:Family","Lamoignon de Blancmesnil (famille de)","Lamoignon de Malesherbes (famille de)","1601-01-01","1800-12-31","oui",,,,,"2014-04-04",
