"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo5bn1m--3uc71qbffguy","d3m0bo5bn1m--3uc71qbffguy","CorporateBody","Académie d'agriculture de France","Société nationale d'agriculture de France | Société royale et centrale d'agriculture (France) | Société d'agriculture du département de la Seine | Société d'agriculture de France | Société royale d'agriculture (France) | Société d'agriculture de Paris",,,"Créée en 1761.",,,
"agent/FRAN_RI_013-d-4sb5qi1k2--6ikuparcy4x5","d-4sb5qi1k2--6ikuparcy4x5","CorporateBody","Académie Goncourt","Société Littéraire des Goncourt",,,,"0000000121514797",,"https://data.bnf.fr/ark:/12148/cb12013737n#about"
"agent/FRAN_RI_013-d3m0bo6656c--17bu9svhit9tz","d3m0bo6656c--17bu9svhit9tz","CorporateBody","Accord général sur les tarifs douaniers et le commerce","General Agreement on Tariffs and Trade | GATT",,,"1948-1994. Remplacé par l'Organisation mondiale du commerce.",,,
"agent/FRAN_RI_013-d3m0bo5rdxr--hingcirpadlt","d3m0bo5rdxr--hingcirpadlt","CorporateBody","Action directe (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo620mb-1ocl5hld8yszy","d3m0bo620mb-1ocl5hld8yszy","CorporateBody","Action française",,,,,,,
"agent/FRAN_RI_013-d3m0bo5s04e-7h9fuajt5qkk","d3m0bo5s04e-7h9fuajt5qkk","CorporateBody","Administration politique d'Etat (URSS)","GPU | Guépéou",,,"Police politique soviétique : remplace la Tchéka en 1922 et est absorbée par le NKVD en 1934.",,,
"agent/FRAN_RI_013-d3m0bo6ae39--1pkhjfe3bmetq","d3m0bo6ae39--1pkhjfe3bmetq","CorporateBody","ADOMA","SONACOTRA | Société nationale de construction de logements pour les travailleurs (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6maq5-wt8pkpbm3foc","d3m0bo6maq5-wt8pkpbm3foc","CorporateBody","Aéroports de Paris",,,,,,,
"agent/FRAN_RI_013-d3m0bo5zpfe-ny0xyiz0nwh","d3m0bo5zpfe-ny0xyiz0nwh","CorporateBody","Agence de l'environnement et de la maîtrise de l'énergie (France)","ADEME",,,"Etablissement public créé en 1991. Résulte de la fusion de l'Agence française pour la maîtrise de l'énergie, de l'Agence pour la qualité de l'air et de l'Agence nationale pour la récupération et l'élimination des déchets.",,,
"agent/FRAN_RI_013-d3m0bo6td20--1iv905o5cktl4","d3m0bo6td20--1iv905o5cktl4","CorporateBody","Agence française de lutte contre le dopage","Conseil de prévention et de lutte contre le dopage | Laboratoire national de dépistage du dopage",,,,,,
"agent/FRAN_RI_013-d3m0bo6fq82--1nivdl0wzfjpm","d3m0bo6fq82--1nivdl0wzfjpm","CorporateBody","Agence internationale de l'énergie atomique","AIEA",,,"Agence des Nations Unies créé en 1957.",,,
"agent/FRAN_RI_013-d3m0bo6irk8--s6hrt7v82yub","d3m0bo6irk8--s6hrt7v82yub","CorporateBody","Agence nationale de lutte contre l'illettrisme (France)","Groupe permanent de lutte contre l'illettrisme (France)",,,"Groupe permanent de lutte contre l'illettrisme : 1984-2000. Agence nationale de lutte contre l'illettrisme : 2000-....",,,
"agent/FRAN_RI_013-d3m0bo5m1sy--86cg7z3hqx4q","d3m0bo5m1sy--86cg7z3hqx4q","CorporateBody","Agence nationale des fréquences (France)",,,,"Etablissement public créé en 1997.",,,
"agent/FRAN_RI_013-d3m0bo6qxi8-156lczgq098rg","d3m0bo6qxi8-156lczgq098rg","CorporateBody","Agence nationale de valorisation de la recherche (France)","ANVAR",,,"Etablissement public créé en 1967.",,,
"agent/FRAN_RI_013-d3m0bo6265z-n080it0lls3b","d3m0bo6265z-n080it0lls3b","CorporateBody","Agence nationale pour la gestion des déchets radioactifs (France)","ANDRA",,,,,,
"agent/FRAN_RI_013-d3m0bo5t3ca--1nhrfvfmjdo9p","d3m0bo5t3ca--1nhrfvfmjdo9p","CorporateBody","Agence nationale pour le développement de l'éducation permanente (France)",,,,"Etablissement public créé en 1973.",,,
"agent/FRAN_RI_013-d3m0bo5728v--wni84adjfu06","d3m0bo5728v--wni84adjfu06","CorporateBody","Agence nationale pour le développement de la productique appliquée (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo55obx-bletd1q6g7wd","d3m0bo55obx-bletd1q6g7wd","CorporateBody","Agence pour la coopération technique, industrielle et économique (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5fa65--j3mo1i915inv","d3m0bo5fa65--j3mo1i915inv","CorporateBody","Agence pour la sécurité de la navigation aérienne en Afrique et à Madagascar","ASECNA",,,,,,
"agent/FRAN_RI_013-d3m0bo6zgiu--10nvg5snh185k","d3m0bo6zgiu--10nvg5snh185k","CorporateBody","Agence spatiale européenne","European Space Agency | ESA",,,,,,
"agent/FRAN_RI_013-d3m0bo6xfmq-x9o2h6o1kiuh","d3m0bo6xfmq-x9o2h6o1kiuh","CorporateBody","AgroParistech","Institut des sciences et industries du vivant et de l'environnement (France) | Institution royale agronomique (France) | Ecole nationale supérieure d'agriculture (France) | Institut national agronomique (France)",,,"Créé le 1er janvier 2007, AgroParisTech est le fruit de l’alliance de trois Grandes Ecoles d’ingénieurs : l'Ecole nationale du génie rural, des eaux et des forêts (ENGREF), l'Ecole nationale supérieure des industries agricoles et alimentaires (ENSIA), l'Institut national agronomique Paris-Grignon (INA P-G).",,,
"agent/FRAN_RI_013-d3m0bo6auq9-ht5mowbivzim","d3m0bo6auq9-ht5mowbivzim","CorporateBody","Airbus",,,,,,,
"agent/FRAN_RI_013-d3m0bo58wss--1gtohxupzqciq","d3m0bo58wss--1gtohxupzqciq","CorporateBody","Air-Inter",,,,,,,
"agent/FRAN_RI_013-d3m0bo57i3b--12pjzgoczgl94","d3m0bo57i3b--12pjzgoczgl94","CorporateBody","Air Polynésie",,,,,,,
"agent/FRAN_RI_013-d3m0bo64bey-12pf5lfvw0d63","d3m0bo64bey-12pf5lfvw0d63","CorporateBody","Allemagne (1871-1945). Geheime Staatspolizei","Geheime Staatspolizei (Allemagne , 1871-1945) | Gestapo (Allemagne , 1871-1945)",,,,,,
"agent/FRAN_RI_013-d3m0bo5dg0i-1x9vmh378vq7f","d3m0bo5dg0i-1x9vmh378vq7f","CorporateBody","Amoco Cadiz (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6mfha--10x16apavmly8","d3m0bo6mfha--10x16apavmly8","CorporateBody","Arte France",,,,,,,
"agent/FRAN_RI_013-d3m0bo6wtg3-18j9nidd75b76","d3m0bo6wtg3-18j9nidd75b76","CorporateBody","Arts et métiers ParisTech","ENSAM | Ecole nationale supérieure des arts et métiers (Paris)",,,"Créé en 1780.",,,
"agent/FRAN_RI_013-d3m0bo6km45-o3n7rn4stqnc","d3m0bo6km45-o3n7rn4stqnc","CorporateBody","Assistance Publique–Hôpitaux de Paris","AP-HP",,,,,,
"agent/FRAN_RI_013-d3m0bo5dwnh-rfxvwua5xc48","d3m0bo5dwnh-rfxvwua5xc48","CorporateBody","Association des maires de France",,,,"Créée en 1907.",,,
"agent/FRAN_RI_013-d3m0bo5r7zt--1ox50hfix3hpk","d3m0bo5r7zt--1ox50hfix3hpk","CorporateBody","Association européenne de libre-échange","AELE",,,,,,
"agent/FRAN_RI_013-d3m0bo53jvg-xw6373ctgi37","d3m0bo53jvg-xw6373ctgi37","CorporateBody","Association française de normalisation","AFNOR",,,,,,
"agent/FRAN_RI_013-d3m0bo5hfte--1qgdys24h6aix","d3m0bo5hfte--1qgdys24h6aix","CorporateBody","Association nationale pour la formation professionnelle des adultes (France)","AFPA",,,,,,
"agent/FRAN_RI_013-d3m0bo6whyi--1d9gf84529ij6","d3m0bo6whyi--1d9gf84529ij6","CorporateBody","Association nationale pour le développement agricole en France",,,,,,,
"agent/FRAN_RI_013-d3m0bo66wie--1ctyt707nds1v","d3m0bo66wie--1ctyt707nds1v","CorporateBody","Automobiles Peugeot","Peugeot SA | PSA",,,,,,
"agent/FRAN_RI_013-d3m0bo6nip6--xyxdgj0coufn","d3m0bo6nip6--xyxdgj0coufn","CorporateBody","Banque de France",,,,,,,
"agent/FRAN_RI_013-d3m0bo708nf--4jfqtcvl9ysq","d3m0bo708nf--4jfqtcvl9ysq","CorporateBody","Banque de l'Algérie","Banque de l'Algérie et de la Tunisie",,,"1851-1962",,,
"agent/FRAN_RI_013-d3m0bo6pdnd-1s0nc0t1n4q02","d3m0bo6pdnd-1s0nc0t1n4q02","CorporateBody","Bételgeuse (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5gtmr-14xlgddifugmj","d3m0bo5gtmr-14xlgddifugmj","CorporateBody","Bibliothèque nationale de France","BnF",,,,,,
"agent/FRAN_RI_013-d3m0bo52hg3--1h3vj7i0f4mmo","d3m0bo52hg3--1h3vj7i0f4mmo","CorporateBody","Boehlen (navire)",,,,,,,
"agent/FRAN_RI_013-d-2cei798cu--1ai3fimd77ag3","d-2cei798cu--1ai3fimd77ag3","CorporateBody","Bonfils, Michel, Souvraz et Cie",,,,,,,
"agent/FRAN_RI_013-d3m0bo6xa33--jg6l3sjie1oc","d3m0bo6xa33--jg6l3sjie1oc","CorporateBody","Bourse d'échange de logements (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5aqk6--1ghze9agv6xrj","d3m0bo5aqk6--1ghze9agv6xrj","CorporateBody","Brigades internationales (Guerre civile espagnole , 1936-1939)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5bbya--ngj8f6vqa3r1","d3m0bo5bbya--ngj8f6vqa3r1","CorporateBody","Brigades rouges (Italie)","Brigate rosse (Italie)",,,,,,
"agent/FRAN_RI_013-d3m0bo6898j-15l1topx4oie7","d3m0bo6898j-15l1topx4oie7","CorporateBody","Bugaled Breizh (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6jiwa--1p45u73ewmjsv","d3m0bo6jiwa--1p45u73ewmjsv","CorporateBody","Bull",,,,,,,
"agent/FRAN_RI_013-d3m0bo5mi1o-12lrb49jr87ho","d3m0bo5mi1o-12lrb49jr87ho","CorporateBody","Bureau d'études des postes et télécommunications d'Outre-mer (France)","Office central des postes et télécommunications d'Outre-mer (France) | BEPTOM",,,,,,
"agent/FRAN_RI_013-d3m0bo6a8jm-t2r7q4zpktuf","d3m0bo6a8jm-t2r7q4zpktuf","CorporateBody","Bureau de recherches géologiques et minières (France)","BRGM",,,,,,
"agent/FRAN_RI_013-d3m0bo68es7--1c99l1do01bpg","d3m0bo68es7--1c99l1do01bpg","CorporateBody","Bureau Veritas",,,,,,,
"agent/FRAN_RI_013-d3m0bo6w0xa-1b9q5589oh4cz","d3m0bo6w0xa-1b9q5589oh4cz","CorporateBody","Caisse des dépôts (France)","Caisse des dépôts et consignations (France)",,,"Créée en 1816. Code monétaire et financier Art. L 518-2 à L 518-3.",,,
"agent/FRAN_RI_013-d3m0bo6vuzc-49p97zadsnkd","d3m0bo6vuzc-49p97zadsnkd","CorporateBody","Caisse d’aide à l’équipement des collectivités locales (France)",,,,"Créée en 1966 pour compléter les financements de la Caisse des dépôts et consignations. Elle est remplacée par le Crédit local de France en 1987 puis par Dexia en 1996.",,,
"agent/FRAN_RI_013-d3m0bo5yvbj-eutgmajgbwe8","d3m0bo5yvbj-eutgmajgbwe8","CorporateBody","Caisse nationale des caisses d'épargne (France)",,,,"Le groupe Caisse d'épargne a fusionné en 2009 avec le groupe Banque Populaire pour devenir le groupe BPCE.",,,
"agent/FRAN_RI_013-d3m0bo5sblz-oao1h72q4osf","d3m0bo5sblz-oao1h72q4osf","CorporateBody","Canal +",,,,,,,
"agent/FRAN_RI_013-d3m0bo6esy4-jra5skbo4mrs","d3m0bo6esy4-jra5skbo4mrs","CorporateBody","Carrefour international de la communication (France)",,,,"Etablissement public créé par la loi n°84-409 du 1er juin 1984, supprimé par la loi n°86-1067 du 30 septembre 1986.",,,
"agent/FRAN_RI_013-d3m0bo58a7v-1h9oqjokt5c9g","d3m0bo58a7v-1h9oqjokt5c9g","CorporateBody","Casa de Velázquez (Madrid)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6e17t-rg3xudkcashv","d3m0bo6e17t-rg3xudkcashv","CorporateBody","CEA industrie",,,,"Société anonyme, absorbée par Areva en 2001.",,,
"agent/FRAN_RI_013-d3m0bo5vbrc-7gdh5izu6wjt","d3m0bo5vbrc-7gdh5izu6wjt","CorporateBody","Centre d'études des systèmes et des technologies avancées (France)","CESTA",,,,,,
"agent/FRAN_RI_013-d3m0bo5f4mi-1wbwpekpjodls","d3m0bo5f4mi-1wbwpekpjodls","CorporateBody","Centre d'études et de recherches sur les qualifications (France)","CEREQ",,,,,,
"agent/FRAN_RI_013-d3m0bo69saw--o7gxkfqdf42r","d3m0bo69saw--o7gxkfqdf42r","CorporateBody","Centre d'information et de documentation jeunesse (Paris)","CIDJ",,,,,,
"agent/FRAN_RI_013-d3m0bo5idvw-1dsbj5xeu3qff","d3m0bo5idvw-1dsbj5xeu3qff","CorporateBody","Centre de hautes études administratives sur l'Afrique et l'Asie modernes (France)","CHEAM",,,"1936-1973.",,,
"agent/FRAN_RI_013-d3m0bo6s3hy--wbtzmj4mmc2x","d3m0bo6s3hy--wbtzmj4mmc2x","CorporateBody","Centre des monuments nationaux (France)","CNMHS | Caisse nationale des monuments historiques et des sites (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5myon-y0zg286qju4n","d3m0bo5myon-y0zg286qju4n","CorporateBody","Centre national d'art et de culture Georges-Pompidou (Paris)","Centre Pompidou (Paris) | Centre Beaubourg (Paris) | CNACGP",,,,,,
"agent/FRAN_RI_013-d3m0bo5zuz2-1eykdhmtsm872","d3m0bo5zuz2-1eykdhmtsm872","CorporateBody","Centre national d'enseignement à distance (France)","Centre national de télé-enseignement (France) | Centre national d'enseignement par correspondance (France) | CNED",,,,,,
"agent/FRAN_RI_013-d3m0bo5gz6f-13cnycyza9hmo","d3m0bo5gz6f-13cnycyza9hmo","CorporateBody","Centre national d'études et d'expérimentation de machinisme agricole (France)",,,,"1955-1981.",,,
"agent/FRAN_RI_013-d3m0bo5k6ur-x5mzdsxewhu6","d3m0bo5k6ur-x5mzdsxewhu6","CorporateBody","Centre national d'études spatiales (France)","CNES",,,,,,
"agent/FRAN_RI_013-d3m0bo57z4k-4w77ft398883","d3m0bo57z4k-4w77ft398883","CorporateBody","Centre national de documentation pédagogique (France)","OFRATEME | Office français des techniques modernes d'éducation | CNDP",,,,,,
"agent/FRAN_RI_013-d3m0bo558hg--vzw3s7ewvl5q","d3m0bo558hg--vzw3s7ewvl5q","CorporateBody","Centre national de la recherche scientifique (France)","CNRS",,,"Créé en 1939.",,,
"agent/FRAN_RI_013-d3m0bo64rno-39jd6ea9pmmk","d3m0bo64rno-39jd6ea9pmmk","CorporateBody","Centre national de la recherche scientifique (France). Comité national de la recherche scientifique",,,,,,,
"agent/FRAN_RI_013-d3m0bo5mnzl-1ell6v4z7rgql","d3m0bo5mnzl-1ell6v4z7rgql","CorporateBody","Centre national des arts plastiques (France)","CNAP",,,,,,
"agent/FRAN_RI_013-d3m0bo52mzr--3lq9byxbjeie","d3m0bo52mzr--3lq9byxbjeie","CorporateBody","Centre national des expositions et concours agricoles (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5c3ol--vjtoonwbkws9","d3m0bo5c3ol--vjtoonwbkws9","CorporateBody","Centre national des oeuvres universitaires et scolaires (France)","CNOUS",,,,,,
"agent/FRAN_RI_013-d3m0bo6gc0g-aauudb34db2f","d3m0bo6gc0g-aauudb34db2f","CorporateBody","Centre national pour l'aménagement des structures des exploitations agricoles (France)","CNASEA",,,,,,
"agent/FRAN_RI_013-d3m0bo597w3--4g6yu17gxagi","d3m0bo597w3--4g6yu17gxagi","CorporateBody","Centre national pour l'exploitation des océans (France)","CNEXO",,,"1967-1984. Fusion avec l'Institut scientifique et technique des pêches maritimes (ISTPM) pour donner naissance à l'Institut français de recherche pour l'exploitation de la mer (IFREMER).",,,
"agent/FRAN_RI_013-d3m0bo6owm4--lctjbfmgcq81","d3m0bo6owm4--lctjbfmgcq81","CorporateBody","Centre scientifique et technique du bâtiment (France)",,,,"Etablissement public créé en 1947.",,,
"agent/FRAN_RI_013-d3m0bo5h4q3-zdd5uxlg98ii","d3m0bo5h4q3-zdd5uxlg98ii","CorporateBody","CERN","Centre européen de recherche nucléaire | Organisation européenne pour la recherche nucléaire",,,"Créé en 1954.",,,
"agent/FRAN_RI_013-d3m0bo6bgww--p5fun264ukmn","d3m0bo6bgww--p5fun264ukmn","CorporateBody","Chapelle Darblay",,,,"Chapelle Darblay est une usine spécialisée dans la fabrication de papier journal à partir de fibres 100 % recyclées.",,,
"agent/FRAN_RI_013-d-4j83mir5i--hy2pdo13cjwx","d-4j83mir5i--hy2pdo13cjwx","CorporateBody","Chapitre cathédral (Paris)","Chapitre de Notre-Dame (Paris) | Chapitre de l'Église de Paris",,,,,,"https://data.bnf.fr/ark:/12148/cb13543552m#about"
"agent/FRAN_RI_013-d3m0bo5qlt6-oph5z0l1sowo","d3m0bo5qlt6-oph5z0l1sowo","CorporateBody","Charbonnages de France",,,,"1946-2008.",,,
"agent/FRAN_RI_013-d3m0bo5t9a7--1vteh7o2f2shq","d3m0bo5t9a7--1vteh7o2f2shq","CorporateBody","Cité des sciences et de l'industrie (Paris)",,,,"Etablissement public créé en 1985.",,,
"agent/FRAN_RI_013-d3m0bo638zl-64e34e7ejeiw","d3m0bo638zl-64e34e7ejeiw","CorporateBody","Cité internationale universitaire (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo54xse--iasf9ahqtrpu","d3m0bo54xse--iasf9ahqtrpu","CorporateBody","Citroën",,,,,,,
"agent/FRAN_RI_013-d3m0bo6c2b0--10domehyt89qw","d3m0bo6c2b0--10domehyt89qw","CorporateBody","COFACE","Compagnie française d'assurance pour le commerce extérieur",,,"Créé en 1946. Privatisé en 1994. Filiale du groupe Natixis.",,,
"agent/FRAN_RI_013-d3m0bo5knw0--11yw7kodhvc7","d3m0bo5knw0--11yw7kodhvc7","CorporateBody","Comédie-Française (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6k5h6--16lx27bw1q6j3","d3m0bo6k5h6--16lx27bw1q6j3","CorporateBody","Comité d'organisation des jeux olympiques",,,,,,,
"agent/FRAN_RI_013-d3m0bo5g71v-ou4pnsj86742","d3m0bo5g71v-ou4pnsj86742","CorporateBody","Comité international olympique",,,,,,,
"agent/FRAN_RI_013-d3m0bo525yi-12btna6fzf4wu","d3m0bo525yi-12btna6fzf4wu","CorporateBody","Comité olympique français",,,,,,,
"agent/FRAN_RI_013-d3m0bo5g1wg--rv9o60c7jeyq","d3m0bo5g1wg--rv9o60c7jeyq","CorporateBody","Comité secret d'action révolutionnaire (France)","La Cagoule (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5i8c8--5n872boxa7l","d3m0bo5i8c8--5n872boxa7l","CorporateBody","Commissariat à l'énergie atomique et aux énergies alternatives (France)","Commissariat à l'énergie atomique (France) | CEA",,,,,,
"agent/FRAN_RI_013-d3m0bo5lvv1--1mhf2ixohtjtj","d3m0bo5lvv1--1mhf2ixohtjtj","CorporateBody","Commissariat à l'énergie solaire (France)","COMES",,,,,,
"agent/FRAN_RI_013-d3m0bo6czkz--s9maxzcsa8hn","d3m0bo6czkz--s9maxzcsa8hn","CorporateBody","Commission européenne des droits de l'homme",,,,"Commission dépendant du Conseil de l'Europe, ayant fonctionné de 1954 à 1999.",,,
"agent/FRAN_RI_013-d3m0bo5jw5p--ogyadzgqd0ip","d3m0bo5jw5p--ogyadzgqd0ip","CorporateBody","Commonwealth",,,,,,,
"agent/FRAN_RI_013-d3m0bo6ibbi--h0a68batgxw","d3m0bo6ibbi--h0a68batgxw","CorporateBody","Communauté des Etats indépendants","CEI",,,"Créée en décembre 1991, la CEI comprend l'Arménie, l'Azerbaïdjan, la Biélorussie, la Géorgie, le Kazakhstan, le Kirghizstan, la Moldavie, l'Ouzbékistan, la Russie, le Tadjikistan, le Turkménistan, l'Ukraine.",,,
"agent/FRAN_RI_013-d3m0bo5m7cm--9pgv7ef0rsh1","d3m0bo5m7cm--9pgv7ef0rsh1","CorporateBody","Communauté européenne","CEE",,,"La Communauté européenne a remplacé la CEE (traité de Maastricht - 1992) avec des compétences supranationales étendues.",,,
"agent/FRAN_RI_013-d3m0bo62h9a--1wpvedgfdtizc","d3m0bo62h9a--1wpvedgfdtizc","CorporateBody","Communauté européenne de défense",,,,,,,
"agent/FRAN_RI_013-d3m0bo66aq0-korngcfi8hd4","d3m0bo66aq0-korngcfi8hd4","CorporateBody","Communauté européenne de l'énergie atomique","CEEA | EURATOM",,,"Créée par le traité de Rome ( 25 mars 1957).",,,
"agent/FRAN_RI_013-d3m0bo6g6gs-90qjuy245hbd","d3m0bo6g6gs-90qjuy245hbd","CorporateBody","Communauté européenne du charbon et de l'acier","CECA",,,"Créée par le traité de Paris (18 avril 1951) - conclue pour 50 ans, elle a pris fin en 2001 et a été intégrée dans l'Union européenne.",,,
"agent/FRAN_RI_013-d3m0bo5v67o-5rc8o7wqdd3e","d3m0bo5v67o-5rc8o7wqdd3e","CorporateBody","Communauté française (1958-1960)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6fkof--1menwkhoiwc3l","d3m0bo6fkof--1menwkhoiwc3l","CorporateBody","Communautés européennes",,,,"Désigne les trois communautés européennes (CEE, CECA, EURATOM).",,,
"agent/FRAN_RI_013-d3m0bo6e6rh--1d1br47834iq7","d3m0bo6e6rh--1d1br47834iq7","CorporateBody","Compagnie des messageries maritimes","Messageries maritimes (France)",,,"Créée en 1851",,,
"agent/FRAN_RI_013-d-4fcxvmk4x-w7cwq0fsr6h0","d-4fcxvmk4x-w7cwq0fsr6h0","CorporateBody","Compagnie des mines et usines de Bône (1845-....)","Eugène de Bassano et Cie","1845-12-19",,,,,
"agent/FRAN_RI_013-d3m0bo52xot--qku81bcerp34","d3m0bo52xot--qku81bcerp34","CorporateBody","Compagnie générale maritime","Compagnie générale transatlantique (Paris) | CGM",,,"Créée en 1855.",,,
"agent/FRAN_RI_013-d-4kznpmvlm--poahlv4c5vcn","d-4kznpmvlm--poahlv4c5vcn","CorporateBody","Compagnie Immobilière",,,,,,,
"agent/FRAN_RI_013-d3m0bo6xwnz--1uho5cu6awgva","d3m0bo6xwnz--1uho5cu6awgva","CorporateBody","Compagnie nationale du Rhône",,,,,,,
"agent/FRAN_RI_013-d3m0bo5xlrh-wac96ms5uvxi","d3m0bo5xlrh-wac96ms5uvxi","CorporateBody","Confédération française démocratique du travail","CFDT",,,,,,
"agent/FRAN_RI_013-d3m0bo65dub--8027uudwz7p9","d3m0bo65dub--8027uudwz7p9","CorporateBody","Confédération française des travailleurs chrétiens","CFTC",,,,,,
"agent/FRAN_RI_013-d3m0bo640bm--a3vuzua28hev","d3m0bo640bm--a3vuzua28hev","CorporateBody","Confédération générale du travail (France)","CGT",,,,,,
"agent/FRAN_RI_013-d3m0bo5dav3--1xp1kra6okgvf","d3m0bo5dav3--1xp1kra6okgvf","CorporateBody","Conférence des Nations Unies sur l'environnement (1972 , Stockholm)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5i201--11k38n596qbok","d3m0bo5i201--11k38n596qbok","CorporateBody","Conférence des Nations Unies sur le commerce et le développement","CNUCED",,,,,,
"agent/FRAN_RI_013-d3m0bo5kicc-vm6zif2nnb9","d3m0bo5kicc-vm6zif2nnb9","CorporateBody","Conseil de l'Europe",,,,"Organisation intergouvernementale créée par le Traité de Londres (5 mai 1949).",,,
"agent/FRAN_RI_013-d3m0bo6xqq2--1slw56qahb1ve","d3m0bo6xqq2--1slw56qahb1ve","CorporateBody","Conseil international des archives",,,,,,,
"agent/FRAN_RI_013-d3m0bo54h5f--1wb1u27klj95u","d3m0bo54h5f--1wb1u27klj95u","CorporateBody","Conseil international des monuments et des sites","ICOMOS",,,,,,
"agent/FRAN_RI_013-d3m0bo60mb3-1vyla0doe3ozn","d3m0bo60mb3-1vyla0doe3ozn","CorporateBody","Conservatoire national des arts et métiers (France)","CNAM",,,"Créé en 1794.",,,
"agent/FRAN_RI_013-d3m0bo6hjl7--v2yyx7xzpm9h","d3m0bo6hjl7--v2yyx7xzpm9h","CorporateBody","Conservatoire national supérieur de musique et de danse de Lyon",,,,,,,
"agent/FRAN_RI_013-d3m0bo5ffpt-18v666sfeg6us","d3m0bo5ffpt-18v666sfeg6us","CorporateBody","Cour européenne des droits de l'homme",,,,,,,
"agent/FRAN_RI_013-d3m0bo60s91--1m3fiwsot6zym","d3m0bo60s91--1m3fiwsot6zym","CorporateBody","Covens et Mortier",,,,,,,
"agent/FRAN_RI_013-d3m0bo5eods-lg6s0dn1l1oa","d3m0bo5eods-lg6s0dn1l1oa","CorporateBody","Crédit agricole","Caisse nationale de crédit agricole | Office national de crédit agricole",,,"Créé en 1920.",,,
"agent/FRAN_RI_013-d-b2xrxy963-1c2nhyt67aa0t","d-b2xrxy963-1c2nhyt67aa0t","CorporateBody","Crédit foncier de France","Crédit foncier","1850-01-01",,,,,
"agent/FRAN_RI_013-d3m0bo69mr8-1tp3txtei3s4g","d3m0bo69mr8-1tp3txtei3s4g","CorporateBody","Crédit local de France",,,,"Créé en 1987 en remplacement de la Caisse d’aide à l’équipement des collectivités locales. Il fusionne en 1996 avec le Crédit communal de Belgique et devient Dexia.",,,
"agent/FRAN_RI_013-d3m0bo6qm0n-2ev5q8odd4oa","d3m0bo6qm0n-2ev5q8odd4oa","CorporateBody","Crédit maritime mutuel (France)",,,,,,,
"agent/FRAN_RI_013-d-4k2zdw9uf--l2po6wym8z0b","d-4k2zdw9uf--l2po6wym8z0b","CorporateBody","Crédit mobilier",,,,,,,
"agent/FRAN_RI_013-d-2clujrn5r-jzsoymf0k96m","d-2clujrn5r-jzsoymf0k96m","CorporateBody","Desoye Valery et Cie",,,,,,,
"agent/FRAN_RI_013-d-2g1g3yke4-i5jwaby3wjec","d-2g1g3yke4-i5jwaby3wjec","CorporateBody","Durand et Cie",,,,,,,
"agent/FRAN_RI_013-d-2fmm4ikwi-1o13vbzfddn3x","d-2fmm4ikwi-1o13vbzfddn3x","CorporateBody","Duriez, Guyot et Cie",,,,,,,
"agent/FRAN_RI_013-d3m0bo55dmu--x43ksoocaqso","d3m0bo55dmu--x43ksoocaqso","CorporateBody","Ecole Boulle (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5yeaa-1xkxja4tv2tb1","d3m0bo5yeaa-1xkxja4tv2tb1","CorporateBody","Ecole d'architecture de la ville et des territoires (Marne-la-Vallée)","Ecole d'architecture Paris-Tolbiac",,,,,,
"agent/FRAN_RI_013-d3m0bo645va-13s9tc68u8fkk","d3m0bo645va-13s9tc68u8fkk","CorporateBody","Ecole des hautes études en santé publique (Rennes)","Ecole nationale de la santé publique (Rennes)",,,,,,
"agent/FRAN_RI_013-d3m0bo63urz--1s3d8o8dxaija","d3m0bo63urz--1s3d8o8dxaija","CorporateBody","Ecole du Louvre (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo54mp2--1xtpzacly323x","d3m0bo54mp2--1xtpzacly323x","CorporateBody","Ecole Estienne (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6j7sy-umdugec85row","d3m0bo6j7sy-umdugec85row","CorporateBody","Ecole française d'Extrême-Orient",,,,,,,
