"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo5qrcu-h6rh21pz8tbu","d3m0bo5qrcu-h6rh21pz8tbu","CorporateBody","Organisation Todt (Allemagne)",,,,"1938-1945.",,,
"agent/FRAN_RI_013-d3m0bo6wc0l--1ek0zhph7ucpc","d3m0bo6wc0l--1ek0zhph7ucpc","CorporateBody","Orkem","Charbonnages de France Chimie",,,,,,
"agent/FRAN_RI_013-d3m0bo5x4q8--bbexpuo2txjq","d3m0bo5x4q8--bbexpuo2txjq","CorporateBody","Otto Hahn (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6l8as-4x2e8iot94bi","d3m0bo6l8as-4x2e8iot94bi","CorporateBody","Palais de la découverte (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6z0a4-1azl1v6p39wc3","d3m0bo6z0a4-1azl1v6p39wc3","CorporateBody","Parti communiste français","PCF",,,,,,
"agent/FRAN_RI_013-d3m0bo51uv7--1w5ik5ulab6","d3m0bo51uv7--1w5ik5ulab6","CorporateBody","Parti socialiste (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6b09w-n6m9vits4mre","d3m0bo6b09w-n6m9vits4mre","CorporateBody","Péchiney","Pechiney-Ugine-Kuhlmann",,,,,,
"agent/FRAN_RI_013-d3m0bo54s8q--h4blgjqidg14","d3m0bo54s8q--h4blgjqidg14","CorporateBody","Philips",,,,,,,
"agent/FRAN_RI_013-d-2g8jbrvx5-1np2sdvw35nc","d-2g8jbrvx5-1np2sdvw35nc","CorporateBody","Prève et Cie",,,,,,,
"agent/FRAN_RI_013-d-2ev59wk2x--1mcfbotkgimcz","d-2ev59wk2x--1mcfbotkgimcz","CorporateBody","Quéru et Cie",,,,,,,
"agent/FRAN_RI_013-d3m0bo5ha9q--1oz2mtm0kpiu6","d3m0bo5ha9q--1oz2mtm0kpiu6","CorporateBody","Radio France (Paris). Orchestre national","Orchestre national de France",,,,,,
"agent/FRAN_RI_013-d3m0bo6ghk4-1o57foedfe6df","d3m0bo6ghk4-1o57foedfe6df","CorporateBody","Radio France internationale","RFI",,,,,,
"agent/FRAN_RI_013-d3m0bo6w6gx-19r1zx19at9fs","d3m0bo6w6gx-19r1zx19at9fs","CorporateBody","Radio France Outre-mer","RFO",,,,,,
"agent/FRAN_RI_013-d3m0bo5cumd-17jr0ec6scdxg","d3m0bo5cumd-17jr0ec6scdxg","CorporateBody","Radio Monte-Carlo","RMC",,,,,,
