"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/chemin%20de%20ronde",,"PlaceType","chemin de ronde",,"« Un chemin de ronde est un élément d’architecture destiné à la circulation des sentinelles, consistant en une voie en position sommitale, en saillie d’une muraille, d’une courtine ou de tours d’une fortification ». (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q299232",,,,,"2025-03-12 : Concept ajouté."
"placeType/chemin%20vicinal",,"PlaceType","chemin vicinal","voie communale | route vicinale","« Terme ancien datant de la révolution qui désigne la notion d’une route de faible importance reliant le voisinage ». (source: securite-routiere-az.fr). Les chemins vicinaux constituaient les chemins nécessaires à la communication entre les communes et avaient été instaurés par une loi du 28 juillet 1824. Cette catégorie est remplacée par la notion de voie communale, définie par l’ordonnance n° 59-115 du 7 janvier 1959 relative à la voirie des collectivités locales (source : Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q86685550",,,,,"2025-03-12 : Concept ajouté."
"placeType/cimeti%C3%A8re%20militaire",,"PlaceType","cimetière militaire",,"Lieu où sont inhumés les soldats morts lors d’une guerre.",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/cit%C3%A9",,"PlaceType","cité",,"« Le mot cité est un odonyme servant à désigner une voie publique. En effet, il est par extension le terme utilisé pour la voie qui longe un grand ensemble d’une cité ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q15070223",,,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T96-36","2025-03-12 : Concept ajouté."
"placeType/cit%C3%A9%20sanitaire",,"PlaceType","cité sanitaire",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/col",,"PlaceType","col",,,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
"placeType/commune",,"PlaceType","commune française",,,,,,,,,,,,,
"placeType/cour",,"PlaceType","cour",,"« Cour est [...] le terme utilisé pour une voie d’accès qui est une ou plusieurs cours en enfilade, donnant accès à des bâtiments enclavés dans un îlot d’immeubles ». (source: Wikipédia)","Ne pas confondre avec ""cours""","placeType/voie","voie",,,"http://www.wikidata.org/entity/Q17383262",,,,,"2025-03-12 : Concept ajouté."
"placeType/cours",,"PlaceType","cours",,"« Un cours désigne une large avenue urbaine, ordinairement plantée d’arbres ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q16544740",,,,,"2025-03-12 : Concept ajouté."
"placeType/cours%20d%E2%80%99eau",,"PlaceType","cours d’eau","rivière","Tout écoulement terrestre d’eau liquide entre une source et une embouchure avec un débit à module supérieur à zéro (source : Wikipédia).",,"placeType/%C3%A9l%C3%A9ment%20d%27hydrographie","élément d’hydrographie",,,,,,,,"2025-03-12 : Modifié l’URI (passage aux apostrophes courbes). | 2020-06-17 : Ajouté le 17 juin 2020."
"placeType/d%C3%A9partement",,"PlaceType","département français",,,"département actuel, ou département ancien disparu.",,,,,,,,,,
"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique",,"PlaceType","élément de géographie physique",,,,,,,,,,,,,
"placeType/%C3%A9l%C3%A9ment%20d%27hydrographie",,"PlaceType","élément d’hydrographie",,,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,,
"placeType/escalier",,"PlaceType","escalier",,"« Un escalier est une construction architecturale constituée d’une suite régulière de marches, ou degrés, permettant d’accéder à un étage, de passer d’un niveau à un autre en montant et descendant. Par extension, ce type de construction a donné son nom à un escalier, voie piétonne, à ciel ouvert ou couverte, constituée d’une ou plusieurs marches ». (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q12511",,,,,"2025-03-12 : Concept ajouté."
