"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/cit%C3%A9%20sanitaire",,"PlaceType","cité sanitaire",,"Une cité sanitaire est un établissement médico-social conçu comme une petite ville autonome, qui regroupe des infrastructures de soins et des équipements collectifs (logements, écoles, ateliers, espaces de vie), afin d’assurer à des malades ou convalescents à la fois un suivi médical et une vie sociale ordinaire. (Source : Wikipédia)",,"Clairvivre (Salagnac ; cité sanitaire) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-2q6cnkaks--rbph69leaoj6]","placeType/lieu%20d%E2%80%99assistance%20ou%20de%20protection%20sociale","lieu d’assistance ou de protection sociale",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/clo%C3%AEtre",,"PlaceType","cloître",,"Un cloître est, dans l’architecture religieuse, une galerie ouverte délimitant une cour centrale ou un préau. Le cloître est généralement carré. La disposition de la galerie ouverte est quelquefois répétée à l’étage (cloître à galeries hautes). (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Sainte-Geneviève, cloître (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cufzmlf-1umgtn2erodrz]","placeType/construction%20ou%20%C3%A9difice%20%C3%A0%20usage%20religieux","construction ou édifice à usage religieux","placeType/galerie","http://data.culture.fr/thesaurus/page/ark:/67717/T96-124 | https://www.wikidata.org/wiki/Q1430154 | https://data.bnf.fr/ark:/12148/cb119407358 | http://fr.dbpedia.org/resource/Clo%C3%AEtre",,,,,"2026-02-23 : Concept ajouté."
"placeType/col",,"PlaceType","col",,,,"Bussang, col de (France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1g86cc898-14g8nef6gougx]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q2231510",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/coll%C3%A8ge",,"PlaceType","collège",,"Un lieu d’enseignement, relevant d’un établissement public ou privé. Sous l’Ancien Régime, il dépendait souvent d’une institution religieuse. À partir du XIXe siècle, il désigne fréquemment un établissement d’enseignement du premier cycle. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Stanislas, collège (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzupqpgy--1bnyfs1peyeh9]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-315 | https://data.bnf.fr/ark:/12148/cb11936525n | https://www.wikidata.org/wiki/Q189004 | http://fr.dbpedia.org/page/Coll%C3%A8ge",,,,,"2026-02-23 : Concept ajouté."
"placeType/colonne",,"PlaceType","colonne",,"""Une colonne commémorative est un monument érigé en commémoration d’un événement important, victoire militaire, prise d’indépendance ou autre événement politique, ou encore en l’honneur d’un personnage important. ""(Source : Wikipédia)",,"Juillet, colonne de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuju48v--18lz8srqft84a]","placeType/monument%20comm%C3%A9moratif","monument commémoratif",,,"https://fr.wikipedia.org/wiki/Colonne_comm%C3%A9morative | https://data.bnf.fr/fr/ark:/12148/cb16766391v | https://www.idref.fr/178803901",,,"https://www.wikidata.org/wiki/Q1930585","2026-02-23 : Concept ajouté."
"placeType/commanderie",,"PlaceType","commanderie",,"Une commanderie est un établissement d’un ordre religieux militaire (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Saint-Jean-de-Latran, commanderie (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuom8i5-1lpt0qrfejve0]","placeType/%C3%A9tablissement%20conventuel","établissement conventuel",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-101 | https://data.bnf.fr/ark:/12148/cb119671242 | http://fr.dbpedia.org/resource/Commanderie",,,,,"2026-02-23 : Concept ajouté."
"placeType/commune",,"PlaceType","commune française",,"La commune est une division élémentaire du territoire français qui sert de division de gestion du territoire. C’est notamment le territoire d’exercice de la collectivité territoriale de même nom. En tant que circonscription administrative, la commune constitue aussi l’organe élémentaire d’exercice de l’État sur le territoire national. Elle sert aussi de maille élémentaire pour de nombreuses statistiques. L’histoire des communes, en tant qu’institution, commence formellement avec le décret du 12 novembre 1789. Elles succèdent aux communautés, seigneuries et paroisses de l’Ancien Régime et connaissent une évolution continue de leur droit avec essentiellement deux lois fondatrices : 1884, l’élection au suffrage universel, et 1982 sur la décentralisation. (source: Wikipédia)",,"Clichy (Hauts-de-Seine) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3ntxeji2p-1lu39awemgiwf]","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,"https://www.wikidata.org/wiki/Q484170",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/conservatoire%20national",,"PlaceType","conservatoire national",,"""Un conservatoire-académie ou conservatoire-école peut être une organisation, telle qu’un établissement public ou privé, destinée à sauvegarder et promouvoir l’enseignement de certaines valeurs culturelles comme la musique, la danse, le théâtre, mais aussi d’autres types de savoirs comme les techniques de certains métiers (mécanique, son, image, etc.). En France, il s’agit des Conservatoires de musique, danse et art dramatique."" (Source : Wikipédia)",,"Arts et Métiers, conservatoire national des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cug73ky-1fgm2723f122i]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-321 | https://fr.wikipedia.org/wiki/Conservatoire | http://fr.dbpedia.org/page/Conservatoire",,,,"2026-02-23 : Concept ajouté."
"placeType/construction%20ou%20%C3%A9difice%20%C3%A0%20usage%20religieux",,"PlaceType","construction ou édifice à usage religieux",,"Construction, partie de construction ou ensemble de construction utilisés par les pratiquants d’une religion.",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/cour",,"PlaceType","cour (voie)",,"Une cour est « une voie d’accès qui est une ou plusieurs cours en enfilade, donnant accès à des bâtiments enclavés dans un îlot d’immeubles ». (source: Wikipédia)","Ne pas confondre avec ""cours""","cour du Ponant (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzclt2vl-ljtt7cc5y5dq]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q17383262",,,,,"2026-02-23 : Correction de la dénomination préférentielle (skos:prefLabel). Ajout des données suivantes : définition, exemple(s)"
"placeType/cours",,"PlaceType","cours (voie)",,"Un cours est une large avenue urbaine, ordinairement plantée d’arbres. (source: Wikipédia)",,,"placeType/voie","voie",,"http://www.wikidata.org/entity/Q16544740",,,,,"2026-02-23 : Correction de la dénomination préférentielle (skos:prefLabel). Ajout des données suivantes : définition"
"placeType/cours%20d%E2%80%99eau",,"PlaceType","cours d’eau","rivière","Un cours d’eau est tout écoulement terrestre d’eau liquide entre une source et une embouchure avec un débit à module supérieur à zéro. (source : Wikipédia)",,,"placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","élément d’hydrographie",,"https://data.bnf.fr/fr/ark:/12148/cb11952208p",,,,,"2026-02-23 : Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/couvent",,"PlaceType","couvent",,"Un couvent est le lieu où est établie une communauté religieuse d’hommes ou de femmes, à l’exclusion de l’abbaye, du prieuré, du béguinage, de la commanderie et de l’ermitage. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Feuillants, couvent des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuin694-o1jn03745z92]","placeType/%C3%A9tablissement%20conventuel","établissement conventuel",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-102 | https://www.wikidata.org/wiki/Q1128397 | https://data.bnf.fr/ark:/12148/cb119780456 | http://fr.dbpedia.org/resource/Couvent",,,,,"2026-02-23 : Concept ajouté."
"placeType/d%C3%A9partement",,"PlaceType","département français",,"Le département est « une circonscription administrative et le territoire de compétence des services déconcentrés de l’État (le plus souvent appelée simplement département, mais parfois appelée circonscription départementale en cas d’ambiguïté quand les territoires de compétence de la circonscription et de la collectivité homonyme ne coïncident pas) ». (source: Wikipédia)","département actuel, ou département ancien disparu.","Finistère (Bretagne, département) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3ntb7ow7c--5vehi4l7x7op]","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,"https://www.wikidata.org/wiki/Q6465",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/%C3%A9cole",,"PlaceType","école",,"""Une école est un établissement où l’on accueille des individus appelés élèves afin que des professeurs leur dispensent un enseignement de façon collective. ""(Source wikipedia)",,"Saint-Germain, école (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuoc6d4-1210yn573xg27] | Beaux-Arts, école nationale supérieure des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d5bknwquss--1whli4madtah4]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,"http://data.culture.fr/thesaurus/page/ark:/67717/T1-1340 | http://dbpedia.org/resource/Category:Schools | http://data.bnf.fr/ark:/12148/cb11948031w",,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9curie",,"PlaceType","écurie",,"Une écurie est un ""abri pour les chevaux de selle ou d’attelage. L’écurie fait partie en général des communs d’une demeure. L’écurie de course est meublée d’installations destinées non seulement au logement, mais également aux soins, au fourrage, au harnachement, de terrains d’entraînement des chevaux, sans compter bureaux et logement du personnel qui s’en occupe."" (Source : Les vocabulaires du Ministère de la Culture et de la Communication)","Pour l’écurie de chevaux de trait, employer étable à chevaux.","Orléans, écuries d’ (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzumcpvl--7a7ygdvx9zil]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-535 | http://vocab.getty.edu/aat/300005015 | http://data.bnf.fr/ark:/12148/cb12181795z | http://fr.dbpedia.org/resource/%C3%89curie",,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9dicule%20religieux",,"PlaceType","édicule religieux",,"Un édicule religiieux est une ""construction autonome non habitable à fonction religieuse."" (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,,"placeType/construction%20ou%20%C3%A9difice%20%C3%A0%20usage%20religieux","construction ou édifice à usage religieux",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9difice%20%C3%A0%20usage%20d%E2%80%99habitation",,"PlaceType","édifice à usage d’habitation",,,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9difice%20ou%20local%20commercial",,"PlaceType","édifice ou local commercial",,,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://fr.dbpedia.org/page/Cat%C3%A9gorie:B%C3%A2timent_et_local_de_commerce",,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9glise",,"PlaceType","église",,"Une église est un ""édifice consacré au culte de la religion chrétienne, faisant ou ayant fait l’objet d’une desserte régulière. ""(Source : Les vocabulaires du Ministère de la Culture et de la Communication)","Pour les églises n’appartenant pas ou plus au rite catholique, noter les destinataires : d’orthodoxes, de luthériens, etc. Pour une église où sont célébrés alternativement les cultes des rites catholique et luthérien, simultaneum constitue une précision sur la dénomination","Saint-Germain-l’Auxerrois, église (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuoi16j--12w7mz19buaxr]","placeType/construction%20ou%20%C3%A9difice%20%C3%A0%20usage%20religieux","construction ou édifice à usage religieux",,"http://data.culture.fr/thesaurus/page/ark:/67717/T515-850 | http://vocab.getty.edu/aat/300007466 | http://fr.dbpedia.org/resource/%C3%89glise_%28%C3%A9difice%29 | http://data.bnf.fr/ark:/12148/cb119345731",,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine",,"PlaceType","élément de géographie humaine",,,,,,,,,,,,,"2026-02-23 : Concept ajouté."
"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique",,"PlaceType","élément de géographie physique",,"Un élément de géographie physiques est un élément naturel de la surface terrestre.",,,,,,,,,,,"2026-02-23 : Ajout des données suivantes : définition"
"placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie",,"PlaceType","élément d’hydrographie",,"Un élément d’hydrographie est un cours d’eau ou une étendue d’eau.",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique","placeType/ouvrage%20li%C3%A9%20%C3%A0%20l%E2%80%99alimentation%20en%20eau | placeType/gare%20d%E2%80%99eau | placeType/barrage | placeType/bassin | placeType/canal | placeType/fontaine",,,,,,"2026-02-23 : Ajout des données suivantes : définition, relation(s) d’association avec des concepts du vocabulaire"
"placeType/enceinte",,"PlaceType","enceinte",,"Une enceinte est une ""clôture continue enveloppant une place forte ou une partie de place forte pour sa défense. Une place forte peut avoir plusieurs enceintes qui se commandent les unes les autres. Elles se numérotent de l’extérieur vers l’intérieur."" (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Charles V, enceinte de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzugvmqi--euvq7oav44kv]","placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-478 | https://www.wikidata.org/wiki/Q5375326","http://fr.dbpedia.org/page/Enceinte_fortifi%C3%A9e",,,"https://data.bnf.fr/ark:/12148/cb11931504g | http://data.culture.fr/thesaurus/page/ark:/67717/T96-444","2026-02-23 : Concept ajouté."
"placeType/enclos",,"PlaceType","enclos",,"""Un enclos est un espace de terrain entouré d’une clôture qui sert à contenir des animaux domestiques, à délimiter un monument commémoratif.""(Source : Wikipédia)",,"Bernardins, enclos (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugvsxw--1pt99rgdkx4tj]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1306 | http://fr.dbpedia.org/page/Enclos",,,,"https://data.bnf.fr/ark:/12148/cb11964852h","2026-02-23 : Concept ajouté."
"placeType/enseigne",,"PlaceType","enseigne","image","Une enseigne est un panneau portant un emblème, une inscription ou un objet symbolique placé à la façade d’une boutique ou d’un édifice pour en signaler la présence au public (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés). Par extension, le nom de l’enseigne sert souvent à désigner l’édifice que celle-ci orne.",,"Chèvre-qui-paît, enseigne de la (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugt2as-1x8ooz37krc8e] | Sainte-Anne, image (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d5bknxwvt8--rou0h5ldoiz]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://data.culture.fr/thesaurus/page/ark:/67717/T69-333 | https://data.bnf.fr/ark:/12148/cb119730183 | http://fr.dbpedia.org/page/Enseigne",,,,"2026-02-23 : Concept ajouté."
"placeType/entrep%C3%B4t%20industriel",,"PlaceType","entrepôt industriel",,"Un magasin, sous l’Ancien Régime et la Révolution, désigne un dépôt public ou royal destiné à l’entreposage et à la gestion de biens stratégiques (armes, matériaux, vivres, etc.)",,"Feuillants, magasins des (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuinlk3-amuu7j7r7aqs]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/escalier",,"PlaceType","escalier",,"« Un escalier est une construction architecturale constituée d’une suite régulière de marches, ou degrés, permettant d’accéder à un étage, de passer d’un niveau à un autre en montant et descendant. Par extension, ce type de construction a donné son nom à un escalier, voie piétonne, à ciel ouvert ou couverte, constituée d’une ou plusieurs marches ». (source: Wikipédia)",,"escalier Biron (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8vio8b--g2579affw2bw]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q12511 | http://data.culture.fr/thesaurus/page/ark:/67717/T69-65 | https://data.bnf.fr/ark:/12148/cb11976932v | http://fr.dbpedia.org/page/Escalier",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/esplanade",,"PlaceType","esplanade",,"« Une esplanade est un terrain plat devant une citadelle, glacis s’étendant jusqu’aux portes d’une ville ou, plus généralement, un espace uni et découvert situé devant ou aux abords d’un édifice ». (source: Wikipédia).",,"esplanade André Chamson (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8i45l0-z9yn89qmkdfs]","placeType/place","place",,"http://www.wikidata.org/entity/Q88372 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-53 | http://fr.dbpedia.org/page/Esplanade",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/%C3%A9tablissement%20conventuel",,"PlaceType","établissement conventuel",,"Un lieu abritant une communauté religieuse d’hommes ou de femmes. (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,,"placeType/construction%20ou%20%C3%A9difice%20%C3%A0%20usage%20religieux","construction ou édifice à usage religieux",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/facult%C3%A9",,"PlaceType","faculté",,"""Une faculté est traditionnellement une des structures constitutives d’une université chargée de l’enseignement et de la recherche dans un champ disciplinaire homogène, regroupant des domaines de formation et de connaissance apparentés. ""(Source : Wikipédia)",,"Médecine, faculté de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzulbdnc--ycc6vcfihrth]","placeType/lieu%20d%E2%80%99enseignement","lieu d’enseignement",,"https://www.wikidata.org/wiki/Q180958",,,,,"2026-02-23 : Concept ajouté."
"placeType/faubourg",,"PlaceType","faubourg",,"Un faubourg est ""à l’origine, un quartier développé à l’extérieur de l’enceinte d’une ville, généralement le long d’une voie conduisant à une porte. Par extension, quartier situé à l’extérieur d’un boulevard ou au-delà d’une barrière d’octroi enserrant un centre ancien."" (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,,"placeType/quartier","quartier",,"http://fr.dbpedia.org/page/Faubourg | http://data.culture.fr/thesaurus/page/ark:/67717/T96-22",,,,,"2026-02-23 : Concept ajouté."
"placeType/fausse%20porte",,"PlaceType","fausse porte",,"« Une fausse porte est une représentation artistique d’une porte, mais qui ne fonctionne pas comme une vraie ». (source: Wikipédia).",,"fausse porte Saint-Denis (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzd1ryyl--rlc6acx7xsye]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q902996",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/foire",,"PlaceType","foire",,"""Une foire, qui peut être appelée aussi marché de grande importance, se déroule sur un foirail ou champ de foire. C’est une manifestation commerciale d’exposants faisant partie d’un même secteur économique (comme le secteur agricole par exemple) se tenant dans une ville, un bourg à une époque et en un lieu généralement fixe. ""(Source : Wikipédia)",,"Saint-Germain, foire (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugdfrj--1f11gmoi26205]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://data.bnf.fr/ark:/12148/cb119314197","http://data.culture.fr/thesaurus/page/ark:/67717/T1-470",,,,"2026-02-23 : Concept ajouté."
"placeType/fontaine",,"PlaceType","fontaine",,"""Une fontaine est d’abord le lieu d’une source, d’une « eau vive qui sort de terre », selon le premier dictionnaire de l’Académie française. C’est également une construction architecturale, généralement accompagnée d’un bassin, d’où jaillit de l’eau.""(Source : Wikipédia)",,,"placeType/ouvrage%20li%C3%A9%20%C3%A0%20l%E2%80%99alimentation%20en%20eau","ouvrage lié à l’alimentation en eau","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","http://data.culture.fr/thesaurus/page/ark:/67717/T69-503 | https://fr.dbpedia.org/page/Fontaine_(bassin)",,,,,"2026-02-23 : Concept ajouté."
"placeType/for%C3%AAt",,"PlaceType","forêt","bois","Une forêt est un « vaste couvert dans lequel les végétaux ligneux, feuillus ou résineux prédominent et peuvent être exploités par l’homme pour un usage commercial ou constituer un espace de loisirs pour la promenade ou pour la chasse ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Blois (forêt) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d3m08zmakla--jfj1oesnfl2n]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q4421","http://data.culture.fr/thesaurus/page/ark:/67717/T96-1212 | https://data.bnf.fr/ark:/12148/cb119314375 | http://fr.dbpedia.org/page/For%C3%AAt",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/forteresse",,"PlaceType","forteresse",,"Une forteresse est un ensemble cohérent de fortifications visant à protéger non seulement le terrain enclos, mais aussi le terroir environnant et un territoire situé en arrière (vis-à-vis d’un ennemi) de la forteresse. (Source : Wikipédia)",,"Temple, forteresse du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d5bknwg382--129urhk67s8b6]","placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-455","https://fr.wikipedia.org/wiki/Place_forte | http://fr.dbpedia.org/page/Fort",,,,"2026-02-23 : Concept ajouté."
"placeType/fortification",,"PlaceType","fortification",,"« La fortification est l’art militaire de renforcer une position ou un lieu par des ouvrages de défense en prévision de leur éventuelle attaque. Par extension, la fortification désigne ces ouvrages de défense eux-mêmes. ». (source: Wikipédia).",,"Boyard, fort (Charente-Maritime ; fortification) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-7353rnhm1--1q2vtbdhxupup]","placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire","placeType/poterne | placeType/chemin%20de%20ronde","https://www.wikidata.org/wiki/Q57821 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-443 | https://data.bnf.fr/ark:/12148/cb11931504g | http://fr.dbpedia.org/page/Fortification",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/galerie",,"PlaceType","galerie","galeries","« Une galerie est un espace couvert ayant une fonction de lieu de séjour et de lieu de circulation ». (source: Wikipédia)",,"galerie Bergère (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8tthff--w8kr88ye9ygp]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/clo%C3%AEtre","http://www.wikidata.org/entity/Q164419 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1331 | https://data.bnf.fr/ark:/12148/cb12067143x | http://fr.dbpedia.org/page/Galerie_(architecture)",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/gare",,"PlaceType","gare",,"""Une gare, dans un réseau de transport en commun, est un lieu destiné à la montée et à la descente des voyageurs. Elle se distingue généralement d’un simple arrêt par son envergure et ses équipements."" (Source : Wikipédia)",,"Lyon, gare de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzukw82f-1wd1a6pu7b09f]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-1032 | https://data.bnf.fr/ark:/12148/cb119470471 | http://fr.dbpedia.org/page/Gare","https://www.wikidata.org/wiki/Q55488",,,,"2026-02-23 : Concept ajouté."
"placeType/gare%20d%E2%80%99eau",,"PlaceType","gare d’eau",,"Une gare d’eau est un bief ou partie de bief assez large pour permettre à deux bateaux de se croiser ou de se doubler ; il permet en outre aux bateaux de stationner ou d’attendre leur tour pour franchir une dénivelée sans gêner la navigation. Il peut abriter des fonctions portuaires (chargement, déchargement, stockage). (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés)",,"Grenelle, gare d’eau de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuj88t2-1hqagqo7fdpg8]","placeType/gare","gare","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","http://data.culture.fr/thesaurus/page/ark:/67717/T96-1020",,,,,"2026-02-23 : Concept ajouté."
"placeType/gare%20ferroviaire",,"PlaceType","gare ferroviaire",,"« Une gare ferroviaire est le lieu d’arrêt des trains. Une gare comprend diverses installations qui ont une double fonction : permettre la montée et la descente des voyageurs, ou le chargement et le déchargement des marchandises ainsi que pour certaines d’entre elles, assurer des fonctions de sécurité dans la circulation des trains ». (source: Wikipédia)",,"Austerlitz, gare d’ (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuf41xb--6e30qgzk1aln]","placeType/gare","gare",,"https://www.wikidata.org/wiki/Q55488",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
