"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d3ndf6wdui--1vf5cizmpybqb","d3ndf6wdui--1vf5cizmpybqb","Thing","contribution personnelle mobilière",,"Loi des 13 janvier – 18 février 1791.",,"thing/FRAN_RI_004-d3ndf6usib-1laekg6p90wml","impôt",,,,,,,,
"thing/FRAN_RI_004-d3ndf6wvyd-nqelofi9dcn7","d3ndf6wvyd-nqelofi9dcn7","Thing","contribution sociale généralisée","CSG","Créée en 1991, la contribution sociale généralisée est un impôt dû par les personnes physiques domiciliées en France pour l'impôt sur le revenu.",,"thing/FRAN_RI_004-d3ndf6usib-1laekg6p90wml","impôt",,,,,,,,
"thing/FRAN_RI_004-d3ndfexnb8--uqk6funtj2wt","d3ndfexnb8--uqk6funtj2wt","Thing","contrôle aérien","système de contrôle",,,"thing/FRAN_RI_004-d3ndfexa5u-14b4v7y896pnz","trafic aérien",,,,,,,,
"thing/FRAN_RI_004-d3ndev86b9-44352vj4gmk4","d3ndev86b9-44352vj4gmk4","Thing","contrôle aux frontières",,,,"thing/FRAN_RI_004-d3ndev7f5h--1atm3erdgfhmp","police",,,,,,,,
"thing/FRAN_RI_004-d3ndevbunz--f9o0299i8ptg","d3ndevbunz--f9o0299i8ptg","Thing","contrôle d'identité",,,,"thing/FRAN_RI_004-d3ndevadur-1n6mdmvq23xj3","ordre public",,,,,,,,
"thing/FRAN_RI_004-d3ndf6keq8--1r0ycop3wo358","d3ndf6keq8--1r0ycop3wo358","Thing","contrôle financier",,,,"thing/FRAN_RI_004-d699mrdwar7-1w6qiqqrhyfjy","exécution budgétaire",,,,,,,,
"thing/FRAN_RI_004-d3ndeswp74--wv5t7ztbg3st","d3ndeswp74--wv5t7ztbg3st","Thing","contrôle parlementaire",,,,"thing/FRAN_RI_004-d3ndesuc9m-1mqb2mq1c79je","activité parlementaire",,,,,,,,
"thing/FRAN_RI_004-d3ndfgmi1j--ffk132ax1ww","d3ndfgmi1j--ffk132ax1ww","Thing","contrôle sanitaire",,,,"thing/FRAN_RI_004-d3ndfglt1d-33inlp04motp","hygiène",,,,,,,,
"thing/FRAN_RI_004-d3ndfkmoi0--fcormyg46oi5","d3ndfkmoi0--fcormyg46oi5","Thing","convention collective",,"Code du travail art. L 2221-1 et 2221-2.",,"thing/FRAN_RI_004-d3ndfkmc7o--18pfpe1o3l0ww","négociation collective",,,,,,,,
"thing/FRAN_RI_004-d3ndfqr2ds--b58qb9j4jufj","d3ndfqr2ds--b58qb9j4jufj","Thing","convention culturelle","charte culturelle | convention de développement culturel",,,"thing/FRAN_RI_004-d3ndfqqegf--1qsozwqovncyz","politique culturelle",,,,,,,,
