"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"occupationType/FRAN_RI_010-d699msiuypw-1stu6xqydts7t","d699msiuypw-1stu6xqydts7t","OccupationType","officier ministériel ou public",,"Un officier public ou ministériel est une personne titulaire d'un office conféré par l'État et nommé par décision d'un ministre. Les avoués près les cours d'appel, les huissiers de justice, les notaires, les avocats au Conseil d'État et à la Cour de cassation sont des officiers ministériels. Certains d'entre eux sont également des officiers publics, en raison de leur pouvoir d'authentifier des actes juridiques ou judiciaires et de procéder à l'exécution des décisions de justice (cas des notaires, huissiers de justice,...).(Insee).",,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiy4ta-49puw2zygzof","d699msiy4ta-49puw2zygzof","OccupationType","opticien","lunetier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjq8lx--rvptbxbjgknx","d699msjq8lx--rvptbxbjgknx","OccupationType","orfèvre","lapidaire | joaillier | bijoutier | pétissier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-7iqrh5lk4-qd3y38jcntc4","d-7iqrh5lk4-qd3y38jcntc4","OccupationType","ouvrier","ouvrière","Travailleur, travailleuse qui exécute pour le compte d'autrui, moyennant salaire, un travail manuel (dans un atelier, une mine, une manufacture, une usine, une exploitation agricole). (Source : TLFI notice « ouvrier »)",,,,,,"http://www.wikidata.org/entity/Q12713481",,,,,"04/08/2023 : Ajouté le [04/08/2023]"
"occupationType/FRAN_RI_010-d699msinc6g-psqwlumhmnf6","d699msinc6g-psqwlumhmnf6","OccupationType","ouvrier agricole","vendangeur | batteur de grains | garçon d'écurie | palefrenier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-7jgjur4oo-1w00h0cj7fgpa","d-7jgjur4oo-1w00h0cj7fgpa","OccupationType","ouvrier d'usine","ouvrière d'usine","Travailleur, travailleuse qui exécute pour le compte d'autrui, moyennant salaire, un travail manuel dans une usine. (Source : TLFI notice « ouvrier »)",,,,,,"http://www.wikidata.org/entity/Q87285943",,,,,"04/08/2023 : Ajouté le [04/08/2023]"
"occupationType/FRAN_RI_010-d699msiqs6e--29513e0sr6ku","d699msiqs6e--29513e0sr6ku","OccupationType","pape",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjtjuq--q72u43yt8izf","d699msjtjuq--q72u43yt8izf","OccupationType","papetier","fabricant de papier peint | cartonnier | fabricant de papier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl72yb9-1iiterpz938uf","d3m0bl72yb9-1iiterpz938uf","OccupationType","parfumeur",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjyi4j--1skejgcp27zug","d699msjyi4j--1skejgcp27zug","OccupationType","parlementaire","représentant du peuple","A utiliser pour les membres des assemblées législatives. Pour l'Ancien Régime, voir magistrat.",,,,,,,,,,,
