"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"carrierType/FRAN_RI_002-d3nd9xvrxm-83y52pb67jnj","d3nd9xvrxm-83y52pb67jnj","CarrierType","disque 78 tours",,,,"carrierType/FRAN_RI_002-d3nd9xtawo-1cju6vmj9nwi","disque vinyl",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y7gx6--v1k9nk96x1pc","d3nd9y7gx6--v1k9nk96x1pc","CarrierType","disque dur",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y8g22-7n8e3bh6bkj4","d3nd9y8g22-7n8e3bh6bkj4","CarrierType","disquette",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xtawo-1cju6vmj9nwi","d3nd9xtawo-1cju6vmj9nwi","CarrierType","disque vinyl",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y9ag9-1e6kjoezbpmo8","d3nd9y9ag9-1e6kjoezbpmo8","CarrierType","dvd",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xwloi-1e8dcour7zw3a","d3nd9xwloi-1e8dcour7zw3a","CarrierType","film",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xz6sw--1p8r72p03p45d","d3nd9xz6sw--1p8r72p03p45d","CarrierType","film couleur",,,,"carrierType/FRAN_RI_002-d3nd9xwloi-1e8dcour7zw3a","film",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xyawe-1w15jcvccsdbo","d3nd9xyawe-1w15jcvccsdbo","CarrierType","film noir et blanc",,,,"carrierType/FRAN_RI_002-d3nd9xwloi-1e8dcour7zw3a","film",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9ybwnf--jubck3g5wary","d3nd9ybwnf--jubck3g5wary","CarrierType","métal",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9yg64n-o4lkrvohks94","d3nd9yg64n-o4lkrvohks94","CarrierType","microfiche",,,,"carrierType/FRAN_RI_002-d3nd9ycqec--roxx49bu81co","microforme",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9ydnle-640nybt9jpv2","d3nd9ydnle-640nybt9jpv2","CarrierType","microfilm",,,,"carrierType/FRAN_RI_002-d3nd9ycqec--roxx49bu81co","microforme",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9yeif3-nnhvcbnswtv3","d3nd9yeif3-nnhvcbnswtv3","CarrierType","microfilm 16 mm",,,,"carrierType/FRAN_RI_002-d3nd9ydnle-640nybt9jpv2","microfilm",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9yfcdr-5rahg3nt8csk","d3nd9yfcdr-5rahg3nt8csk","CarrierType","microfilm 35 mm",,,,"carrierType/FRAN_RI_002-d3nd9ydnle-640nybt9jpv2","microfilm",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9ycqec--roxx49bu81co","d3nd9ycqec--roxx49bu81co","CarrierType","microforme",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y1oh4-akwtq4srdkk","d3nd9y1oh4-akwtq4srdkk","CarrierType","négatif couleur",,,,"carrierType/FRAN_RI_002-d3nd9xzzwi--1tei3696g4oji","pellicule photographique",,,,,,,,
