"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/FRAN_RI_011-d3nyuifxa5-10dg4gypn71km","d3nyuifxa5-10dg4gypn71km","ActivityType","réquisition",,,,,,,,,,,,,
"activityType/retrait%20de%20la%20nationalit%C3%A9",,"ActivityType","retrait de la nationalité",,,,"activityType/contr%C3%B4le%20de%20la%20nationalit%C3%A9","contrôle de la nationalité",,,,,,,,
"activityType/FRAN_RI_011-d5bhviiyko--q661mlo9uy50","d5bhviiyko--q661mlo9uy50","ActivityType","santé","santé publique",,,"activityType/FRAN_RI_011-d5bhvih1do--ryj2votztf8z","affaires sociales",,,,,,,,
"activityType/FRAN_RI_011-d-1int5r3dxl3--1x7iv8l3yucey","d-1int5r3dxl3--1x7iv8l3yucey","ActivityType","secrétariat",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvim4ls-1aiyuy0zts9x8","d5bhvim4ls-1aiyuy0zts9x8","ActivityType","sécurité","protection des personnes | police","Organisation et maintien de l’ordre public. Exercice d’un pouvoir de police.",,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvij9kg--1s0ew89cwo2rz","d5bhvij9kg--1s0ew89cwo2rz","ActivityType","sécurité alimentaire","répression des fraudes","Assurance que les aliments ne causeront pas de dommage au consommateur quand ils sont préparés et/ou consommés conformément à l’usage auquel ils sont destinés. « La sécurité alimentaire (food security) existe lorsque tous les êtres humains ont, à tout moment, un accès physique et économique à une nourriture suffisante, saine et nutritive leur permettant de satisfaire leurs besoins énergétiques et leurs préférences alimentaires pour mener une vie saine et active.",,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvikf65-k5g1i5h4644v","d5bhvikf65-k5g1i5h4644v","ActivityType","sécurité civile","protection civile",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvik33l--wf6f4o0wolog","d5bhvik33l--wf6f4o0wolog","ActivityType","sécurité routière",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d699mt0870a-4jqg46dr0dyx","d699mt0870a-4jqg46dr0dyx","ActivityType","sécurité sanitaire","protection sanitaire","Protection de la santé des hommes et des animaux.",,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimp30-1crwo1pfymd1z","d5bhvimp30-1crwo1pfymd1z","ActivityType","sport",,,,"activityType/FRAN_RI_011-d5bhvih1do--ryj2votztf8z","affaires sociales",,,,,,,,
