"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d5bknxuk6a--rgq4tw6q9eda","d5bknxuk6a--rgq4tw6q9eda","Montparnasse (cimetière)","Sud (cimetière)",
"place/FRAN_RI_026-d5bknwsf27--150dkfd93gyo9","d5bknwsf27--150dkfd93gyo9","Montparnasse (enseigne du)",,
"place/FRAN_RI_026-d3nzulrw5t--dn5jf33lubpy","d3nzulrw5t--dn5jf33lubpy","Montparnasse (gare)",,
"place/FRAN_RI_026-d3nzuls80m--b4xtdx1o364y","d3nzuls80m--b4xtdx1o364y","Montpellier (hôtel de)",,
"place/FRAN_RI_026-d3nzulsk36-1uco7fo3c1fq5","d3nzulsk36-1uco7fo3c1fq5","Montreuil (barrière de)",,
"place/FRAN_RI_026-d5bknxrvdz--d2amlmameob9","d5bknxrvdz--d2amlmameob9","Mont-Saint-Michel (enseigne du)",,
"place/FRAN_RI_026-d3nzulsvq8-11znz4cr4n6u9","d3nzulsvq8-11znz4cr4n6u9","Montsouris (observatoire de)",,
"place/FRAN_RI_026-d3nzult7l1--eq5dswmvk0y8","d3nzult7l1--eq5dswmvk0y8","Montsouris (parc)",,
"place/FRAN_RI_026-d5bknxmgyc--cszwjcvsph1k","d5bknxmgyc--cszwjcvsph1k","Mortagne (hôtel de )","Vaucanson (hôtel de)","Rue de Charonne."
"place/FRAN_RI_026-d5bknwpxlq--1gktl4ad2twe6","d5bknwpxlq--1gktl4ad2twe6","Mortier d'Or (enseigne du)",,
"place/FRAN_RI_026-d3nzultund-ynrmaim8qp8g","d3nzultund-ynrmaim8qp8g","Mouchy (hôtel de)",,
"place/FRAN_RI_026-d3nzulu6af--lddae5bgy29o","d3nzulu6af--lddae5bgy29o","Mouffetard (caserne)",,
"place/FRAN_RI_026-d5bknxwloi-1eohstdc3q2nv","d5bknxwloi-1eohstdc3q2nv","Moufle (enseigne de la)",,
"place/FRAN_RI_026-d5bknwyeek-1btkymm7kdyqs","d5bknwyeek-1btkymm7kdyqs","Moulin-à-Vent (enseigne du)",,
"place/FRAN_RI_026-d5bknxizxg--1fdhp6l70wrxh","d5bknxizxg--1fdhp6l70wrxh","Moulinet d'Or (enseigne du)",,
"place/FRAN_RI_026-d3m0cugpcsp--omjnd2hr7z2w","d3m0cugpcsp--omjnd2hr7z2w","Mousquetaires Gris (hôtel des)",,"Rue du Bac, rue de Verneuil."
"place/FRAN_RI_026-d3m0cuh9c7h--nvzzip6w4acv","d3m0cuh9c7h--nvzzip6w4acv","Mousquetaires Noirs (hôtel des)","Mousquetaires Noirs (caserne des)","Rue de Charenton."
"place/FRAN_RI_026-d5bknwd614-141c05dnzvhge","d5bknwd614-141c05dnzvhge","Mouton (enseigne du)",,
"place/FRAN_RI_026-d5bknx49fr-1vrik5imfg2gp","d5bknx49fr-1vrik5imfg2gp","Mouton Blanc (enseigne du)",,
"place/FRAN_RI_026-d5bknwrud8-maeyphl9jgs6","d5bknwrud8-maeyphl9jgs6","Mouton Rouge (enseigne du)",,
"place/FRAN_RI_026-d3nzulv8nq-5f0j12ji2r51","d3nzulv8nq-5f0j12ji2r51","Mouy (hôtel de)",,
"place/FRAN_RI_026-d5bknx51gk--8beilqp7jhe2","d5bknx51gk--8beilqp7jhe2","Muette (château de la)",,"Actuellement siège de l'OCDE."
"place/FRAN_RI_026-d5bknxpbk6--sqlcpunodd67","d5bknxpbk6--sqlcpunodd67","Muette (parc de la)",,
"place/FRAN_RI_026-d5bknwxjkv-12u43hswiglzr","d5bknwxjkv-12u43hswiglzr","Mule (enseigne de la)",,
"place/FRAN_RI_026-d5bknwggl6--wu5n5qr776bj","d5bknwggl6--wu5n5qr776bj","Mulet Chargé (enseigne du)",,
"place/FRAN_RI_026-d3nzulvky2--11rautqxd0krx","d3nzulvky2--11rautqxd0krx","Museum national d'histoire naturelle",,
"place/FRAN_RI_026-d3nzulvwdc--4dgx6lqwiiy5","d3nzulvwdc--4dgx6lqwiiy5","Nantes (collège de)",,
"place/FRAN_RI_026-d3nzulw7kv--jav5v2k6wf3x","d3nzulw7kv--jav5v2k6wf3x","Napoléon (caserne)",,
"place/FRAN_RI_026-d3nzulwmvu-aanze8g01ni9","d3nzulwmvu-aanze8g01ni9","Narbonne (collège de)",,
"place/FRAN_RI_026-d5bknxh1vf--18lt10l5qzmiv","d5bknxh1vf--18lt10l5qzmiv","Nasse (enseigne de la)",,
"place/FRAN_RI_026-d3nzulxgmq-t48tyng82txi","d3nzulxgmq-t48tyng82txi","Nasse (hôtel de la)",,
"place/FRAN_RI_026-d5bknwe4az--qx7650pq6j5x","d5bknwe4az--qx7650pq6j5x","Nativité (enseigne de la)",,
"place/FRAN_RI_026-d5bknw9r5u-j8m6zinl9etf","d5bknw9r5u-j8m6zinl9etf","Nativité de Notre Seigneur (enseigne de la)",,
"place/FRAN_RI_026-d3m0cug5weg--14z5k6h8wxxx1","d3m0cug5weg--14z5k6h8wxxx1","Navarre (collège de)","Champagne (collège de)",
"place/FRAN_RI_026-d5bknx149o--1qmghg7x3im3a","d5bknx149o--1qmghg7x3im3a","Navette (enseigne de la)",,
"place/FRAN_RI_026-d5bknw3dt1-1csb3kcdfww6u","d5bknw3dt1-1csb3kcdfww6u","Navire d'Argent (enseigne du)",,
"place/FRAN_RI_026-d5bknwkyh2--rc119h6527ji","d5bknwkyh2--rc119h6527ji","Necker-Enfants malades (hôpital)","Enfants malades (hôpital des) | Necker (hôpital)",
"place/FRAN_RI_026-d5bknwm8lq--1i0nkhsah1ndf","d5bknwm8lq--1i0nkhsah1ndf","Nef d'Argent (enseigne de la)",,
"place/FRAN_RI_026-d3nzuly932-filhinwo3tn4","d3nzuly932-filhinwo3tn4","Nemours (hôtel de)",,
"place/FRAN_RI_026-d3nzulykid--u8dggc4rwrhn","d3nzulykid--u8dggc4rwrhn","Nesle (hôtel de)",,
"place/FRAN_RI_026-d3nzulyvxn-2g5atdy2c51v","d3nzulyvxn-2g5atdy2c51v","Nesles (tour de)",,
"place/FRAN_RI_026-d3m0cuh5jja-1gmzscj507o5n","d3m0cuh5jja-1gmzscj507o5n","Neuf (marché)",,
"place/FRAN_RI_026-d3nzulz7sg--pv1uh05jm25k","d3nzulz7sg--pv1uh05jm25k","Nevers (hôtel de)",,
"place/FRAN_RI_026-d3nzulzjfi-lxffv6jfjmj2","d3nzulzjfi-lxffv6jfjmj2","Noailles (hôtel de)",,"Cette dénomination correspond à 4 hôtels situés : rue de Rivoli, boulevard de Montmorency, rue Saint-Honoré, rue de l'université."
"place/FRAN_RI_026-d3nzum0cyn-179uriwuo62gr","d3nzum0cyn-179uriwuo62gr","Noailles (petit hôtel de)",,"Rue Saint-Honoré."
"place/FRAN_RI_026-d5bknwrgct-1psr7m7y4kpbw","d5bknwrgct-1psr7m7y4kpbw","Nom de Jésus (enseigne du)",,
"place/FRAN_RI_026-d5bknwtbe7--1ayaxz2qd1k25","d5bknwtbe7--1ayaxz2qd1k25","Nom de Saint-Michel (enseigne du)",,
"place/FRAN_RI_026-d3nzum0qz2--1xst5o62vdbde","d3nzum0qz2--1xst5o62vdbde","Nord (gare du)",,
"place/FRAN_RI_026-d3nzum12ec-kyzlpjuajk5l","d3nzum12ec-kyzlpjuajk5l","Notre-Dame (cathédrale)","Etre suprême (temple de l')",
"place/FRAN_RI_026-d3m0cuh2y1l--vvx7celgdvvy","d3m0cuh2y1l--vvx7celgdvvy","Notre-Dame (cloître)",,
"place/FRAN_RI_026-d3nzum1p8x--wvgunl7146bc","d3nzum1p8x--wvgunl7146bc","Notre-Dame (hôtel)",,"Rue du Paon."
"place/FRAN_RI_026-d5bknxdy7o--1q026gj3j1n0b","d5bknxdy7o--1q026gj3j1n0b","Notre-Dame (image)",,
"place/FRAN_RI_026-d3nzum20o7--1vq57648zec15","d3nzum20o7--1vq57648zec15","Notre-Dame (prieuré)",,
"place/FRAN_RI_026-d5bknwl4ic--qjzl0od9z6fm","d5bknwl4ic--qjzl0od9z6fm","Notre-Dame-de-Boulogne (image)",,
"place/FRAN_RI_026-d3nzum2g6x--ypoc3k7w2mcf","d3nzum2g6x--ypoc3k7w2mcf","Notre-Dame-de-Grâce (monastère de)",,
"place/FRAN_RI_026-d3m0cugd4o8-14qerj9vdcabu","d3m0cugd4o8-14qerj9vdcabu","Notre-Dame-de-l'Assomption (chapelle)",,"Rue Saint-Honoré."
"place/FRAN_RI_026-d3m0cugvg9j-75esahuwn6ri","d3m0cugvg9j-75esahuwn6ri","Notre-Dame-de-l'Assomption (couvent)",,"Rue Saint-Honoré."
"place/FRAN_RI_026-d3nzum3fbu-1oe37zqs0xva5","d3nzum3fbu-1oe37zqs0xva5","Notre-Dame-de-l'Assomption (église)",,"Rue Saint-Honoré."
"place/FRAN_RI_026-d3nzum3qyw--iamdooe9d481","d3nzum3qyw--iamdooe9d481","Notre-Dame-de-la-Goutte-d'Or (chapelle)",,
"place/FRAN_RI_026-d3nzum42e6-o9lo2ztwb9el","d3nzum42e6-o9lo2ztwb9el","Notre-Dame-de-la-Merci (couvent de)","Pères-de-la-Merci (couvent des)",
"place/FRAN_RI_026-d3nzum4vxb--32192hctzvt8","d3nzum4vxb--32192hctzvt8","Notre-Dame-de-Liesse (couvent de)",,
"place/FRAN_RI_026-d5bknxbg3x-mocq4yqvffzw","d5bknxbg3x-mocq4yqvffzw","Notre-Dame-de-Liesse (image)",,
"place/FRAN_RI_026-d5bknxqmze-1fibr9eb8hymr","d5bknxqmze-1fibr9eb8hymr","Notre-Dame-de-Lorette (chapelle)",,
"place/FRAN_RI_026-d3nzum59py-1xcza24hwga4z","d3nzum59py-1xcza24hwga4z","Notre-Dame-de-Lorette (église)",,
"place/FRAN_RI_026-d3nzum5ld0-npmi50wofuc9","d3nzum5ld0-npmi50wofuc9","Notre-Dame-de-Rouen (collège)",,
"place/FRAN_RI_026-d3nzum5wsa-1u8hqmy8cx4qf","d3nzum5wsa-1u8hqmy8cx4qf","Notre-Dame-des-Champs (barrière)",,
"place/FRAN_RI_026-d3nzum68fc-p2h2ipnwdhxu","d3nzum68fc-p2h2ipnwdhxu","Notre-Dame-des-Champs (prieuré)",,
"place/FRAN_RI_026-d3nzum6vpg--i0uwc8nrbomc","d3nzum6vpg--i0uwc8nrbomc","Notre-Dame-des-Victoires (église)",,
"place/FRAN_RI_026-d5bknwc5ln--gp7yw0r2ongc","d5bknwc5ln--gp7yw0r2ongc","Notre-Dame-de-Vaugirard (église)",,
"place/FRAN_RI_026-d3nzum7b0f-14dbjx292jsg7","d3nzum7b0f-14dbjx292jsg7","Notre-Dame-du-Bon-Secours (couvent)",,
"place/FRAN_RI_026-d3nzum86he--1snfhtm3isrt8","d3nzum86he--1snfhtm3isrt8","Notre-Dame-et-Saint-Maurice (chapelle)",,
"place/FRAN_RI_026-d5bknw7eg3--11gox9l3oabjc","d5bknw7eg3--11gox9l3oabjc","Nouvelle-France (enseigne de la)",,
"place/FRAN_RI_026-d3nzum8j78-moj08a8dsbur","d3nzum8j78-moj08a8dsbur","Nouvelles-Catholiques (couvent des)",,
"place/FRAN_RI_026-d5bknwo24t--58cc2e89pceb","d5bknwo24t--58cc2e89pceb","Noviciat des Jésuites (enseigne du)",,
"place/FRAN_RI_026-d3nzum8uer--bvau4hhvdbvx","d3nzum8uer--bvau4hhvdbvx","Observatoire",,
"place/FRAN_RI_026-d3nzum95u2--8bkmac53xdty","d3nzum95u2--8bkmac53xdty","Odéon (théâtre de l')",,
"place/FRAN_RI_026-d5bknx241v--wsp2wy6uis30","d5bknx241v--wsp2wy6uis30","Olivier (enseigne de l')",,
"place/FRAN_RI_026-d5bknwmf2j--tmwlpnstraw9","d5bknwmf2j--tmwlpnstraw9","Opéra","Garnier (palais) | Garnier (opéra) | Bastille (opéra) | Palais-Royal (théâtre du)",
"place/FRAN_RI_026-d5bknx1xst-1untxf34dp4d2","d5bknx1xst-1untxf34dp4d2","Opéra Comique","Feydeau (théâtre) | Thêatre national de l'Opéra-Comique (Paris) | Thêatre de l'Opéra-Comique (Paris) | Salle Favart (Paris)","Théâtre national consacré à l'art lyrique à Paris. Fondé en 1714 par un privilège octroyé à 2 entrepreneurs forains, l'Opéra-Comique de la Foire est réuni en février 1762 à la Comédie-Italienne et prend le nom d'Opéra-Comique le 31 mars 1780, il s'installe en 1783 à la Salle Favart (1re salle), il peut alors être appelé aussi ""Théâtre Favart"", ""Théâtre de la rue Favart"". En 1801, le Théâtre Feydeau et l'Opéra-Comique de la salle Favart fusionnent sous le nom ""Théâtre national de l'Opéra-Comique"", il est installé d'abord rue Feydeau. A partir de 1804, il devient le Théâtre Impérial de l'O.-C., puis selon les régimes politiques Th. Royal, Impérial et National (en 1871). Voir Comédie-Italienne."
"place/FRAN_RI_026-d3nzumav1x-w2sxco8rl47p","d3nzumav1x-w2sxco8rl47p","Oratoire (couvent de l')",,
"place/FRAN_RI_026-d3m0cugp42y--1hurvjqo6s3cb","d3m0cugp42y--1hurvjqo6s3cb","Oratoire (église de l')",,
"place/FRAN_RI_026-d3m0cuh5u8c--12s94dx08z2yr","d3m0cuh5u8c--12s94dx08z2yr","Oratoire (institution de l')",,
"place/FRAN_RI_026-d3nzumc1ax--1g7v88hr8zdo3","d3nzumc1ax--1g7v88hr8zdo3","Oratoire du Roule",,
"place/FRAN_RI_026-d3nzumce0r-vpltr9wucze9","d3nzumce0r-vpltr9wucze9","Orfèvres (chapelle des)",,
"place/FRAN_RI_026-d3nzumcpvl--7a7ygdvx9zil","d3nzumcpvl--7a7ygdvx9zil","Orléans (écuries d')",,"Rue Vivienne."
"place/FRAN_RI_026-d3nzumd1av-wv8217qneeax","d3nzumd1av-wv8217qneeax","Orléans (hôtel d')",,
"place/FRAN_RI_026-d3m0cugg7zp--1s7fmc2ryxhen","d3m0cugg7zp--1s7fmc2ryxhen","Orphelines de la Légion d'honneur (maison des)",,"Rue Barbette."
"place/FRAN_RI_026-d3nzumdrdu-18z5o8zq2680e","d3nzumdrdu-18z5o8zq2680e","Orphelins (hospice des)","Enfants-trouvés (hospice des)","Rue du Faubourg-Saint-Antoine."
"place/FRAN_RI_026-d5bknx3ucj-76xditcgqyqh","d5bknx3ucj-76xditcgqyqh","Orphelins-de-Saint-Sulpice (enseigne des)",,
"place/FRAN_RI_026-d3nzume43p--f5ruv601wdei","d3nzume43p--f5ruv601wdei","Orsay (gare d')",,
"place/FRAN_RI_026-d3nzumefyi-l5d82y9cbl8v","d3nzumefyi-l5d82y9cbl8v","Orsay (palais d')",,
"place/FRAN_RI_026-d5bknw5qya--1c65idvs16emb","d5bknw5qya--1c65idvs16emb","Orson Valentin (enseigne)",,
"place/FRAN_RI_026-d5bknwukg3--1rbsvzbxe6ri0","d5bknwukg3--1rbsvzbxe6ri0","Ours (enseigne de l')",,
"place/FRAN_RI_026-d5bknwe6gk--6x7frin50544","d5bknwe6gk--6x7frin50544","Ours-qui-File (enseigne de l')",,
"place/FRAN_RI_026-d3nzumf38l--p7xh9npjo1sh","d3nzumf38l--p7xh9npjo1sh","Pages (hôtel des)",,
"place/FRAN_RI_026-d3nzumfevn-l0pz7dwsjhll","d3nzumfevn-l0pz7dwsjhll","Paillassons (barrière des)",,
"place/FRAN_RI_026-d3m0cuh6069-otw4nn4uy0x7","d3m0cuh6069-otw4nn4uy0x7","Palais (enclos)",,
"place/FRAN_RI_026-d3m0cug5jq3-orcuesjyw0ue","d3m0cug5jq3-orcuesjyw0ue","Palais de Justice (boutique)",,
"place/FRAN_RI_026-d3nzumgx77--1biq1rj3snsnw","d3nzumgx77--1biq1rj3snsnw","Palaiseau (hôtel de)",,
"place/FRAN_RI_026-d5bknx4v7j-1wqddent61siy","d5bknx4v7j-1wqddent61siy","Palais Royal","Palais cardinal",
"place/FRAN_RI_026-d3m0cug6shm--3qqwjfdzvg25","d3m0cug6shm--3qqwjfdzvg25","Palais Royal (boutique)",,
"place/FRAN_RI_026-d3m0cugvlex-617ba2kic33p","d3m0cugvlex-617ba2kic33p","Palais Royal (théâtre du)",,
"place/FRAN_RI_026-d5bknxbbd7-1ctcc704k9dx2","d5bknxbbd7-1ctcc704k9dx2","Panier Vert (enseigne du)",,
"place/FRAN_RI_026-d5bknwwygd-end415hi6x4g","d5bknwwygd-end415hi6x4g","Panthémont (caserne de)","Pentemont (abbaye de) | Penthemont (abbaye de) | Panthémon (abbaye de)",
"place/FRAN_RI_026-d3nzumhkha-1sxljqlktvf8","d3nzumhkha-1sxljqlktvf8","Panthéon","Sainte-Geneviève (église)",
"place/FRAN_RI_026-d3nzumhw4c--1f0hxff8ndhp9","d3nzumhw4c--1f0hxff8ndhp9","Panthéon (bibliothèque du)",,
"place/FRAN_RI_026-d3nzumi7jm--b798dbu90p3c","d3nzumi7jm--b798dbu90p3c","Panthéon (théâtre du)",,
"place/FRAN_RI_026-d5bknxkjjl--1pxaofkfo0v0h","d5bknxkjjl--1pxaofkfo0v0h","Paon (enseigne du)",,
"place/FRAN_RI_026-d5bknxhd2y-cgwbgltlgxk6","d5bknxhd2y-cgwbgltlgxk6","Papagault (enseigne du)",,
"place/FRAN_RI_026-d5bknw9xue-1lemqla6icrmg","d5bknw9xue-1lemqla6icrmg","Papillons (enseigne des)",,
"place/FRAN_RI_026-d5bknx3oyj-75rq9gcinuw","d5bknx3oyj-75rq9gcinuw","Parades (enseigne des)",,
"place/FRAN_RI_026-d3nzumj1ia-dsvd9xerzcsh","d3nzumj1ia-dsvd9xerzcsh","Paris-Bestiaux (gare de)",,
"place/FRAN_RI_026-d3nzumjefw--t1pm8i1cl3oq","d3nzumjefw--t1pm8i1cl3oq","Parme (hôtel de)",,
"place/FRAN_RI_026-d5bknxhvmb--j8apgsw19h64","d5bknxhvmb--j8apgsw19h64","Patriarche (enseigne du)",,
"place/FRAN_RI_026-d3nzumjq2y-1teytlrm43w1o","d3nzumjq2y-1teytlrm43w1o","Pavillon-Royal (hôtel du)",,
"place/FRAN_RI_026-d5bknwhg5m-15hm0z34vjctw","d5bknwhg5m-15hm0z34vjctw","Pêcheur (enseigne du)",,
"place/FRAN_RI_026-d5bknw6iz4-1lgmax2e05uu5","d5bknw6iz4-1lgmax2e05uu5","Pelleraine (enseigne de)",,
"place/FRAN_RI_026-d3m0cufyans--1f5ca0z686l2d","d3m0cufyans--1f5ca0z686l2d","Pénitents de Nazareth (couvent des)",,"Rue du Temple."
"place/FRAN_RI_026-d3nzumks8h--1588e6pem9my6","d3nzumks8h--1588e6pem9my6","Père-Lachaise (cimetière du)","Est (cimetière de l')",
"place/FRAN_RI_026-d5bknx0xdc-163g2xd9p10il","d5bknx0xdc-163g2xd9p10il","Pères-de-Nazareth (couvent des)",,
"place/FRAN_RI_026-d3nzumls0o--1cd2va816beij","d3nzumls0o--1cd2va816beij","Pères-des-Champs (couvent des)",,
"place/FRAN_RI_026-d3nzumm3fy-znk307rzo3gp","d3nzumm3fy-znk307rzo3gp","Périgord (hôtel de)",,
"place/FRAN_RI_026-d5bknwkvgf-1ndrjdqbwd4f8","d5bknwkvgf-1ndrjdqbwd4f8","Perle (enseigne de la)",,
"place/FRAN_RI_026-d5bknxjgiz--vlehn0tdh2br","d5bknxjgiz--vlehn0tdh2br","Petit Bercy (château du)",,
"place/FRAN_RI_026-d5bknxayv4-8fz81nsnv0vs","d5bknxayv4-8fz81nsnv0vs","Petit Bourbon (hôtel du)",,"Place du Louvre."
"place/FRAN_RI_026-d5bknwugzx--19hkf327mzq9k","d5bknwugzx--19hkf327mzq9k","Petit Carolus (enseigne du)",,
"place/FRAN_RI_026-d5bknx16n1-wm0zc9wfh76i","d5bknx16n1-wm0zc9wfh76i","Petit Cerf (enseigne du)",,
"place/FRAN_RI_026-d5bknwzsmo-12psl29l2zlai","d5bknwzsmo-12psl29l2zlai","Petite Caille (enseigne de la)",,
"place/FRAN_RI_026-d5bknx0rrl-3iyv3xyut0ee","d5bknx0rrl-3iyv3xyut0ee","Petite Harpe (enseigne de la)",,
"place/FRAN_RI_026-d5bknwiljk-1to04c5h0nf6u","d5bknwiljk-1to04c5h0nf6u","Petite Marche (enseigne de la)",,
"place/FRAN_RI_026-d5bknx6ihk--16tysc70foknw","d5bknx6ihk--16tysc70foknw","Petite Marche (hôtel de la)",,
"place/FRAN_RI_026-d5bknwtqp6--1k974c0z9eapd","d5bknwtqp6--1k974c0z9eapd","Petite Navarre (enseigne de la)",,
"place/FRAN_RI_026-d5bknxq6dv--b8x8cvzsoesu","d5bknxq6dv--b8x8cvzsoesu","Petite Pomme Rouge (enseigne de la)",,
"place/FRAN_RI_026-d5bknx04x0--l3u64wi6lhq6","d5bknx04x0--l3u64wi6lhq6","Petite Rochelle (enseigne de la)",,
"place/FRAN_RI_026-d5bknw5npw-1ch5fs92y8i34","d5bknw5npw-1ch5fs92y8i34","Petite Sirène (enseigne de la)",,
"place/FRAN_RI_026-d5bknxapt6-1nyf7nrs5zy4f","d5bknxapt6-1nyf7nrs5zy4f","Petites Maisons (hôpital des)",,
"place/FRAN_RI_026-d5bknxc4gt-tp263t0wd8e9","d5bknxc4gt-tp263t0wd8e9","Petit Lion (enseigne du)",,
"place/FRAN_RI_026-d5bknwj079--d15r3g1dwirc","d5bknwj079--d15r3g1dwirc","Petit Luxembourg (hôtel du)",,
"place/FRAN_RI_026-d5bknwvvfs-uv8obu4j36nx","d5bknwvvfs-uv8obu4j36nx","Petit Mignon (enseigne du)",,
"place/FRAN_RI_026-d5bknxw7vv-d9k7y8bukk38","d5bknxw7vv-d9k7y8bukk38","Petit Moïse (hôtel du)",,
"place/FRAN_RI_026-d5bknwk37u--13mtg5p0wh406","d5bknwk37u--13mtg5p0wh406","Petit Monde (enseigne du)",,
"place/FRAN_RI_026-d5bknws24l-p4lidicodlf7","d5bknws24l-p4lidicodlf7","Petit Navarre (hôtel du)",,
"place/FRAN_RI_026-d5bknx5pth--rywhrfc1uk0k","d5bknx5pth--rywhrfc1uk0k","Petit Panier (enseigne du)",,
"place/FRAN_RI_026-d5bknwfpux-pe2x91b757wi","d5bknwfpux-pe2x91b757wi","Petit Paon (enseigne du)",,
"place/FRAN_RI_026-d5bknxlnf7-8c9oc063fdot","d5bknxlnf7-8c9oc063fdot","Petit Paradis (enseigne du)",,
"place/FRAN_RI_026-d5bknwsbts--10d5xsi7eb07o","d5bknwsbts--10d5xsi7eb07o","Petit Puits (enseigne du)",,
"place/FRAN_RI_026-d5bknxvpzr-19v2ww9c83nwc","d5bknxvpzr-19v2ww9c83nwc","Petit Saint-Antoine (couvent du)",,
"place/FRAN_RI_026-d5bknxblpo-1f5g1lcprqlyq","d5bknxblpo-1f5g1lcprqlyq","Petit Saint-Antoine (enseigne du)",,
"place/FRAN_RI_026-d5bknw3a54-1s45d4n1e3sa5","d5bknw3a54-1s45d4n1e3sa5","Petit Saint-Jean (image du)",,
"place/FRAN_RI_026-d5bknx79v3--16u4mb440huva","d5bknx79v3--16u4mb440huva","Petits Augustins (couvent des)",,
"place/FRAN_RI_026-d5bknwf4ax--3hhpqyaxucpc","d5bknwf4ax--3hhpqyaxucpc","Petit Soleil (enseigne du)",,
"place/FRAN_RI_026-d5bknx4rz4-1758dzg1p5e65","d5bknx4rz4-1758dzg1p5e65","Petit Sully (hôtel du)",,"Place des Vosges."
"place/FRAN_RI_026-d5bknw28mu--mexqhlfjj4tp","d5bknw28mu--mexqhlfjj4tp","Petit Vaugirard (barrière du)",,
"place/FRAN_RI_026-d3nzumxy91-1cogobq8meap9","d3nzumxy91-1cogobq8meap9","Philippe-Auguste (enceinte de)",,
"place/FRAN_RI_026-d3nzumz4a9--zm7h9hqfa95m","d3nzumz4a9--zm7h9hqfa95m","Picpus (barrière de)",,
"place/FRAN_RI_026-d3nzumzh7v-1976d2s8gsytb","d3nzumzh7v-1976d2s8gsytb","Picpus (cimetière de)",,
"place/FRAN_RI_026-d3m0cug52ou--pb5x6e0oumne","d3m0cug52ou--pb5x6e0oumne","Picpus (maison de santé de)",,
"place/FRAN_RI_026-d3nzumzsux-1n4mmoijyd5f5","d3nzumzsux-1n4mmoijyd5f5","Picpus (prison de)","Picpus (couvent de)",
"place/FRAN_RI_026-d5bknx5f1g--676jp47r49cd","d5bknx5f1g--676jp47r49cd","Pie (enseigne de la)",,
"place/FRAN_RI_026-d5bknxmcn5--le5xfhhjfiny","d5bknxmcn5--le5xfhhjfiny","Pied de Biche (enseigne du)",,
"place/FRAN_RI_026-d5bknwe91p--ezcs7smtvwkk","d5bknwe91p--ezcs7smtvwkk","Pie en Cage (enseigne de la)",,
"place/FRAN_RI_026-d5bknx0n0v--f1imc18fcnn4","d5bknx0n0v--f1imc18fcnn4","Pilier Vert (enseigne du)",,
"place/FRAN_RI_026-d3nzun04hz--1biv0w7pbg1tb","d3nzun04hz--1biv0w7pbg1tb","Pitié-Salpêtrière (hôpital de la)","Salpêtrière (prison de la) | Pitié (hôpital de la) | Salpêtrière (hôpital de la)",
"place/FRAN_RI_026-d3nzun0gcs-13ugafdk18340","d3nzun0gcs-13ugafdk18340","Place Vendôme (hôtel de la)",,
"place/FRAN_RI_026-d3nzun0s7l-r0c5pczcuwy","d3nzun0s7l-r0c5pczcuwy","Plantes (jardin des)",,
"place/FRAN_RI_026-d5bknx0bll-nmk47gldjufh","d5bknx0bll-nmk47gldjufh","Plat d'Etain (enseigne du)",,
"place/FRAN_RI_026-d5bknwfho1-1n0gpm2g27cvj","d5bknwfho1-1n0gpm2g27cvj","Plat-de-Gelée (enseigne du)",,
"place/FRAN_RI_026-d3nzun142e--1fyt0rk10ucvj","d3nzun142e--1fyt0rk10ucvj","Plessis (collège du)",,
"place/FRAN_RI_026-d3nzun1g4y--1daprw8121vwr","d3nzun1g4y--1daprw8121vwr","Plessis (prison du)","Egalité (prison de l')",
"place/FRAN_RI_026-d5bknxsese--12hi572e82p77","d5bknxsese--12hi572e82p77","Plume d'Or (enseigne de la)",,
"place/FRAN_RI_026-d3nzun21oz-1bvmi1nc9n0bc","d3nzun21oz-1bvmi1nc9n0bc","Poissonnière (barrière)",,
"place/FRAN_RI_026-d5bknx6lxq-hbvxmb89jqxz","d5bknx6lxq-hbvxmb89jqxz","Poissonniers (enseigne des)",,
"place/FRAN_RI_026-d5bknwcocs--xwdyv6zp3y4f","d5bknwcocs--xwdyv6zp3y4f","Polonais (enseigne du)",,
"place/FRAN_RI_026-d5bknw7sgi-10szxvx5e8hok","d5bknw7sgi-10szxvx5e8hok","Pomme d'Or (enseigne de la)",,
"place/FRAN_RI_026-d5bknxsa1o--1h0gczpcunlfg","d5bknxsa1o--1h0gczpcunlfg","Pomme d'Orange (enseigne de la)",,
"place/FRAN_RI_026-d5bknx8900--3gh1y3k7h5qs","d5bknx8900--3gh1y3k7h5qs","Pomme de Pin (enseigne de la)",,
"place/FRAN_RI_026-d5bknxpmzg-hodwcj8t4g1n","d5bknxpmzg-hodwcj8t4g1n","Pomme Rouge (enseigne de la)",,
"place/FRAN_RI_026-d3nzun3t2g--sbhjtw1qnksh","d3nzun3t2g--sbhjtw1qnksh","Pons (hôtel de)",,
"place/FRAN_RI_026-d3nzun44pi-jistj9uv27jp","d3nzun44pi-jistj9uv27jp","Pont (hôtel de)",,
"place/FRAN_RI_026-d3nzun4gkb--io3m94d3fipy","d3nzun4gkb--io3m94d3fipy","Pontchartrain (hôtel de)",,
"place/FRAN_RI_026-d3nzun4sf4--1wwvl43mqpmmn","d3nzun4sf4--1wwvl43mqpmmn","Pontoise (hôtel de)",,
"place/FRAN_RI_026-d5bknxey7m-8irdeictbi8c","d5bknxey7m-8irdeictbi8c","Pont-Saint-Pierre (enseigne du)",,
