"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d5bknxcp5s-20qd3ti9i2ua","d5bknxcp5s-20qd3ti9i2ua","Homme Armé (enseigne de l')",,
"place/FRAN_RI_026-d5bknw5b7t--os591f83o1pt","d5bknw5b7t--os591f83o1pt","Homme Sauvage (enseigne de l')",,
"place/FRAN_RI_026-d5bknwsjsx-vzuelr5azs3o","d5bknwsjsx-vzuelr5azs3o","Hôpital (barrière de l')",,
"place/FRAN_RI_026-d3m0cugfb3z--1br5ysgca24ak","d3m0cugfb3z--1br5ysgca24ak","Hôpital (cloître de l')",,
"place/FRAN_RI_026-d5bknwxpm5--1jryarin6t61n","d5bknwxpm5--1jryarin6t61n","Hôpital Général",,
"place/FRAN_RI_026-d3nzuji41s-z91bwozjl4ld","d3nzuji41s-z91bwozjl4ld","Hospitalières-de-la-Charité-Saint-Joseph (couvent)",,
"place/FRAN_RI_026-d3nzujigc4--rg3hkgz15rlc","d3nzujigc4--rg3hkgz15rlc","Hospitalières-de-la-Miséricorde-de-Jésus (couvent des)",,
"place/FRAN_RI_026-d5bknwthn9-1xp1ttc95rn0","d5bknwthn9-1xp1ttc95rn0","Hôtel de Toulouse (enseigne de l')",,
"place/FRAN_RI_026-d5bknx4lak-ekiwh1oilyx3","d5bknx4lak-ekiwh1oilyx3","Hôtel de Ville",,
"place/FRAN_RI_026-d5bknwbdd2-p75lr8onfu9o","d5bknwbdd2-p75lr8onfu9o","Hôtel-Dieu","Humanité (hospice de l')",
"place/FRAN_RI_026-d5bknw44yt-139ju1dzzloz0","d5bknw44yt-139ju1dzzloz0","Hotte (enseigne de la)",,
"place/FRAN_RI_026-d5bknwakh7--12az5gudyf7xb","d5bknwakh7--12az5gudyf7xb","Hupe (enseigne de la)",,
"place/FRAN_RI_026-d5bknxif0q-1ggr8weoqrs6p","d5bknxif0q-1ggr8weoqrs6p","Hure (enseigne de la)",,
