"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zlfsk1-1v04p96wsfok3","d3m08zlfsk1-1v04p96wsfok3","Châtillon (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zqn8lj-1594jumpjpchr","d3m08zqn8lj-1594jumpjpchr","Chelsea (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yz4yxu-180qjms2rszxi","d3m08yz4yxu-180qjms2rszxi","Chemnitz (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-7664vbly1--fr027mgbx4yq","d-7664vbly1--fr027mgbx4yq","Chesham Bois (Royaume-Uni)",,,,"Chesham Bois est un village du Comté de Buckinghamshire, Angleterre. (Source : https://en.wikipedia.org/wiki/Chesham_Bois)","Royaume-Uni [d3ntxlh9hr-pry10srrczvg]","http://www.wikidata.org/entity/Q637711 | https://sws.geonames.org/11550849/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zrtaos-1bywzmz3jnuds","d3m08zrtaos-1bywzmz3jnuds","Chester (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zwufqh--11l3iivd5pmb7","d3m08zwufqh--11l3iivd5pmb7","Chiclana de la Frontera (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zf7s3q--12jaomt03dwjo","d3m08zf7s3q--12jaomt03dwjo","Chieri (Italie)","Quiers (Italie)",,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yj6s5r--1urfkv38hzdb9","d3m08yj6s5r--1urfkv38hzdb9","Chimay (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yz070d--an9xpmxi9mjx","d3m08yz070d--an9xpmxi9mjx","Claremont (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ze61p8--1s3er1aqzyu10","d3m08ze61p8--1s3er1aqzyu10","Clifton (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yi5lkb-1nugi0sn7okk3","d3m08yi5lkb-1nugi0sn7okk3","Coblence (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zwtuqm--1tnkbsogk2urh","d3m08zwtuqm--1tnkbsogk2urh","Cointrin (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08z6qpzv-1xrvjtxmsopu1","d3m08z6qpzv-1xrvjtxmsopu1","Collex-Bossy (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08ztzoh2--1tgfzbiht5mwd","d3m08ztzoh2--1tgfzbiht5mwd","Cologne (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zs8wts-1666y7cqui8kr","d3m08zs8wts-1666y7cqui8kr","Colombo (Sri Lanka)",,,,,"Sri Lanka [d3ntxlpn26-19ohab3qvbnnh]",,
"place/FRAN_RI_005-d3m08zcgaw8-esfia2htjnob","d3m08zcgaw8-esfia2htjnob","Côme (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-62oktci5c--xzfi281pza75","d-62oktci5c--xzfi281pza75","Comines-Warneton (Belgique)",,,,"Comines-Warneton est une ville francophone à facilités linguistiques de Belgique située en Région wallonne dans la province de Hainaut. (Source : https://fr.wikipedia.org/wiki/Comines-Warneton)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q665761 | https://sws.geonames.org/2800196/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yit2y9-p4gz2755fteo","d3m08yit2y9-p4gz2755fteo","Constantine (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08yn3914-11sjye95rslu3","d3m08yn3914-11sjye95rslu3","Copenhague (Danemark)",,,,,"Danemark [d3ntxkfgvq--1ml7hma97e0bo]",,
"place/FRAN_RI_005-d3m08z8ofm5--15k5uq4djan4f","d3m08z8ofm5--15k5uq4djan4f","Coppet (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08z0g2gu-p40lwgqhwtet","d3m08z0g2gu-p40lwgqhwtet","Cork (Irlande)",,,,,"Irlande [d3ntxkt0ox-16bmp6ylm8933]",,
"place/FRAN_RI_005-d3m08zdoxoo-1snfns0v72pr4","d3m08zdoxoo-1snfns0v72pr4","Courlande (Lettonie)",,,,,"Lettonie [d3ntxkym0w--dgz2ly2z4p4u]",,
"place/FRAN_RI_005-d3m08yu8syb--qq39x8b7eh46","d3m08yu8syb--qq39x8b7eh46","Courroux (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zshqxp-1lbo2t2n1ajwb","d3m08zshqxp-1lbo2t2n1ajwb","Courtrai (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d-74ofmkaro--1fv7hqkfm5z6w","d-74ofmkaro--1fv7hqkfm5z6w","Coxyde (Belgique)",,,,"Coxyde (en néerlandais : Koksijde) est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Occidentale, sur la côte belge, dont elle est une des stations balnéaires. (Source : https://fr.wikipedia.org/wiki/Coxyde)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q465545 | https://sws.geonames.org/2794167/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zx99qw-34vr540l8yjz","d3m08zx99qw-34vr540l8yjz","Cracovie (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08zx44qt--1pbquqeayhqmt","d3m08zx44qt--1pbquqeayhqmt","Craveggia (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zajijx-1iaa2bn407w60","d3m08zajijx-1iaa2bn407w60","Crémone (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yk8sgs-11vr0gfsqjvzb","d3m08yk8sgs-11vr0gfsqjvzb","Crevoladossola (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zv8agz-1glhaa1doywfe","d3m08zv8agz-1glhaa1doywfe","Crimée (Ukraine)",,,,,"Ukraine [d3ntxlzn9e--18rviijd4m2nf]",,
"place/FRAN_RI_005-d3m08z2jg3r-x5lhccjb1cdi","d3m08z2jg3r-x5lhccjb1cdi","Cureghem (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zi12a3-1en0j3fvr6cna","d3m08zi12a3-1en0j3fvr6cna","Daillens (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3ntxn4bk1-12hokc6w9jpxd","d3ntxn4bk1-12hokc6w9jpxd","Dakar (Sénégal)",,,,,"Sénégal [d3ntxlm0fj--1uvyjh4y8ws6h]",,
"place/FRAN_RI_005-d3m08yzyq4s-1h8gmzfprcw99","d3m08yzyq4s-1h8gmzfprcw99","Damas (Syrie)",,,,,"Syrie [d3ntxltulk--gas4jyk9me5c]",,
"place/FRAN_RI_005-d3m08zlo395--jribkyff3oax","d3m08zlo395--jribkyff3oax","Darmstadt (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-63cmgqakc--1n3ci5at0qo6m","d-63cmgqakc--1n3ci5at0qo6m","Därstetten (Suisse)",,,,"Därstetten est une commune suisse du canton de Berne. (Source : https://fr.wikipedia.org/wiki/D%C3%A4rstetten)","Suisse [d3ntxlqozz--1f3x6hvqucf3g]","http://www.wikidata.org/entity/Q65721 | https://sws.geonames.org/2661044/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08z0p9ne--iwuv428srsd0","d3m08z0p9ne--iwuv428srsd0","Dartmouth (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zyod2t-1iegx0s1ne47l","d3m08zyod2t-1iegx0s1ne47l","Détroit (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zw4cgl-a5lrxrb061q2","d3m08zw4cgl-a5lrxrb061q2","Devonshire (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yqmxyz--ptv9teqhiaaj","d3m08yqmxyz--ptv9teqhiaaj","Dinant (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zylcxf--17yr5fqicx9p","d3m08zylcxf--17yr5fqicx9p","Djakarta (Indonésie)",,,,,"Indonésie [d3ntxks14i-1gs8zt6228mrb]",,
"place/FRAN_RI_005-d3m08ziy4bh--1s13ivmshss2j","d3m08ziy4bh--1s13ivmshss2j","Domodossola (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yxm44i-17xygs2djwz53","d3m08yxm44i-17xygs2djwz53","Dompierre (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08z112bo-fjjym82bi197","d3m08z112bo-fjjym82bi197","Dordrecht (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zjnabf-1f8cowtq54yom","d3m08zjnabf-1f8cowtq54yom","Dresde (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zdc2zb--1svwojogs079b","d3m08zdc2zb--1svwojogs079b","Dublin (Irlande)",,,,,"Irlande [d3ntxkt0ox-16bmp6ylm8933]",,
"place/FRAN_RI_005-d3m08yjnm9r--78xtbeei7cqv","d3m08yjnm9r--78xtbeei7cqv","Dubrovnik (Croatie)","Raguse (Croatie)",,,,"Croatie [d3ntxkesiu-1lezfchenk55s]",,
"place/FRAN_RI_005-d3m08z6gphy-64rayn03fot8","d3m08z6gphy-64rayn03fot8","Durham (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yx4jv9-32knv836eb77","d3m08yx4jv9-32knv836eb77","Düsseldorf (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zzjft5--nq9yj3jvnpxh","d3m08zzjft5--nq9yj3jvnpxh","Ecosse (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zjrz2s--17tfdcry6iuba","d3m08zjrz2s--17tfdcry6iuba","Ed Doura (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zw1o71-1t2bd56cvmqse","d3m08zw1o71-1t2bd56cvmqse","Edimbourg (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yqp8rm--qs2r6pltiplu","d3m08yqp8rm--qs2r6pltiplu","Edirne (Turquie)","Andrinople (Turquie)",,,,"Turquie [d3ntxlyula-1qj2xqwyl4the]",,
"place/FRAN_RI_005-d3m08zgg2m2--3xhrh72vedi7","d3m08zgg2m2--3xhrh72vedi7","Eeckeren (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zlfinh-zib72kbuz3de","d3m08zlfinh-zib72kbuz3de","Egine (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08zrbqtr-1zuwiynfio4m","d3m08zrbqtr-1zuwiynfio4m","Eichstätt (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z788o3-1jc9nxd33v3td","d3m08z788o3-1jc9nxd33v3td","Einsiedeln (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08yj9rwv-1ufd6c7116qcm","d3m08yj9rwv-1ufd6c7116qcm","El Arrouch (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d-6v8pp6mbg--1hkhalqzbw8ui","d-6v8pp6mbg--1hkhalqzbw8ui","El Kala (Algérie)",,,,"El Kala (en arabe algérien : القالة, anciennement La Calle) est une commune de la wilaya d'El Tarf en Algérie. (Source : https://fr.wikipedia.org/wiki/El_Kala)","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q3050005",
"place/FRAN_RI_005-d3m08zxbo3w--8xzjaoyy4edb","d3m08zxbo3w--8xzjaoyy4edb","El Malah (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d-1g86cjgio--1ge7hnjk77pmk","d-1g86cjgio--1ge7hnjk77pmk","El Menia (Algérie)",,,,"El Menia ou El Ménéa (anciennement El-Goléa) est une commune de la wilaya de Ghardaïa en Algérie située à 267 km au sud-ouest de Ghardaïa. (Source : https://fr.wikipedia.org/wiki/El_Menia) | GeoNames: https://www.geonames.org/2498305","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q1324185","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08z1zy4g-zjhw0a6ve6dz","d3m08z1zy4g-zjhw0a6ve6dz","Emmerich am Rhein (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zdbvul-15jgqqk7za9ve","d3m08zdbvul-15jgqqk7za9ve","Emsworth (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08z7ok5t--rel140atx3w2","d3m08z7ok5t--rel140atx3w2","Erfurt (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yq9211-1mibo0qyhbk4g","d3m08yq9211-1mibo0qyhbk4g","Ering (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z0s32c--178zvhye0as2k","d3m08z0s32c--178zvhye0as2k","Ermatingen (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zq1ilf--cxe8t9zedo28","d3m08zq1ilf--cxe8t9zedo28","Essaouira (Maroc)","Mogador (Maroc)",,,,"Maroc [d3ntxl3s9o-18z3mton10zrv]",,
"place/FRAN_RI_005-d3m08zcopjz-16ibo7ayopcqb","d3m08zcopjz-16ibo7ayopcqb","Essen (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d5bdp90uqc-t86kzjopkxb4","d5bdp90uqc-t86kzjopkxb4","Etats du Levant (mandat français)",,,,"Territoires sous mandat français de 1920 à 1941, 1946 : Syrie, Liban",,,
"place/FRAN_RI_005-d3m08zkpe6t-uxnpisd3w61l","d3m08zkpe6t-uxnpisd3w61l","Eylau (Russie)",,,,,"Russie [d3ntxlhlzu--xk25nxgg86yz]",,
"place/FRAN_RI_005-d3m08yudpmx--1s9b2k4ub5lom","d3m08yudpmx--1s9b2k4ub5lom","Farnborough (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08z09a1i--1o5njkxmkr1d0","d3m08z09a1i--1o5njkxmkr1d0","Feltre (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z7pz9k--61vwzwncap2h","d3m08z7pz9k--61vwzwncap2h","Feluy (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z5m4zn-1ml2qor95khvx","d3m08z5m4zn-1ml2qor95khvx","Ferdinandshof (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zkb568-1bpr028azgxd1","d3m08zkb568-1bpr028azgxd1","Fernan Nuñez (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08yqr7a5--1e5pzfbd0qivq","d3m08yqr7a5--1e5pzfbd0qivq","Ferrare (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08ziloo1-1utprpin6obp","d3m08ziloo1-1utprpin6obp","Fiorenzuola d'Arda (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08ytw6kf-xkq5cfthvasr","d3m08ytw6kf-xkq5cfthvasr","Flandre (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zi0dbm-19vnvbsjgob2g","d3m08zi0dbm-19vnvbsjgob2g","Flandres (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zqelma--1hm7ou1l0x1fr","d3m08zqelma--1hm7ou1l0x1fr","Flensbourg (Danemark)",,,,,"Danemark [d3ntxkfgvq--1ml7hma97e0bo]",,
"place/FRAN_RI_005-d3m08zs8pp2-8r0umck78sv9","d3m08zs8pp2-8r0umck78sv9","Flessingue (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3ntxnbqum-qyfvgrvuew13","d3ntxnbqum-qyfvgrvuew13","Florence (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-6462s7ja7-1tnhom6w361ep","d-6462s7ja7-1tnhom6w361ep","Florenville (Belgique)",,,,"Florenville (en gaumais Floravile) est une ville francophone de Belgique située en Région wallonne. (Source : https://fr.wikipedia.org/wiki/Florenville)","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q713300 | https://sws.geonames.org/2798272/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zdwyh9-1ipt3gkivvic0","d3m08zdwyh9-1ipt3gkivvic0","Fontanelle (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yx4389-18iy9q7vlu0ud","d3m08yx4389-18iy9q7vlu0ud","Forli (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z7lkep--cq7bxcymmyp5","d3m08z7lkep--cq7bxcymmyp5","Fornet (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08yxdttn-was3pqngdszm","d3m08yxdttn-was3pqngdszm","Francfort (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zlqlz1-qa19lcpkl1c3","d3m08zlqlz1-qa19lcpkl1c3","Francfort-sur-le-Main (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yk9i7s--4ibv0yv084hw","d3m08yk9i7s--4ibv0yv084hw","Francfort-sur-Oder (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zau77s-b1rxsvugdvvz","d3m08zau77s-b1rxsvugdvvz","Frascati (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zahv4p--13lio250wrloq","d3m08zahv4p--13lio250wrloq","Fribourg (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08z8etdn-86irjmiiftxj","d3m08z8etdn-86irjmiiftxj","Funchal (Portugal)",,,,,"Portugal [d3ntxlekx7--1o2ff4b0v3ptu]",,
"place/FRAN_RI_005-d3m08zpimss-lxt0hfov55r1","d3m08zpimss-lxt0hfov55r1","Fuzhou (Chine)",,,,,"Chine [d3ntxkac5a-8e4epe80c9ko]",,
"place/FRAN_RI_005-d3m08zv5kme-x7nhba402c1x","d3m08zv5kme-x7nhba402c1x","Galati (Roumanie)",,,,,"Roumanie [d3ntxlgwk5--1es7xt1ruo381]",,
"place/FRAN_RI_005-d3ntxndivd-jucr8kq8hgi1","d3ntxndivd-jucr8kq8hgi1","Gand (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d-658oouuh0-3uqiyya9ss20","d-658oouuh0-3uqiyya9ss20","Gardelegen (Allemagne)",,,,"Gardelegen est une ville allemande située dans l'arrondissement d'Altmark-Salzwedel de l'État (Land) de Saxe-Anhalt. Source : https://fr.wikipedia.org/wiki/Gardelegen)","Allemagne [d3ntxjxyl2-de3n2j7xfcc0]","http://www.wikidata.org/entity/Q492374 | https://sws.geonames.org/2922580/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zqfe54--1x8e8t5lmg91u","d3m08zqfe54--1x8e8t5lmg91u","Gdansk (Pologne)","Dantzig (Pologne)",,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3ntxne7g1-1lbj1k1cz4dsn","d3ntxne7g1-1lbj1k1cz4dsn","Gênes (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxneowl-14664lubz96s3","d3ntxneowl-14664lubz96s3","Genève (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zcpvjp--1wyv8kpn3pix8","d3m08zcpvjp--1wyv8kpn3pix8","Gérone (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d-6x68lvvb5--ztrqo4x1skq7","d-6x68lvvb5--ztrqo4x1skq7","Ghazaouet (Algérie)",,,,"Ghazaouet ou Djemaa el Ghazaouet (anciennement Nemours pendant la colonisation française), est une commune algérienne de la wilaya de Tlemcen, proche de la frontière marocaine. (Source : https://fr.wikipedia.org/wiki/Ghazaouet)","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q1521492",
"place/FRAN_RI_005-d3m08z0v76b--fpu5nmybzzob","d3m08z0v76b--fpu5nmybzzob","Gibraltar (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d-66g47ja8l--gl4vtrm0dkdg","d-66g47ja8l--gl4vtrm0dkdg","Giessen (Allemagne)",,,,"Giessen (Gießen en allemand) est une ville universitaire d'Allemagne dans le centre du Land de Hesse. (Source : https://fr.wikipedia.org/wiki/Giessen_(Allemagne))","Allemagne [d3ntxjxyl2-de3n2j7xfcc0]","http://www.wikidata.org/entity/Q3874 | https://sws.geonames.org/2920512/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zdxepz--p9o9m9qn9gtb","d3m08zdxepz--p9o9m9qn9gtb","Gijon (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08yinayz--1h69d0mh6igh2","d3m08yinayz--1h69d0mh6igh2","Gondorf (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yvpjb6--1rug1s6b6jfpu","d3m08yvpjb6--1rug1s6b6jfpu","Göteborg (Suède)",,,,,"Suède [d3ntxlq5lk-k2xz4bd4dcxr]",,
"place/FRAN_RI_005-d3m08ziv2l2-xgigml4tn7tf","d3m08ziv2l2-xgigml4tn7tf","Göttingen (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ysh02g--19ggniny1n9ok","d3m08ysh02g--19ggniny1n9ok","Gouda (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08z8lapn--1n0urqzy22cnn","d3m08z8lapn--1n0urqzy22cnn","Grenade (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m09016lwy-fo52svkp12cz","d3m09016lwy-fo52svkp12cz","Grisons (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d5bdplyqzh-1cn2o5gv3sqo6","d5bdplyqzh-1cn2o5gv3sqo6","Groenland (Danemark)",,,,,"Danemark [d3ntxkfgvq--1ml7hma97e0bo]",,
"place/FRAN_RI_005-d3m08z0vgol--1p4mfj0nw4oy6","d3m08z0vgol--1p4mfj0nw4oy6","Gross Umstadt (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zqnxk0-1jn52ze41yeuz","d3m08zqnxk0-1jn52ze41yeuz","Guadalajara (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d-700uys6a3-b6jpoit6r520","d-700uys6a3-b6jpoit6r520","Guelma (Algérie)",,,,"Guelma (en arabe ڨالمة , en berbère ⴳⴰⵍⵎⴰ), appelée autrefois Calama ou encore Malaca, est une commune de la wilaya de Guelma, dont elle est le chef-lieu, située à 60 km au sud-ouest d'Annaba, à 110 km à l'est de Constantine, à 60 km de la mer Méditerranée et à 150 km de la frontière tunisienne. (Source : https://fr.wikipedia.org/wiki/Guelma)","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q609871",
"place/FRAN_RI_005-d3m08yj3yck--1tk7z0q2n5wep","d3m08yj3yck--1tk7z0q2n5wep","Hainaut (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yv291y-r5r3np09xxxu","d3m08yv291y-r5r3np09xxxu","Hambourg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
