"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zqoz6u--t49qxj2y3jrc","d3m08zqoz6u--t49qxj2y3jrc","Sune (Danemark)",,,,,"Danemark [d3ntxkfgvq--1ml7hma97e0bo]",,
"place/FRAN_RI_005-d3m08zxy4ni--mz6d9b9upsn2","d3m08zxy4ni--mz6d9b9upsn2","Surate (Inde)",,,,,"Inde [d3ntxkrkiz--1shnvwc1hre55]",,
"place/FRAN_RI_005-d3m08z9hq64-u08zrqlizdq9","d3m08z9hq64-u08zrqlizdq9","Suse (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zpcb0g-1cazinj53kzsr","d3m08zpcb0g-1cazinj53kzsr","Tanger (Maroc)",,,,,"Maroc [d3ntxl3s9o-18z3mton10zrv]",,
"place/FRAN_RI_005-d3m08z39glt--85nm18ffv72s","d3m08z39glt--85nm18ffv72s","Tarente (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-6ueka2uig-bzsz5sjafbmw","d-6ueka2uig-bzsz5sjafbmw","Taza (Maroc)",,,,"Taza est une ville située au nord-est du Maroc dans le couloir de Taza, un col de montagne où les montagnes du Rif et du Moyen Atlas se rejoignent, chef-lieu de la province de Taza.(Source : https://fr.wikipedia.org/wiki/Taza)","Maroc [d3ntxl3s9o-18z3mton10zrv]","http://www.wikidata.org/entity/Q574469 | https://sws.geonames.org/2529317/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zqmpz8-1v5ymycr413mm","d3m08zqmpz8-1v5ymycr413mm","Tel Aviv (Israël)",,,,,"Israël [d3ntxktw5x--84skvc22nt6e]",,
"place/FRAN_RI_005-d3ntxpnz4j-r92d8ta6wc4g","d3ntxpnz4j-r92d8ta6wc4g","Territoires autonomes de Palestine","Jérusalem-Est | Cisjordanie | Bande de Gaza",,,,,,
"place/FRAN_RI_005-d3m08zxii49-67ulm5l1iua5","d3m08zxii49-67ulm5l1iua5","Thessalonique (Grèce)","Salonique (Grèce)",,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08zr6jg3-1cing9zvbtdkf","d3m08zr6jg3-1cing9zvbtdkf","Thurgovie (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08za27eo--19rp5q1qaeziq","d3m08za27eo--19rp5q1qaeziq","Tipasa (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zdcev5--mwh3l29pusqr","d3m08zdcev5--mwh3l29pusqr","Tiraspol (Ukraine)",,,,,"Ukraine [d3ntxlzn9e--18rviijd4m2nf]",,
"place/FRAN_RI_005-d3m08ztk0cr-1qpa4xx1c5txy","d3m08ztk0cr-1qpa4xx1c5txy","Tlemcen (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3ntxpqzc4-mryr8jt3k3ar","d3ntxpqzc4-mryr8jt3k3ar","Tokyo (Japon)",,,,,"Japon [d3ntxkuz6i-ibdx4bloxd1l]",,
"place/FRAN_RI_005-d3m08yie082--d56sy7uwm7f0","d3m08yie082--d56sy7uwm7f0","Torgau (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yvsjut-zx7whvka8mxz","d3m08yvsjut-zx7whvka8mxz","Toro (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zs9y2c--1rnx2e1jh4zcg","d3m08zs9y2c--1rnx2e1jh4zcg","Tortone (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m0900q6gl-12pf7cip6cwgf","d3m0900q6gl-12pf7cip6cwgf","Tortosa (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m0900tv66--12la5b7olm33o","d3m0900tv66--12la5b7olm33o","Torun (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08zok4v5-1wlaolk38ymc7","d3m08zok4v5-1wlaolk38ymc7","Toscane (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yzy0ds-1ck9vigijhzlc","d3m08yzy0ds-1ck9vigijhzlc","Tourinnes-la-Grosse (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zswhds--dh9mzj2ug7sv","d3m08zswhds--dh9mzj2ug7sv","Tournai (Belgique)","Tournay (Belgique)",,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yihsi0--gr14faq5t46m","d3m08yihsi0--gr14faq5t46m","Trèves (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08yjhrwx--6dqe9slmwq5y","d3m08yjhrwx--6dqe9slmwq5y","Trévise (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08ytcabq--lef7fwv4b3bd","d3m08ytcabq--lef7fwv4b3bd","Trieste (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxpsn1o--dgjisoz71gam","d3ntxpsn1o--dgjisoz71gam","Tunis (Tunisie)",,,,,"Tunisie [d3ntxly60m--alytytl85l0a]",,
"place/FRAN_RI_005-d3m08zge8un--qeerml5dupbg","d3m08zge8un--qeerml5dupbg","Turin (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z37t6l-1m0stclcu8dq6","d3m08z37t6l-1m0stclcu8dq6","Twickenham (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ypkmyv--77dppz694otr","d3m08ypkmyv--77dppz694otr","Utrecht (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zog1hw-103qg6jfoafa5","d3m08zog1hw-103qg6jfoafa5","Val d'Aoste (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zqgel6-jm2khwp0rbdq","d3m08zqgel6-jm2khwp0rbdq","Val-de-Travers (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08yimzvo--ukpj0f8okqe5","d3m08yimzvo--ukpj0f8okqe5","Valence (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m0901mt1s--1arw114b8vyo8","d3m0901mt1s--1arw114b8vyo8","Valparaiso (Chili)",,,,,"Chili [d3ntxk9zuy-1wj1xtjy4euzl]",,
"place/FRAN_RI_005-d3m08ykewq5-90uxhxfngk9r","d3m08ykewq5-90uxhxfngk9r","Varsovie (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08ymz1p9--q8d2rw01o785","d3m08ymz1p9--q8d2rw01o785","Varzo (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yyxatm-m1enj27xwm64","d3m08yyxatm-m1enj27xwm64","Vaucelles (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d-6vc9fq4ol-5ubjhw3pudih","d-6vc9fq4ol-5ubjhw3pudih","Vaudrevange (Allemagne)",,,,"Vaudrevange, en allemand Wallerfangen, est une commune en Sarre. (Source : https://fr.wikipedia.org/wiki/Vaudrevange)","Allemagne [d3ntxjxyl2-de3n2j7xfcc0]","http://www.wikidata.org/entity/Q665005 | https://sws.geonames.org/2814613/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zldy03-1sn97yjry3771","d3m08zldy03-1sn97yjry3771","Venise (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
