"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nz9p7bzw-zpgi9lf1utgx","d3nz9p7bzw-zpgi9lf1utgx","Cousté (rue)","Actuellement rue Sidi-Brahim."
"place/FRAN_RI_025-d3nz9p7n7f-14n4bar48bhhx","d3nz9p7n7f-14n4bar48bhhx","Coustou (rue)","Voie actuelle. Autre(s) nom(s) : rue Florentine."
"place/FRAN_RI_025-d3nz9p922u-1q3flgr7xy1nj","d3nz9p922u-1q3flgr7xy1nj","Couteliers (rue des)","Actuellement rue de la Coutellerie."
"place/FRAN_RI_025-d3nz9p9ed5--165a0twfqv5rt","d3nz9p9ed5--165a0twfqv5rt","Coutellerie (rue de la)","Voie actuelle. Autre(s) nom(s) : rue des Recommanderesses ou de la Commanderesse, rue de la Vieille-Oreille ou Guignoreille ou encore de Guigne-Oreille, rue Guillori, rue de la Coutellerie ou des Couteliers."
"place/FRAN_RI_025-d3nz9p9psg-1g8osgxdsjpgt","d3nz9p9psg-1g8osgxdsjpgt","Couture-du-Temple (rue de la)","Actuellement rue Vieille-du-Temple."
"place/FRAN_RI_025-d3nz9pa0zz-of47ov76dahf","d3nz9pa0zz-of47ov76dahf","Couture-Sainte-Catherine (rue de la)","Actuellement rue de Sévigné."
"place/FRAN_RI_025-d3nz9pabzq-11u3g9qe3vp7e","d3nz9pabzq-11u3g9qe3vp7e","Coutures-Saint-Gervais (rue des)","Voie actuelle. Autre(s) nom(s) : rue de l'Hôpital-Saint-Gervais, rue de la Culture-Saint-Gervais."
"place/FRAN_RI_025-d3nz9pamzi--1jjnqi9b8uepn","d3nz9pamzi--1jjnqi9b8uepn","Couvent (cité du)","Voie actuelle."
"place/FRAN_RI_025-d3nz9paxza-f8kwxay6tdtx","d3nz9paxza-f8kwxay6tdtx","Couvent (rue du)","Actuellement rue Saint-Etienne-du-Mont."
"place/FRAN_RI_025-d3nz9pb9ek--14ejlaxir3qs6","d3nz9pb9ek--14ejlaxir3qs6","Couvreuse (ruelle)","Actuellement impasse Bonne-Nouvelle."
"place/FRAN_RI_025-d3nz9pblh4--e93oozo0l84a","d3nz9pblh4--e93oozo0l84a","Coypel (cul-de-sac)","Actuellement passage des Deux-Soeurs."
"place/FRAN_RI_025-d3nz9pbwwf--1ny9jn2gv5rkk","d3nz9pbwwf--1ny9jn2gv5rkk","Coypel (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pc83y--jwfp7f9jll26","d3nz9pc83y--jwfp7f9jll26","Coysevox (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pcjbh-tsiaco97aqlz","d3nz9pcjbh-tsiaco97aqlz","CP/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pcub8-1wocsejt77jx","d3nz9pcub8-1wocsejt77jx","CP/15 (voie)","Actuellement allée de la Bertelotte."
"place/FRAN_RI_025-d3nz9pd5ir-ilmbuxdz02r2","d3nz9pd5ir-ilmbuxdz02r2","CP/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pel1g-pytj1j4pp4lm","d3nz9pel1g-pytj1j4pp4lm","CP/20 (voie)","Actuellement rue Victor-Ségalen."
"place/FRAN_RI_025-d3nz9pexbr--14j9epdakb3ir","d3nz9pexbr--14j9epdakb3ir","CQ/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pf9ec-95okuo95h66a","d3nz9pf9ec-95okuo95h66a","CQ/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pfklv-1d7ifadfi5enr","d3nz9pfklv-1d7ifadfi5enr","CQ/19 (voie)","Actuellement rue Raoul-Wallenberg."
"place/FRAN_RI_025-d3nz9pfvte-1qor0ne66gvhb","d3nz9pfvte-1qor0ne66gvhb","CQ/20 (voie)","Actuellement rue du Père-Julien-Dhuit."
"place/FRAN_RI_025-d3nz9pg6t5-z7drau7qm1pi","d3nz9pg6t5-z7drau7qm1pi","CR/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pgi0o--1g1cwgqa80szf","d3nz9pgi0o--1g1cwgqa80szf","CR/13 (voie)","Actuellement rue Choderlos-de-Laclos."
"place/FRAN_RI_025-d3nz9pgt87--2cewwmrh4hba","d3nz9pgt87--2cewwmrh4hba","CR/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9ph4ni-8rsn7b7h7076","d3nz9ph4ni-8rsn7b7h7076","CR/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9phfn9--ipkm58qyntkn","d3nz9phfn9--ipkm58qyntkn","CR/20 (voie)","Actuellement rue Louis-Nicolas-Clérambault."
"place/FRAN_RI_025-d3nz9phr2k--1st75azbqd0c2","d3nz9phr2k--1st75azbqd0c2","Crapez (rue)","Actuellement rue Denis-Poisson."
"place/FRAN_RI_025-d3nz9pi22b--howpv6bmm1tx","d3nz9pi22b--howpv6bmm1tx","Crayons (passage des)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pid23-z7qnefalro7u","d3nz9pid23-z7qnefalro7u","Crébillon (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9piohd-zu5pxjlednh4","d3nz9piohd-zu5pxjlednh4","Crèche (rue de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pk3cr-89yy28famh36","d3nz9pk3cr-89yy28famh36","Crédit-Lyonnais (impasse du)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pkf7l--14eb57oq1zyw2","d3nz9pkf7l--14eb57oq1zyw2","Crémieux (rue)","Voie actuelle. Autre(s) nom(s) : avenue Millaud."
"place/FRAN_RI_025-d3nz9pkqmv--1qe5ywdb5op0p","d3nz9pkqmv--1qe5ywdb5op0p","Crénaux (rue des)","Voir rue de la Vieille-Tannerie."
"place/FRAN_RI_025-d3nz9pl1ue--mcc4gq3u4iib","d3nz9pl1ue--mcc4gq3u4iib","Crépier (cour)","Voie supprimée."
"place/FRAN_RI_025-d3nz9plcu5--bryene5x1w45","d3nz9plcu5--bryene5x1w45","Crespin (rue)","Actuellement rue Crespin-du-Gast."
"place/FRAN_RI_025-d3nz9plntx-1carpo7qaepa9","d3nz9plntx-1carpo7qaepa9","Crespin-Du-Gast (rue)","Voie actuelle. Autre(s) nom(s) : rue Crespin."
"place/FRAN_RI_025-d3nz9plz1g-dqxvbhz2d3ip","d3nz9plz1g-dqxvbhz2d3ip","Cretet (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pmagq-1k9t3th9ryfvz","d3nz9pmagq-1k9t3th9ryfvz","Creuse (chemin)","Actuellement rue Oudry."
"place/FRAN_RI_025-d3nz9pmlgi--10nobpvg12x2c","d3nz9pmlgi--10nobpvg12x2c","Creuse (rue)","Actuellement rue Jean-Dolent."
"place/FRAN_RI_025-d3nz9pmxbb-j60bw52xc8dx","d3nz9pmxbb-j60bw52xc8dx","Crevaux (passage)","Actuellement passage National."
"place/FRAN_RI_025-d3nz9pn8b3-1m1syyfwwhg93","d3nz9pn8b3-1m1syyfwwhg93","Crevaux (rue)","Voie actuelle. Autre(s) nom(s) : rue Dennery."
"place/FRAN_RI_025-d3nz9pnklf-nhz4lq5ofuhj","d3nz9pnklf-nhz4lq5ofuhj","Crillon (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pnvsy--1uygwvagqkclv","d3nz9pnvsy--1uygwvagqkclv","Crimée (passage de)","Voie actuelle. Autre(s) nom(s) : passage Saint-Hilaire."
"place/FRAN_RI_025-d3nz9po6sp--1kcqds9ldeoye","d3nz9po6sp--1kcqds9ldeoye","Crimée (rue de)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pplo3--whn2c6w2s4zp","d3nz9pplo3--whn2c6w2s4zp","Crins (impasse des)","Voie actuelle."
"place/FRAN_RI_025-d3nz9ppydy-18wcsfjrqgdii","d3nz9ppydy-18wcsfjrqgdii","Cristino-Garcia (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pq9lh--1r31lcmtvp1ru","d3nz9pq9lh--1r31lcmtvp1ru","Croc (rue du)","Voir rue Jean-Pain-Mollet."
"place/FRAN_RI_025-d3nz9pqlo1--g9lo2j6fyj9q","d3nz9pqlo1--g9lo2j6fyj9q","Crocé-Spinelli (rue)","Voie actuelle. Autre(s) nom(s) : rue des Croisades, rue Saint-Louis."
"place/FRAN_RI_025-d3nz9pqxb3-196mhivi95xlh","d3nz9pqxb3-196mhivi95xlh","Croignet (rue)","Actuellement rue Pastourelle."
"place/FRAN_RI_025-d3nz9pr8av-gyl8j5jpuvax","d3nz9pr8av-gyl8j5jpuvax","Croisades (rue des)","Actuellement rue Crocé-Spinelli."
"place/FRAN_RI_025-d3nz9prjam-1uzqjipblyq7j","d3nz9prjam-1uzqjipblyq7j","Croisic (square du)","Voie actuelle. Autre(s) nom(s) : square, puis rue du Montparnasse."
"place/FRAN_RI_025-d3nz9prui5--u4peqtbo3lkh","d3nz9prui5--u4peqtbo3lkh","Croissant (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nz9ps5xg-9x4fovuokmx1","d3nz9ps5xg-9x4fovuokmx1","Croix (chemin de la)","2 voies supprimées."
"place/FRAN_RI_025-d3nz9psi00-1tuf9cstuzxpa","d3nz9psi00-1tuf9cstuzxpa","Croix (rue de la)","Cette dénomination correspond à 5 voies : actuelle partie de la rue Volta. Actuelle rue Daru. Actuelle rue de Fécamp. Actuelle rue Decamps. Actuelle partie de la rue Ribera."
"place/FRAN_RI_025-d3nz9pst7j-14xpk4fg02d59","d3nz9pst7j-14xpk4fg02d59","Croix-Blanche (passage de la)","Voir passage Saucède."
"place/FRAN_RI_025-d3nz9pt47b--1dmcnehmmxza6","d3nz9pt47b--1dmcnehmmxza6","Croix-Blanche (rue de la)","Cette dénomination correspond à 2 voies : actuelle rue Blanche. Actuelle partie de la rue du Roi-de-Sicile."
"place/FRAN_RI_025-d3nz9ptfml--9gwmwxz3dnfs","d3nz9ptfml--9gwmwxz3dnfs","Croix-Boissière (impasse de la)","Voie supprimée."
"place/FRAN_RI_025-d3nz9ptqmd-781c5kv2f7re","d3nz9ptqmd-781c5kv2f7re","Croix-Boissière (rue de la)","Actuellement rue Boissière."
"place/FRAN_RI_025-d3nz9pv5hr-bm4b0aa9yb3w","d3nz9pv5hr-bm4b0aa9yb3w","Croix-Catelan (carrefour de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pvhzu-1pb2akdt0ums1","d3nz9pvhzu-1pb2akdt0ums1","Croix-Catelan (chemin de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9pvtf4-tojlij6oatvu","d3nz9pvtf4-tojlij6oatvu","Croix-d'Or-dite-des-Marguilliers (rue de la)","Actuellement partie de la rue Grégoire-de-Tours."
"place/FRAN_RI_025-d3nz9pw475--1i5pm6wnh3a7f","d3nz9pw475--1i5pm6wnh3a7f","Croix-de-Clamart (carrefour de la)","Voie supprimée."
"place/FRAN_RI_025-d3nz9pwf6w--e3vrr9g5j3p1","d3nz9pwf6w--e3vrr9g5j3p1","Croix-de-l'Evangile (chemin de la)","Cette dénomination correspond à 2 voies : actuelle partie de la rue de l'Ourcq. Actuelle partie de la rue de l'Evangile."
"place/FRAN_RI_025-d3nz9px21h--vv5gzjwzroxg","d3nz9px21h--vv5gzjwzroxg","Croix-des-Petits-Champs (rue)","Voie actuelle. Autre(s) nom(s) : rue des Petits Champs."
"place/FRAN_RI_025-d3nz9pwr1p--414mgbe9cbi1","d3nz9pwr1p--414mgbe9cbi1","Croix-de-Vaugirard (chemin de la)","Voir rue du Chasse-Midi."
"place/FRAN_RI_025-d3nz9pxd19-eigyt330j11z","d3nz9pxd19-eigyt330j11z","Croix-du-But (rue de la)","Actuellement partie de la rue Girardon."
"place/FRAN_RI_025-d3nz9pxogj--uuhkphhnpx6q","d3nz9pxogj--uuhkphhnpx6q","Croix-du-Gors (chemin de la)","Actuellement partie de la rue des Plantes. Voie également dénommée impasse des Plantes."
"place/FRAN_RI_025-d3nz9pxzgb-1us2a6afnbnxx","d3nz9pxzgb-1us2a6afnbnxx","Croix-du-Roule (rue de la)","Actuellement rue Daru."
"place/FRAN_RI_025-d3nz9pyag2-16ieej6lnu6kn","d3nz9pyag2-16ieej6lnu6kn","Croix-du-Tiroir (place de la)","Voie supprimée."
"place/FRAN_RI_025-d3nz9pylvc--6sxic22lcekf","d3nz9pylvc--6sxic22lcekf","Croix-du-Tiroir (rue de la)","Ou rue de la Croix-du-Trahoir. Actuellement partie de la rue Saint-Honoré."
"place/FRAN_RI_025-d3nz9pywnd--15yixfarija1","d3nz9pywnd--15yixfarija1","Croix-du-Trahoir (rue de la)","Voir rue de la Croix-du-Tiroir."
"place/FRAN_RI_025-d3nz9pz7fd-19jeyjfn8mpir","d3nz9pz7fd-19jeyjfn8mpir","Croix-Faubin (cul-de-sac de la)","Actuellement impasse Delaunay."
"place/FRAN_RI_025-d3nz9q0lfq--1x44ioa6iyfav","d3nz9q0lfq--1x44ioa6iyfav","Croix-Faubin (rue de la)","Voie actuelle. Autre(s) nom(s) : rue Charles-Garnier."
"place/FRAN_RI_025-d3nz9q0xq2--1h41g803v5qy0","d3nz9q0xq2--1h41g803v5qy0","Croix-Jarry (chemin de la)","Actuellement rue Watt."
"place/FRAN_RI_025-d3nz9q18pt-1qths6xfwpc4q","d3nz9q18pt-1qths6xfwpc4q","Croix-Jarry (rue de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q1jpl--ujt4trz9jpe3","d3nz9q1jpl--ujt4trz9jpe3","Croix-Moreau (chemin dit de la)","Actuellement rue des Portes-Blanches et partie des rues Ordener et du Poteau."
"place/FRAN_RI_025-d3nz9q1v4v-cevl5lzuddit","d3nz9q1v4v-cevl5lzuddit","Croix-Moreau (rue de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q2h4e--57f4r33bs149","d3nz9q2h4e--57f4r33bs149","Croix-Neuve (cul-de-sac)","Voir rue Oblin."
"place/FRAN_RI_025-d3nz9q25wv-mz9ayxxrfzwy","d3nz9q25wv-mz9ayxxrfzwy","Croix-Neuve (cul-de-sac de la)","Actuellement impasse Saint-Eustache."
"place/FRAN_RI_025-d3nz9q2srg-1518bpwjzbgap","d3nz9q2srg-1518bpwjzbgap","Croix-Nivert (rue de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q33jg--16r7sym1kmm44","d3nz9q33jg--16r7sym1kmm44","Croix-Nivert (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q3eyr--9ddvbew30ib8","d3nz9q3eyr--9ddvbew30ib8","Croix-Rouge (carrefour de la)","Cette dénomination correspond à 2 voies : actuellement place des Saussaies. Actuelle place Michel-Debré."
"place/FRAN_RI_025-d3nz9q3q6a--1wp8ajeuogxhg","d3nz9q3q6a--1wp8ajeuogxhg","Croix-Rouge (chemin de la)","Actuellement partie de la rue de Picpus."
"place/FRAN_RI_025-d3nz9q4161--j2jnrgvodnwv","d3nz9q4161--j2jnrgvodnwv","Croix-Rouge (petite rue de la)","Actuellement rue de Richemont."
"place/FRAN_RI_025-d3nz9q4clc-xwd2a8b9p29c","d3nz9q4clc-xwd2a8b9p29c","Croix-Rouge (route de la)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q4nsv--erx0zqt41foz","d3nz9q4nsv--erx0zqt41foz","Croix-Rouge (rue de la)","Actuellement rue de Domrémy."
"place/FRAN_RI_025-d3nz9q61lg--v4hs5nhk0wxx","d3nz9q61lg--v4hs5nhk0wxx","Croix-Saint-Denis (rue de la)","Actuellement partie de la rue de la Cité et de la place Louis-Lépine."
"place/FRAN_RI_025-d3nz9q6do0--hn96smqvpg4e","d3nz9q6do0--hn96smqvpg4e","Croix-Saint-Simon (rue de la)","Voie actuelle. Autre(s) nom(s) : rue du Clos-Rasselin."
"place/FRAN_RI_025-d3nz9q6ovj--1g7315ci3r1vx","d3nz9q6ovj--1g7315ci3r1vx","Cronstadt (rue de)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q7032--2i51laydys6w","d3nz9q7032--2i51laydys6w","Cronstadt (villa de)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q7b2u-1bj09e8ti52pq","d3nz9q7b2u-1bj09e8ti52pq","Crouin (passage)","Voir rue Gustave-Mesureur."
"place/FRAN_RI_025-d3nz9q7m2m--1a8rbu4dl8m48","d3nz9q7m2m--1a8rbu4dl8m48","Croulebarbe (impasse)","Voie supprimée."
"place/FRAN_RI_025-d3nz9q889w--1ldu7ay0838ap","d3nz9q889w--1ldu7ay0838ap","Croulebarbe (rue)","Actuellement partie de la rue Corvisart."
"place/FRAN_RI_025-d3nz9q7xa5-zzwzgzq3itn8","d3nz9q7xa5-zzwzgzq3itn8","Croulebarbe (rue de)","Voie actuelle. Autre(s) nom(s) : rue du Moulin-de-Croulebarbe."
"place/FRAN_RI_025-d3nz9q8j9o--a7af2vibb3qs","d3nz9q8j9o--a7af2vibb3qs","Crouslé (allée)","Voie supprimée."
"place/FRAN_RI_025-d3nz9q8u9f-10ijc59pvb7g8","d3nz9q8u9f-10ijc59pvb7g8","Crozatier (impasse)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q95gy-etj0mefhv19u","d3nz9q95gy-etj0mefhv19u","Crozatier (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9q9ggq-tofc7vcdiqna","d3nz9q9ggq-tofc7vcdiqna","Crucifix (cul-de-sac du)","Voie supprimée également dénommée ruelle du Crucifix, cul-de-sac du Petit-Jésus, cul-de-sac de Saint-Claude."
"place/FRAN_RI_025-d3nz9q9ro9--1lkbbjn6k022j","d3nz9q9ro9--1lkbbjn6k022j","Crucifix (rue du)","Voir rue du Petit-Crucifix."
"place/FRAN_RI_025-d3nz9qa2vs--kq6utg3ot7yn","d3nz9qa2vs--kq6utg3ot7yn","Crucifix (ruelle du)","Cette dénomination correspond à 2 voies : voie ancienne : voir cul-de-sac du Crucifix. Voie ancienne : voir impasse Thévenot."
"place/FRAN_RI_025-d3nz9qbhjf-12bqs2874xej","d3nz9qbhjf-12bqs2874xej","Crucifix-Saint-Jacques (rue du)","Voir rue Saint-Jacques-la-Boucherie."
"place/FRAN_RI_025-d3nz9qbtlz-1hokvn2uun3x6","d3nz9qbtlz-1hokvn2uun3x6","Crussol (cité de)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qc4ti--elwyufk328t8","d3nz9qc4ti--elwyufk328t8","Crussol (rue de)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qcg11-wlzmnbv9sx01","d3nz9qcg11-wlzmnbv9sx01","CS/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qcr0t--1lk26f3rkbqk9","d3nz9qcr0t--1lk26f3rkbqk9","CS/13 (voie)","Actuellement rue Jean-Anouilh."
"place/FRAN_RI_025-d3nz9qd1st--b6fqmgrk10kv","d3nz9qd1st--b6fqmgrk10kv","CS/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qdd83--wvg25c1xh6r9","d3nz9qdd83--wvg25c1xh6r9","CS/20 (voie)","Actuellement place Henri-Matisse."
"place/FRAN_RI_025-d3nz9qdo7v--lyv0wjuv714m","d3nz9qdo7v--lyv0wjuv714m","CT/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qdyzv-yc9sf2h47bkk","d3nz9qdyzv-yc9sf2h47bkk","CT/13 (voie)","Actuellement rue Pao-Casals."
"place/FRAN_RI_025-d3nz9qea7e--1trae6chp0ypi","d3nz9qea7e--1trae6chp0ypi","CT/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qel76-1alvvceeas6c0","d3nz9qel76-1alvvceeas6c0","CT/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qewep-1ssk0gk52ehtb","d3nz9qewep-1ssk0gk52ehtb","CT/20 (voie)","Actuellement rue Raoul-Dufy."
"place/FRAN_RI_025-d3nz9qf7eh--mg6nb0cw8cvm","d3nz9qf7eh--mg6nb0cw8cvm","CU/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qfim0-oqd4x250jrob","d3nz9qfim0-oqd4x250jrob","CU/13 (voie)","Actuellement rue Olivier-Messiaen."
"place/FRAN_RI_025-d3nz9qgwu4--1lj2sp4yvbzq","d3nz9qgwu4--1lj2sp4yvbzq","CU/15 (voie)","Actuellement avenue Roger-Cahen."
"place/FRAN_RI_025-d3nz9qh8ox--najebmedfk59","d3nz9qh8ox--najebmedfk59","CU/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qhk47-ggfxy9h904e0","d3nz9qhk47-ggfxy9h904e0","CU/20 (voie)","Actuellement place Alphonse-Allais."
"place/FRAN_RI_025-d3nz9qhvbq--1wfjjiqg676ft","d3nz9qhvbq--1wfjjiqg676ft","Cueiller (rue de la)","Voir impasse de la Bouteille."
"place/FRAN_RI_025-d3nz9qi6bi--1rhvqhkqzqiet","d3nz9qi6bi--1rhvqhkqzqiet","Cuens-de-Pontis (rue au)","Voir rue des Fossés-Saint-Germain-l'Auxerrois."
"place/FRAN_RI_025-d3nz9qihb9-v96xr5xzlwwi","d3nz9qihb9-v96xr5xzlwwi","Cugnot (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qisqk-6ch8iuj5sebl","d3nz9qisqk-6ch8iuj5sebl","Cuissard (rue)","Actuellement rue Félicien-David."
"place/FRAN_RI_025-d3nz9qj3qb-jrgh3nr26r2g","d3nz9qj3qb-jrgh3nr26r2g","Cujas (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qjexu-1xgegnparz0rh","d3nz9qjexu-1xgegnparz0rh","Cul-de-Sac-Sainte-Marine (passage du)","Voie supprimée."
"place/FRAN_RI_025-d3nz9qjpxm--un5pxnp057jh","d3nz9qjpxm--un5pxnp057jh","Cul-de-Sac-sans-Chef (rue du)","Actuellement rue Censier."
"place/FRAN_RI_025-d3nz9qk0xd--1c4r8z4qr7eh2","d3nz9qk0xd--1c4r8z4qr7eh2","Culloir (rue)","Voir rue de l'Evêque."
"place/FRAN_RI_025-d3nz9qkbx5--1te5ynahpql8","d3nz9qkbx5--1te5ynahpql8","Culture-du-Temple (rue de la)","Actuellement rue Vieille-du-Temple."
"place/FRAN_RI_025-d3nz9qmi63--12yf21l810met","d3nz9qmi63--12yf21l810met","Cultures (allée des)","Voie supprimée."
"place/FRAN_RI_025-d3nz9ql4t0--x2sbxx15cls5","d3nz9ql4t0--x2sbxx15cls5","Culture-Sainte-Catherine (rue de la)","Actuellement rue Elzévir et rue de Sévigné."
"place/FRAN_RI_025-d3nz9qkncf-sxgxl49mye7j","d3nz9qkncf-sxgxl49mye7j","Culture-Saint-Gervais (rue de la)","Actuellement rue des Coutures-Saint-Gervais."
"place/FRAN_RI_025-d3nz9qmuvx-1teukh7are5w7","d3nz9qmuvx-1teukh7are5w7","Cunin-Gridaine (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qn5vp--rjzobuchq8bg","d3nz9qn5vp--rjzobuchq8bg","Cupels (chemin de)","Actuellement rue Lacépède."
"place/FRAN_RI_025-d3nz9qngnp--47i281sm88ut","d3nz9qngnp--47i281sm88ut","Curé (impasse du)","Voie actuelle. Autre(s) nom(s) : rue du Curé."
"place/FRAN_RI_025-d3nz9qnrfp-16kl1saycb6ev","d3nz9qnrfp-16kl1saycb6ev","Cure (rue de la)","Cette dénomination correspond à 2 voies : voie actuelle. Actuelle rue des Abbesses."
"place/FRAN_RI_025-d3nz9qo32r-axm2z9zvif2o","d3nz9qo32r-axm2z9zvif2o","Curé (rue du)","Actuellement impasse du Curé."
"place/FRAN_RI_025-d3nz9qodur-1w1o8q7vp62e5","d3nz9qodur-1w1o8q7vp62e5","Cure (ruelle de la)","Actuellement impasse Raffet."
"place/FRAN_RI_025-d3nz9qoouj--1pllf9rubky1x","d3nz9qoouj--1pllf9rubky1x","Curé-de-Saint-Eustache (ruelle du)","Voir rue Trainée"
"place/FRAN_RI_025-d3nz9qp022--bwnfpobkomds","d3nz9qp022--bwnfpobkomds","Curial (passage)","Actuellement rue Labois-Rouillon.et partie de l'actuelle rue de l'Escaut."
"place/FRAN_RI_025-d3nz9qpb1u--13uagav9k874b","d3nz9qpb1u--13uagav9k874b","Curial (rue)","Voie actuelle. Autre(s) nom(s) : rue d'Haubertois ou rue Haut-Bertois, rue ou chemin de Valenciennes, rue Notre-Dame-des-Vertus, chemin du Moulin ou du Hautbertois."
"place/FRAN_RI_025-d3nz9qpmh4-38gphngx21jp","d3nz9qpmh4-38gphngx21jp","Curial (villa)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qpxgv-1gtsizskeu5wq","d3nz9qpxgv-1gtsizskeu5wq","Curnonsky (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qq8gn--1x4xcx3uybzef","d3nz9qq8gn--1x4xcx3uybzef","Custine (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qqjo6-1ae57a3xvaee1","d3nz9qqjo6-1ae57a3xvaee1","Cuvelier (rue)","Actuellement rue Auguste-Maquet."
"place/FRAN_RI_025-d3nz9qrxwa-kiiqsznfk1op","d3nz9qrxwa-kiiqsznfk1op","Cuvier (rue)","Voie actuelle. Autre(s) nom(s) : rue de Seine-Saint-Victor, chemin devers Seine, rue derrière les Murs-Saint-Victor, rue du Ponceau."
"place/FRAN_RI_025-d3nz9qs9r3--1xxxao0yzg5eq","d3nz9qs9r3--1xxxao0yzg5eq","CV/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qskym-lj6n322rltff","d3nz9qskym-lj6n322rltff","CV/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qsvqm--9so13s8pyf2o","d3nz9qsvqm--9so13s8pyf2o","CV/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qt6y5--ypdqc5mkvzmo","d3nz9qt6y5--ypdqc5mkvzmo","CV/20 (voie)","Actuellement rue Pauline-Kergomard."
"place/FRAN_RI_025-d3nz9qthxx-fq88v1x8cil3","d3nz9qthxx-fq88v1x8cil3","CW/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qtspx-1n6jjcrtc1dq0","d3nz9qtspx-1n6jjcrtc1dq0","CW/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qu458-gqw556blicax","d3nz9qu458-gqw556blicax","CW/20 (voie)","Actuellement rue Jacques-Prévert."
"place/FRAN_RI_025-d3nz9qufcr-rb9uygahgwpy","d3nz9qufcr-rb9uygahgwpy","CX/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9quqci--x7nshz775zp","d3nz9quqci--x7nshz775zp","CX/13 (voie)","Actuellement rue Marie-Andrée-Lagroua-Weill-Hallé."
"place/FRAN_RI_025-d3nz9qv1ca-1d0bh55cgwjkx","d3nz9qv1ca-1d0bh55cgwjkx","CX/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qvcc2-1lmeovmgssbe9","d3nz9qvcc2-1lmeovmgssbe9","CX/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qvnjl--prumjqk0lj5f","d3nz9qvnjl--prumjqk0lj5f","CX/20 (voie)","Actuellement rue Pierre-Bonnard."
"place/FRAN_RI_025-d3nz9qvyjc--1ee63dkxbrm5f","d3nz9qvyjc--1ee63dkxbrm5f","CY/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz9qxcrg--1s7wdg89s9vv0","d3nz9qxcrg--1s7wdg89s9vv0","CY/13 (voie)","Actuellement rue Henri-Michaux."
