"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzcq3eph-1macyw6ozerw","d3nzcq3eph-1macyw6ozerw","Procession (petite rue de la)","Actuellement rue La-Quintinie et partie de la rue de la Procession."
"place/FRAN_RI_025-d3nzcq3rfc-1of38wr25ggr2","d3nzcq3rfc-1of38wr25ggr2","Procession (rue de la)","Voie actuelle. Autre(s) nom(s) : chemin de la Procession et chemin Vert."
"place/FRAN_RI_025-d3nzcq43hw--28oranzy3c77","d3nzcq43hw--28oranzy3c77","Professeur-André-Lemierre (avenue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq4eho--1wmpwkbk563x6","d3nzcq4eho--1wmpwkbk563x6","Professeur-Florian-Delbarre (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq4pwy-pr8wqgad4pcc","d3nzcq4pwy-pr8wqgad4pcc","Professeur-Gosset (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq514h-tldcz4noc4yc","d3nzcq514h-tldcz4noc4yc","Professeur-Hyacinthe-Vincent (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq5v35-150ab3vmxuy69","d3nzcq5v35-150ab3vmxuy69","Professeur-Jean-Bernard (allée du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq680r--c8iflgkjb52p","d3nzcq680r--c8iflgkjb52p","Professeur-Louis-Renault (rue du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq71c4--ufkbnfw8444d","d3nzcq71c4--ufkbnfw8444d","Progrès (impasse du)","Actuellement partie de la rue du Groupe-Manouchian."
"place/FRAN_RI_025-d3nzcq7e1z-1e64wtqw1hqsd","d3nzcq7e1z-1e64wtqw1hqsd","Progrès (passage du)","Cette dénomination correspond à 3 voies : voie ancienne : voir passage Robineau. Voie ancienne : voir rue Emile-Rostan. Voie supprimée."
"place/FRAN_RI_025-d3nzcq7sxf--10ocuoqmg4uuz","d3nzcq7sxf--10ocuoqmg4uuz","Progrès (rue du)","Actuellement rue du Noyer-Durand."
"place/FRAN_RI_025-d3nzcq85fi-181etlkx6u5su","d3nzcq85fi-181etlkx6u5su","Progrès (villa du)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq8hpu--g5bsjk0jsj9n","d3nzcq8hpu--g5bsjk0jsj9n","Promenade (place de la)","Actuellement place Charles-Fillion et square des Batignolles."
"place/FRAN_RI_025-d3nzcq8sxd-nwi1w55svp7v","d3nzcq8sxd-nwi1w55svp7v","Prony (rue de)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq96xs--18nix5f6sre2x","d3nzcq96xs--18nix5f6sre2x","Propriétaires (rue des)","Voie supprimée."
"place/FRAN_RI_025-d3nzcq9jnm-zre8z70676kw","d3nzcq9jnm-zre8z70676kw","Prosper-Chausson (rue)","Actuellement rue Pierre-Chausson."
"place/FRAN_RI_025-d3nzcq9une--x5hddpw0csof","d3nzcq9une--x5hddpw0csof","Prosper-Goubaux (place)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqa5n6-1mbmkdd5qp65p","d3nzcqa5n6-1mbmkdd5qp65p","Prost (cité)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqah2g--139jevyt7av11","d3nzcqah2g--139jevyt7av11","Proudhon (rue)","Voie actuelle. Autre(s) nom(s) : rue de la Nativité, rue du Commerce, rue du Chemin-Vert."
"place/FRAN_RI_025-d3nzcqbb8v--1slb8qbgg7q54","d3nzcqbb8v--1slb8qbgg7q54","Proudhon-Prolongée (rue)","Actuellement rue Taine."
"place/FRAN_RI_025-d3nzcqbnqy-jwya2i8qnm1a","d3nzcqbnqy-jwya2i8qnm1a","Proues (galerie des)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqbyqq-u0lyvyvyoh1m","d3nzcqbyqq-u0lyvyvyoh1m","Prouvaires (passage des)","Voie supprimée."
"place/FRAN_RI_025-d3nzcqca60--15myx6rt2iwr","d3nzcqca60--15myx6rt2iwr","Prouvaires (rue des)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqcky0-1ji5fl25fsbgx","d3nzcqcky0-1ji5fl25fsbgx","Prouvelle (rue)","Actuellement rue des Prouvaires."
"place/FRAN_RI_025-d3nzcqcvq1--sc3s4bpohqn8","d3nzcqcvq1--sc3s4bpohqn8","Prouvoires (rue des)","Actuellement rue des Prouvaires."
"place/FRAN_RI_025-d3nzcqd6i1-ihc55pyq4pvr","d3nzcqd6i1-ihc55pyq4pvr","Provaires (rue des)","Actuellement rue des Prouvaires."
"place/FRAN_RI_025-d3nzcqdhxb--13fdkk83pwb59","d3nzcqdhxb--13fdkk83pwb59","Provençaux (impasse des)","Voie supprimée également dénommée cul-de-sac Arnoult-de-Charonne, cul-de-sac Raoul-de-Charonne, Arnoul-le-Charron, rue Chartier, rue et cul-de-sac d'Anjou."
"place/FRAN_RI_025-d3nzcqdsx3-7qpxwk40er0g","d3nzcqdsx3-7qpxwk40er0g","Provence (avenue de)","Voie actuelle."
"place/FRAN_RI_025-d3nzcqe3p3-ckrkvtcyv9pg","d3nzcqe3p3-ckrkvtcyv9pg","Provence (rue de)","Voie actuelle. Autre(s) nom(s) : rue Saint-Nicolas-d'Antin et la rue de Provence."
"place/FRAN_RI_025-d3nzcqefjw--1451s1g11by31","d3nzcqefjw--1451s1g11by31","Providence (impasse de la)","Actuellement passage de la Providence."
"place/FRAN_RI_025-d3nzcqeqrf-1tgiemueuauyr","d3nzcqeqrf-1tgiemueuauyr","Providence (passage de la)","Voie actuelle. Autre(s) nom(s) : impasse de la Providence."
"place/FRAN_RI_025-d3nzcqf26q--1r9tk4ign1mc4","d3nzcqf26q--1r9tk4ign1mc4","Provoires (rue des)","Actuellement rue des Prouvaires."
