"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_024)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_024-d3m0bqhpc81-7vk81se15cry","d3m0bqhpc81-7vk81se15cry","Saint-Côme-Saint-Damien (Paris ; paroisse)","Saint-Côme-Saint-Damien (paroisse)","Université (rive gauche)."
"place/FRAN_RI_024-d3nyvouy4m--dcsswp1uzjg","d3nyvouy4m--dcsswp1uzjg","Saint-Denis-de-la-Chartre (Paris ; paroisse)","Saint-Denis-de-la-Chartre (paroisse)",
"place/FRAN_RI_024-d3nyvovlep-r2pl9m0t7x17","d3nyvovlep-r2pl9m0t7x17","Saint-Denis-du-Pas (Paris ; paroisse)","Saint-Denis-du-Pas (paroisse)","Cité, cure d'enclos."
"place/FRAN_RI_024-d3nyvoth3m-5zg81x2pbuv9","d3nyvoth3m-5zg81x2pbuv9","Sainte-Chapelle (Paris ; paroisse)","Sainte-Chapelle (paroisse) | Sainte-Chapelle-basse","Cité, cure d'enclos."
"place/FRAN_RI_024-d3nyvoumx3--dule5xfq6gcz","d3nyvoumx3--dule5xfq6gcz","Sainte-Croix (Paris ; paroisse)","Sainte-Croix (paroisse) | Sainte-Croix-en-la-Cité","Cité."
"place/FRAN_RI_024-d3m0bqhpxm5--1po2s42ugazge","d3m0bqhpxm5--1po2s42ugazge","Sainte-Elisabeth (Paris ; paroisse)","Sainte-Elisabeth (paroisse)",
"place/FRAN_RI_024-d3nyvowns0--1o9z11x5onxy9","d3nyvowns0--1o9z11x5onxy9","Sainte-Geneviève-la-Petite (Paris ; paroisse)","Sainte-Geneviève-la-Petite (paroisse) | Sainte-Geneviève-des-Ardents","Cité, supprimée en 1748 et réunie à Sainte-Madeleine."
"place/FRAN_RI_024-d3nyvp4mh0-mwz7xtnntve9","d3nyvp4mh0-mwz7xtnntve9","Sainte-Madeleine (Paris ; paroisse)","Sainte-Madeleine (paroisse) | La Madeleine-en-la-Cité | Sainte-Marie-Madeleine","Cité."
"place/FRAN_RI_024-d3nyvp4xoj--1vjgtj6yr6bp6","d3nyvp4xoj--1vjgtj6yr6bp6","Sainte-Marguerite (Paris ; paroisse)","Sainte-Marguerite (paroisse)","Faubourgs, créée en 1712. Précédemment annexe de Saint-Paul."
"place/FRAN_RI_024-d3nyvp59jc--vmsessgb72c2","d3nyvp59jc--vmsessgb72c2","Sainte-Marie-du-Temple (Paris ; paroisse)","Sainte-Marie-du-Temple (paroisse)","Ville (rive droite), cure d'enclos."
"place/FRAN_RI_024-d3nyvp5kqv-1nubiyckgyyh7","d3nyvp5kqv-1nubiyckgyyh7","Sainte-Marine (Paris ; paroisse)","Sainte-Marine (paroisse)","Cité."
"place/FRAN_RI_024-d3nyvp8kqp-1nkkmfnvbsro4","d3nyvp8kqp-1nkkmfnvbsro4","Sainte-Opportune (Paris ; paroisse)","Sainte-Opportune (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3nyvovxws-1r3061wzh7bqc","d3nyvovxws-1r3061wzh7bqc","Saint-Etienne-du-Mont (Paris ; paroisse)","Saint-Etienne-du-Mont (paroisse)","Université (rive gauche)."
"place/FRAN_RI_024-d3nyvow9c3--1ln2rhczl581f","d3nyvow9c3--1ln2rhczl581f","Saint-Eustache (Paris ; paroisse)","Saint-Eustache (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3m0bqhoq1e--duu7elledbcc","d3m0bqhoq1e--duu7elledbcc","Saint-Germain-des-Prés (Paris ; paroisse)","Saint-Germain-des-Prés (paroisse)",
"place/FRAN_RI_024-d3nyvox0hv--s68ql74wtyjp","d3nyvox0hv--s68ql74wtyjp","Saint-Germain-l'Auxerrois (Paris ; paroisse)","Saint-Germain-l'Auxerrois (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3nyvoxbpe-1o35tgfsdunvx","d3nyvoxbpe-1o35tgfsdunvx","Saint-Germain-le-Vieux (Paris ; paroisse)","Saint-Germain-le-Vieux (paroisse)","Cité."
"place/FRAN_RI_024-d3nyvoxn4o-1v8ltgercbj9c","d3nyvoxn4o-1v8ltgercbj9c","Saint-Gervais (Paris ; paroisse)","Saint-Gervais (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3m0bqhox63-1j8duvjh7wn3h","d3m0bqhox63-1j8duvjh7wn3h","Saint-Hilaire-du-Mont (Paris ; paroisse)","Saint-Hilaire-du-Mont (paroisse)","Université (rive gauche)."
"place/FRAN_RI_024-d3nyvoypa8-3jd9fq2bi3vd","d3nyvoypa8-3jd9fq2bi3vd","Saint-Hippolyte (Paris ; paroisse)","Saint-Hippolyte (paroisse)","Faubourgs."
"place/FRAN_RI_024-d3nyvoznru--1lwanx02k2nw8","d3nyvoznru--1lwanx02k2nw8","Saint-Jacques-de-l'Hôpital (Paris ; paroisse)","Saint-Jacques-de-l'Hôpital (paroisse)","Ville (rive droite), cure d'enclos."
"place/FRAN_RI_024-d3nyvozckb-wk5djyktth83","d3nyvozckb-wk5djyktth83","Saint-Jacques-de-la-Boucherie (Paris ; paroisse)","Saint-Jacques-de-la-Boucherie (paroisse) | Saint-Jacques-et-les-Saints-Innocents","Ville (rive droite)."
"place/FRAN_RI_024-d3nyvozzmn--vguvgtyha6by","d3nyvozzmn--vguvgtyha6by","Saint-Jacques-du-Haut-Pas (Paris ; paroisse)","Saint-Jacques-du-Haut-Pas (paroisse)","Faubourgs."
"place/FRAN_RI_024-d3nyvp0b1x--erwwed3cld3x","d3nyvp0b1x--erwwed3cld3x","Saint-Jean-de-Latran (Paris ; paroisse)","Saint-Jean-de-Latran (paroisse)","Université (rive gauche), cure d'enclos."
"place/FRAN_RI_024-d3nyvp0mh8--1unwddsc6p7gr","d3nyvp0mh8--1unwddsc6p7gr","Saint-Jean-du-Cardinal (Paris ; paroisse)","Saint-Jean-du-Cardinal (paroisse) | Saint-Jean-du-Cardinal-Lemoine","Université (rive gauche), cure d'enclos."
"place/FRAN_RI_024-d3nyvp0xwi-18dd5xg8fnnjr","d3nyvp0xwi-18dd5xg8fnnjr","Saint-Jean-en-Grève (Paris ; paroisse)","Saint-Jean-en-Grève (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3nyvp1czq--r1vd3lxxx064","d3nyvp1czq--r1vd3lxxx064","Saint-Jean-le-Rond (Paris ; paroisse)","Saint-Jean-le-Rond (paroisse)","Cité, édifice démoli en 1748, titre curial transféré à Saint-Denis-du-Pas, cure d'enclos."
